"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.768981101994228,2,3,1,3,"1;2","bis4nX3g",0,3,NA,0,0.54,1
2,0.99758532577141,1,5,1,8,"1;2","bis4nX3g",0,3,NA,0,0.54,1
3,1.10285404550706,1,6,1,14,"1;2","bis4nX3g",0,3,NA,0,0.54,1
4,1.03755247156896,1,3,1,17,"1;2","bis4nX3g",0,3,NA,0,0.54,1
5,0.769734583908469,1,4,1,21,"1;2","bis4nX3g",0,3,NA,0,0.54,1
6,0.733946231350419,1,2,1,23,"1;2","bis4nX3g",0,3,NA,0,0.54,1
7,0.70909076816102,1,6,1,29,"1;2","bis4nX3g",0,3,NA,0,0.54,1
8,0.904477975246445,1,3,1,32,"1;2","bis4nX3g",0,3,NA,0,0.54,1
9,0.5,1,2,1,34,"1;2","bis4nX3g",0,3,NA,0,0.54,1
10,1.08942879468388,1,3,1,37,"1;2","bis4nX3g",0,3,NA,0,0.54,1
11,0.831575574756741,1,2,1,39,"1;2","bis4nX3g",0,3,NA,0,0.54,1
12,0.860932328382879,1,6,1,45,"1;2","bis4nX3g",0,3,NA,0,0.54,1
13,0.924820551420952,1,5,1,50,"1;2","bis4nX3g",0,3,NA,0,0.54,1
14,0.667651951187856,1,4,1,54,"1;2","bis4nX3g",0,3,NA,0,0.54,1
15,0.896551963868643,2,5,1,59,"1;2","bis4nX3g",0,3,NA,0,0.54,1
16,0.992791633882538,2,3,1,62,"1;2","bis4nX3g",0,3,NA,0,0.54,1
17,0.616015965568102,1,-1,1,61,"1;2","bis4nX3g",0,3,NA,0,0.54,1
18,0.766908796375773,1,1,1,62,"1;2","bis4nX3g",0,3,NA,0,0.54,1
19,0.667988951916612,2,4,1,66,"1;2","bis4nX3g",0,3,NA,0,0.54,1
20,0.5,2,5,1,71,"1;2","bis4nX3g",0,3,NA,0,0.54,1
1,1.20807097580777,1,0,2,0,"1;2","bis4nX3g",0,3,NA,0,0.54,1
2,0.688782657152457,1,3,2,3,"1;2","bis4nX3g",0,3,NA,0,0.54,1
3,1.03546470234999,2,-27,2,-24,"1;2","bis4nX3g",0,3,NA,0,0.54,1
4,1.08467077842121,1,3,2,-21,"1;2","bis4nX3g",0,3,NA,0,0.54,1
5,0.603212095168866,2,-5,2,-26,"1;2","bis4nX3g",0,3,NA,0,0.54,1
6,0.868971525417682,1,3,2,-23,"1;2","bis4nX3g",0,3,NA,0,0.54,1
7,1.04871737535837,1,1,2,-22,"1;2","bis4nX3g",0,3,NA,0,0.54,1
8,1.0032916483447,1,0,2,-22,"1;2","bis4nX3g",0,3,NA,0,0.54,1
