"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.703164417561655,1,3,1,3,"2;1","bnCptjOs",0,1,NA,0,0.96,2
2,1.13159925980765,1,1,1,4,"2;1","bnCptjOs",0,1,NA,0,0.96,2
3,0.904164656897638,1,1,1,5,"2;1","bnCptjOs",0,1,NA,0,0.96,2
4,0.523203576626856,1,3,1,8,"2;1","bnCptjOs",0,1,NA,0,0.96,2
5,1.14926936771159,1,4,1,12,"2;1","bnCptjOs",0,1,NA,0,0.96,2
6,0.764068644285087,1,1,1,13,"2;1","bnCptjOs",0,1,NA,0,0.96,2
7,0.5,1,7,1,20,"2;1","bnCptjOs",0,1,NA,0,0.96,2
8,0.5,1,-1,1,19,"2;1","bnCptjOs",0,1,NA,0,0.96,2
9,0.822041620647992,1,3,1,22,"2;1","bnCptjOs",0,1,NA,0,0.96,2
10,0.848099122307276,1,2,1,24,"2;1","bnCptjOs",0,1,NA,0,0.96,2
11,0.773071136895249,1,4,1,28,"2;1","bnCptjOs",0,1,NA,0,0.96,2
12,0.699674203879748,1,2,1,30,"2;1","bnCptjOs",0,1,NA,0,0.96,2
13,0.64168994736733,1,5,1,35,"2;1","bnCptjOs",0,1,NA,0,0.96,2
14,0.519713327314221,1,4,1,39,"2;1","bnCptjOs",0,1,NA,0,0.96,2
15,0.5,1,2,1,41,"2;1","bnCptjOs",0,1,NA,0,0.96,2
16,1.15556650421236,1,-1,1,40,"2;1","bnCptjOs",0,1,NA,0,0.96,2
17,0.668677684776624,1,0,1,40,"2;1","bnCptjOs",0,1,NA,0,0.96,2
18,0.854728123959612,1,2,1,42,"2;1","bnCptjOs",0,1,NA,0,0.96,2
19,0.999248600252192,1,4,1,46,"2;1","bnCptjOs",0,1,NA,0,0.96,2
20,0.872025767629396,1,2,1,48,"2;1","bnCptjOs",0,1,NA,0,0.96,2
1,0.636309465500887,1,6,2,6,"1;2","bnCptjOs",0,1,NA,0,0.96,2
2,0.660394392550643,1,4,2,10,"1;2","bnCptjOs",0,1,NA,0,0.96,2
3,0.632055510331447,1,4,2,14,"1;2","bnCptjOs",0,1,NA,0,0.96,2
4,0.966841179936348,1,3,2,17,"1;2","bnCptjOs",0,1,NA,0,0.96,2
5,0.752862563461976,1,4,2,21,"1;2","bnCptjOs",0,1,NA,0,0.96,2
6,0.883271430566604,1,3,2,24,"1;2","bnCptjOs",0,1,NA,0,0.96,2
7,0.693652861423712,1,3,2,27,"1;2","bnCptjOs",0,1,NA,0,0.96,2
8,0.776964804991862,1,5,2,32,"1;2","bnCptjOs",0,1,NA,0,0.96,2
9,0.5,1,4,2,36,"1;2","bnCptjOs",0,1,NA,0,0.96,2
10,1.18710812198018,1,3,2,39,"1;2","bnCptjOs",0,1,NA,0,0.96,2
11,1.22729109897284,1,5,2,44,"1;2","bnCptjOs",0,1,NA,0,0.96,2
12,0.757410340683614,1,7,2,51,"1;2","bnCptjOs",0,1,NA,0,0.96,2
13,0.843849857087981,1,5,2,56,"1;2","bnCptjOs",0,1,NA,0,0.96,2
14,0.570610326303153,1,1,2,57,"1;2","bnCptjOs",0,1,NA,0,0.96,2
15,0.612051033977759,1,5,2,62,"1;2","bnCptjOs",0,1,NA,0,0.96,2
16,0.904486051208468,1,-3,2,59,"1;2","bnCptjOs",0,1,NA,0,0.96,2
17,0.88461851034547,1,5,2,64,"1;2","bnCptjOs",0,1,NA,0,0.96,2
18,1.50889445565783,1,4,2,68,"1;2","bnCptjOs",0,1,NA,0,0.96,2
19,0.689122864565034,1,9,2,77,"1;2","bnCptjOs",0,1,NA,0,0.96,2
20,1.30759386226957,1,-1,2,76,"1;2","bnCptjOs",0,1,NA,0,0.96,2
21,1.04382652106834,1,2,2,78,"1;2","bnCptjOs",0,1,NA,0,0.96,2
22,0.544170978947967,1,3,2,81,"1;2","bnCptjOs",0,1,NA,0,0.96,2
23,0.960324990579053,2,3,2,84,"1;2","bnCptjOs",0,1,NA,0,0.96,2
24,1.02434049947518,1,-2,2,82,"1;2","bnCptjOs",0,1,NA,0,0.96,2
25,1.01244430546804,1,7,2,89,"1;2","bnCptjOs",0,1,NA,0,0.96,2
1,0.778089471092631,2,-7,3,-7,"1;2","bnCptjOs",0,1,NA,0,0.96,2
2,0.555911109666672,1,5,3,-2,"1;2","bnCptjOs",0,1,NA,0,0.96,2
3,0.616398000761709,1,4,3,2,"1;2","bnCptjOs",0,1,NA,0,0.96,2
4,0.956226293568396,1,9,3,11,"1;2","bnCptjOs",0,1,NA,0,0.96,2
5,1.04268839743879,1,2,3,13,"1;2","bnCptjOs",0,1,NA,0,0.96,2
6,0.5,1,6,3,19,"1;2","bnCptjOs",0,1,NA,0,0.96,2
7,0.606706635001614,1,7,3,26,"1;2","bnCptjOs",0,1,NA,0,0.96,2
8,0.744275718834187,1,4,3,30,"1;2","bnCptjOs",0,1,NA,0,0.96,2
9,1.13330400624059,2,7,3,37,"1;2","bnCptjOs",0,1,NA,0,0.96,2
10,0.5,2,0,3,37,"1;2","bnCptjOs",0,1,NA,0,0.96,2
11,0.600029144970935,1,1,3,38,"1;2","bnCptjOs",0,1,NA,0,0.96,2
12,0.963200669704076,2,-6,3,32,"1;2","bnCptjOs",0,1,NA,0,0.96,2
13,0.5,1,3,3,35,"1;2","bnCptjOs",0,1,NA,0,0.96,2
14,0.698500607054177,1,5,3,40,"1;2","bnCptjOs",0,1,NA,0,0.96,2
15,0.83093628482293,1,0,3,40,"1;2","bnCptjOs",0,1,NA,0,0.96,2
16,0.5,2,18,3,58,"1;2","bnCptjOs",0,1,NA,0,0.96,2
17,0.898696331817709,2,15,3,73,"1;2","bnCptjOs",0,1,NA,0,0.96,2
18,0.779023046639455,2,10,3,83,"1;2","bnCptjOs",0,1,NA,0,0.96,2
19,0.902078123991931,2,0,3,83,"1;2","bnCptjOs",0,1,NA,0,0.96,2
20,1.04074423365329,2,11,3,94,"1;2","bnCptjOs",0,1,NA,0,0.96,2
21,1.13711195206314,2,-5,3,89,"1;2","bnCptjOs",0,1,NA,0,0.96,2
22,0.988186072491435,2,-6,3,83,"1;2","bnCptjOs",0,1,NA,0,0.96,2
23,1.00072693882427,1,5,3,88,"1;2","bnCptjOs",0,1,NA,0,0.96,2
24,0.84183023763548,1,3,3,91,"1;2","bnCptjOs",0,1,NA,0,0.96,2
25,0.775434288754822,1,0,3,91,"1;2","bnCptjOs",0,1,NA,0,0.96,2
1,0.5,1,7,4,7,"1;2","bnCptjOs",0,1,NA,0,0.96,2
2,0.726493345426289,1,5,4,12,"1;2","bnCptjOs",0,1,NA,0,0.96,2
3,0.864974171512317,1,1,4,13,"1;2","bnCptjOs",0,1,NA,0,0.96,2
4,0.700027009944391,1,7,4,20,"1;2","bnCptjOs",0,1,NA,0,0.96,2
5,0.709749537169508,1,2,4,22,"1;2","bnCptjOs",0,1,NA,0,0.96,2
6,0.5,1,9,4,31,"1;2","bnCptjOs",0,1,NA,0,0.96,2
7,1.17905315882648,1,1,4,32,"1;2","bnCptjOs",0,1,NA,0,0.96,2
8,1.15983106355081,1,5,4,37,"1;2","bnCptjOs",0,1,NA,0,0.96,2
9,1.07211550077127,1,6,4,43,"1;2","bnCptjOs",0,1,NA,0,0.96,2
10,1.06307409516224,1,5,4,48,"1;2","bnCptjOs",0,1,NA,0,0.96,2
11,0.773797351541844,1,3,4,51,"1;2","bnCptjOs",0,1,NA,0,0.96,2
12,0.729056566582499,1,4,4,55,"1;2","bnCptjOs",0,1,NA,0,0.96,2
13,0.548656799602519,1,2,4,57,"1;2","bnCptjOs",0,1,NA,0,0.96,2
14,0.540770505864275,1,6,4,63,"1;2","bnCptjOs",0,1,NA,0,0.96,2
15,0.739933850427178,1,4,4,67,"1;2","bnCptjOs",0,1,NA,0,0.96,2
16,0.535695903898139,1,5,4,72,"1;2","bnCptjOs",0,1,NA,0,0.96,2
17,0.89177461618547,1,4,4,76,"1;2","bnCptjOs",0,1,NA,0,0.96,2
18,0.628562275852539,1,5,4,81,"1;2","bnCptjOs",0,1,NA,0,0.96,2
19,1.10951885746581,1,4,4,85,"1;2","bnCptjOs",0,1,NA,0,0.96,2
20,0.963372912180049,1,7,4,92,"1;2","bnCptjOs",0,1,NA,0,0.96,2
21,0.907931468251478,1,5,4,97,"1;2","bnCptjOs",0,1,NA,0,0.96,2
22,0.575240297911041,1,5,4,102,"1;2","bnCptjOs",0,1,NA,0,0.96,2
23,0.679491892989084,1,2,4,104,"1;2","bnCptjOs",0,1,NA,0,0.96,2
24,0.97038828877385,1,4,4,108,"1;2","bnCptjOs",0,1,NA,0,0.96,2
25,0.708491412474484,2,12,4,120,"1;2","bnCptjOs",0,1,NA,0,0.96,2
1,0.555183122777825,1,6,5,6,"1;2","bnCptjOs",0,1,NA,0,0.96,2
2,0.775105179056675,1,9,5,15,"1;2","bnCptjOs",0,1,NA,0,0.96,2
3,0.630812290691068,1,4,5,19,"1;2","bnCptjOs",0,1,NA,0,0.96,2
4,0.746481376203668,1,2,5,21,"1;2","bnCptjOs",0,1,NA,0,0.96,2
5,0.5,1,6,5,27,"1;2","bnCptjOs",0,1,NA,0,0.96,2
6,0.702557328587446,1,0,5,27,"1;2","bnCptjOs",0,1,NA,0,0.96,2
7,1.10602461083118,1,6,5,33,"1;2","bnCptjOs",0,1,NA,0,0.96,2
8,0.924077719808542,1,2,5,35,"1;2","bnCptjOs",0,1,NA,0,0.96,2
9,0.735901916709359,2,5,5,40,"1;2","bnCptjOs",0,1,NA,0,0.96,2
10,0.875519883690463,1,8,5,48,"1;2","bnCptjOs",0,1,NA,0,0.96,2
11,0.981202407300374,1,5,5,53,"1;2","bnCptjOs",0,1,NA,0,0.96,2
12,0.683000205527249,2,8,5,61,"1;2","bnCptjOs",0,1,NA,0,0.96,2
13,1.29392892624437,1,5,5,66,"1;2","bnCptjOs",0,1,NA,0,0.96,2
14,0.923923355066603,1,3,5,69,"1;2","bnCptjOs",0,1,NA,0,0.96,2
15,0.604145016460935,1,6,5,75,"1;2","bnCptjOs",0,1,NA,0,0.96,2
16,0.774148360683353,1,6,5,81,"1;2","bnCptjOs",0,1,NA,0,0.96,2
17,0.792109920526696,1,-1,5,80,"1;2","bnCptjOs",0,1,NA,0,0.96,2
18,0.68777013256772,2,-2,5,78,"1;2","bnCptjOs",0,1,NA,0,0.96,2
19,0.71288745622495,1,4,5,82,"1;2","bnCptjOs",0,1,NA,0,0.96,2
20,1.08877838273775,1,5,5,87,"1;2","bnCptjOs",0,1,NA,0,0.96,2
21,0.947435987292289,1,5,5,92,"1;2","bnCptjOs",0,1,NA,0,0.96,2
