"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.869017948706933,2,5,1,5,"2;1","br5UXXrx",100,5,4,0,0.8,3
2,0.673301928578375,2,0,1,5,"2;1","br5UXXrx",100,5,4,0,0.8,3
3,1.15287571458574,2,0,1,5,"2;1","br5UXXrx",100,5,4,0,0.8,3
4,0.828379216436399,2,3,1,8,"2;1","br5UXXrx",100,5,4,0,0.8,3
5,0.5,2,5,1,13,"2;1","br5UXXrx",100,5,4,0,0.8,3
6,0.950527132977514,2,0,1,13,"2;1","br5UXXrx",100,5,4,0,0.8,3
7,0.830347913839559,2,4,1,17,"2;1","br5UXXrx",100,5,4,0,0.8,3
8,0.955705016044013,2,1,1,18,"2;1","br5UXXrx",100,5,4,0,0.8,3
9,1.05760891806189,2,5,1,23,"2;1","br5UXXrx",100,5,4,0,0.8,3
10,0.814168752382117,1,5,1,28,"2;1","br5UXXrx",100,5,4,0,0.8,3
11,0.852794911040923,2,5,1,33,"2;1","br5UXXrx",100,5,4,0,0.8,3
12,1.1551938980908,2,1,1,34,"2;1","br5UXXrx",100,5,4,0,0.8,3
13,1.00976054537395,1,2,1,36,"2;1","br5UXXrx",100,5,4,0,0.8,3
14,0.667440103539793,1,2,1,38,"2;1","br5UXXrx",100,5,4,0,0.8,3
15,0.5,2,6,1,44,"2;1","br5UXXrx",100,5,4,0,0.8,3
16,0.575671041944643,2,7,1,51,"2;1","br5UXXrx",100,5,4,0,0.8,3
17,0.998834854534638,2,6,1,57,"2;1","br5UXXrx",100,5,4,0,0.8,3
18,0.609414209352912,1,6,1,63,"2;1","br5UXXrx",100,5,4,0,0.8,3
19,0.5,2,5,1,68,"2;1","br5UXXrx",100,5,4,0,0.8,3
20,1.19472199836137,2,7,1,75,"2;1","br5UXXrx",100,5,4,0,0.8,3
1,0.5,2,3,2,3,"2;1","br5UXXrx",100,5,4,0,0.8,3
2,0.5,1,11,2,14,"2;1","br5UXXrx",100,5,4,0,0.8,3
3,0.795361505705709,1,-5,2,9,"2;1","br5UXXrx",100,5,4,0,0.8,3
4,0.664722466296891,1,9,2,18,"2;1","br5UXXrx",100,5,4,0,0.8,3
5,0.566394547175069,2,5,2,23,"2;1","br5UXXrx",100,5,4,0,0.8,3
6,1.09150520762123,1,-10,2,13,"2;1","br5UXXrx",100,5,4,0,0.8,3
7,0.5,1,-7,2,6,"2;1","br5UXXrx",100,5,4,0,0.8,3
8,0.744808674598073,1,13,2,19,"2;1","br5UXXrx",100,5,4,0,0.8,3
9,0.698105999495977,2,2,2,21,"2;1","br5UXXrx",100,5,4,0,0.8,3
10,0.994872480743565,1,11,2,32,"2;1","br5UXXrx",100,5,4,0,0.8,3
11,0.833984540756846,1,-2,2,30,"2;1","br5UXXrx",100,5,4,0,0.8,3
12,0.983623647520151,1,0,2,30,"2;1","br5UXXrx",100,5,4,0,0.8,3
13,0.545364772190147,1,21,2,51,"2;1","br5UXXrx",100,5,4,0,0.8,3
14,0.5,1,23,2,74,"2;1","br5UXXrx",100,5,4,0,0.8,3
15,0.622349908500312,1,8,2,82,"2;1","br5UXXrx",100,5,4,0,0.8,3
16,0.816063629623909,1,4,2,86,"2;1","br5UXXrx",100,5,4,0,0.8,3
17,0.970177163108186,2,3,2,89,"2;1","br5UXXrx",100,5,4,0,0.8,3
18,1.25076359839141,2,0,2,89,"2;1","br5UXXrx",100,5,4,0,0.8,3
19,0.859315574651277,1,12,2,101,"2;1","br5UXXrx",100,5,4,0,0.8,3
20,0.536115406666234,2,5,2,106,"2;1","br5UXXrx",100,5,4,0,0.8,3
