"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.23034831389359,2,-2,1,-2,"2;1","byV9jk4I",100,6,5,0,1,1
2,0.5357634354278,2,6,1,4,"2;1","byV9jk4I",100,6,5,0,1,1
3,0.764073450804715,2,3,1,7,"2;1","byV9jk4I",100,6,5,0,1,1
4,0.875334415561782,2,2,1,9,"2;1","byV9jk4I",100,6,5,0,1,1
5,0.53599414787123,1,2,1,11,"2;1","byV9jk4I",100,6,5,0,1,1
6,0.68195386338162,2,1,1,12,"2;1","byV9jk4I",100,6,5,0,1,1
7,0.714838344247888,2,3,1,15,"2;1","byV9jk4I",100,6,5,0,1,1
8,0.595940220814176,2,6,1,21,"2;1","byV9jk4I",100,6,5,0,1,1
9,0.919282534536359,2,2,1,23,"2;1","byV9jk4I",100,6,5,0,1,1
10,0.890882408935675,2,5,1,28,"2;1","byV9jk4I",100,6,5,0,1,1
11,0.989493491792661,2,3,1,31,"2;1","byV9jk4I",100,6,5,0,1,1
12,1.11565787426403,1,6,1,37,"2;1","byV9jk4I",100,6,5,0,1,1
13,0.652631506632621,2,2,1,39,"2;1","byV9jk4I",100,6,5,0,1,1
14,0.900120884729034,1,2,1,41,"2;1","byV9jk4I",100,6,5,0,1,1
15,1.18471500611312,2,5,1,46,"2;1","byV9jk4I",100,6,5,0,1,1
16,0.855161640152674,1,1,1,47,"2;1","byV9jk4I",100,6,5,0,1,1
17,0.757938510468341,1,1,1,48,"2;1","byV9jk4I",100,6,5,0,1,1
18,0.559766738081874,2,4,1,52,"2;1","byV9jk4I",100,6,5,0,1,1
19,1.10482510903614,1,2,1,54,"2;1","byV9jk4I",100,6,5,0,1,1
20,0.793683831503001,2,4,1,58,"2;1","byV9jk4I",100,6,5,0,1,1
1,0.561717265510462,1,9,2,9,"2;1","byV9jk4I",100,6,5,0,1,1
2,0.976639451543098,1,6,2,15,"2;1","byV9jk4I",100,6,5,0,1,1
3,0.685178411486232,1,19,2,34,"2;1","byV9jk4I",100,6,5,0,1,1
4,0.664363533394286,1,4,2,38,"2;1","byV9jk4I",100,6,5,0,1,1
5,0.950745548759045,2,7,2,45,"2;1","byV9jk4I",100,6,5,0,1,1
6,0.873522910648304,1,13,2,58,"2;1","byV9jk4I",100,6,5,0,1,1
7,0.850916871588038,1,-3,2,55,"2;1","byV9jk4I",100,6,5,0,1,1
8,1.09273675760947,1,11,2,66,"2;1","byV9jk4I",100,6,5,0,1,1
9,0.940302039477417,2,5,2,71,"2;1","byV9jk4I",100,6,5,0,1,1
10,1.11712877371037,2,1,2,72,"2;1","byV9jk4I",100,6,5,0,1,1
11,1.33231871960256,2,1,2,73,"2;1","byV9jk4I",100,6,5,0,1,1
12,1.36256624887134,1,4,2,77,"2;1","byV9jk4I",100,6,5,0,1,1
13,0.749478947693118,1,11,2,88,"2;1","byV9jk4I",100,6,5,0,1,1
14,0.915778137861914,1,9,2,97,"2;1","byV9jk4I",100,6,5,0,1,1
15,0.7535613854096,1,14,2,111,"2;1","byV9jk4I",100,6,5,0,1,1
16,0.601295916640351,1,19,2,130,"2;1","byV9jk4I",100,6,5,0,1,1
17,1.21928856441037,1,7,2,137,"2;1","byV9jk4I",100,6,5,0,1,1
18,1.04199581505838,1,-14,2,123,"2;1","byV9jk4I",100,6,5,0,1,1
19,0.599248850676345,2,3,2,126,"2;1","byV9jk4I",100,6,5,0,1,1
