"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.723348348627212,2,3,1,3,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
2,0.831184143060339,2,1,1,4,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
3,0.5,2,4,1,8,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
4,1.02808130097392,2,1,1,9,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
5,1.39183064514321,2,2,1,11,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
6,0.667364388663468,2,3,1,14,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
7,0.971000443476197,1,7,1,21,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
8,0.828511264935901,2,1,1,22,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
9,0.913603495717032,1,4,1,26,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
10,0.832039194063816,1,5,1,31,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
11,0.989678993371919,2,6,1,37,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
12,0.5,1,4,1,41,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
13,0.536369147708689,1,3,1,44,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
14,0.540913374618537,1,2,1,46,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
15,0.5,1,0,1,46,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
16,1.2420061987909,1,2,1,48,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
17,1.22561397404312,2,1,1,49,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
18,0.5,1,6,1,55,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
19,0.858703769109666,1,2,1,57,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
20,0.838535278777902,1,0,1,57,"2;1","cPQZ9zwh",0,3,NA,1,0.61,1
1,1.20470802381349,2,-6,2,-6,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
2,0.6004147268932,1,0,2,-6,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
3,0.502761472435054,1,0,2,-6,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
4,1.08664768526352,1,1,2,-5,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
5,0.865694711298965,1,0,2,-5,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
6,0.512518111116605,1,2,2,-3,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
7,0.932284740177212,1,9,2,6,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
8,0.57160063637018,2,-4,2,2,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
9,0.855978532931473,1,4,2,6,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
10,0.814409612792447,1,8,2,14,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
11,1.01984797419802,1,8,2,22,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
12,0.5,1,6,2,28,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
13,0.952569034376602,1,4,2,32,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
14,1.17037786349799,1,4,2,36,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
15,0.894612631131691,2,8,2,44,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
16,0.842727141236717,1,7,2,51,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
17,0.779855776179582,1,5,2,56,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
18,0.895385444851398,1,0,2,56,"1;2","cPQZ9zwh",0,3,NA,1,0.61,1
