"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.589334097296768,2,2,1,2,"2;1","cdsZeKyE",100,6,3,0,0.6,2
2,1.50760299502515,2,1,1,3,"2;1","cdsZeKyE",100,6,3,0,0.6,2
3,0.539995232520287,2,4,1,7,"2;1","cdsZeKyE",100,6,3,0,0.6,2
4,0.5,2,9,1,16,"2;1","cdsZeKyE",100,6,3,0,0.6,2
5,0.687750148746913,2,1,1,17,"2;1","cdsZeKyE",100,6,3,0,0.6,2
6,0.5,1,4,1,21,"2;1","cdsZeKyE",100,6,3,0,0.6,2
7,0.5,2,4,1,25,"2;1","cdsZeKyE",100,6,3,0,0.6,2
8,1.02358612934964,1,0,1,25,"2;1","cdsZeKyE",100,6,3,0,0.6,2
9,0.764627741331958,2,7,1,32,"2;1","cdsZeKyE",100,6,3,0,0.6,2
10,0.833099963603258,2,2,1,34,"2;1","cdsZeKyE",100,6,3,0,0.6,2
11,1.13096353915038,1,1,1,35,"2;1","cdsZeKyE",100,6,3,0,0.6,2
12,0.790116350065435,1,5,1,40,"2;1","cdsZeKyE",100,6,3,0,0.6,2
13,0.954731638395804,2,2,1,42,"2;1","cdsZeKyE",100,6,3,0,0.6,2
14,0.537565740174106,2,0,1,42,"2;1","cdsZeKyE",100,6,3,0,0.6,2
15,0.602979469016756,2,3,1,45,"2;1","cdsZeKyE",100,6,3,0,0.6,2
16,0.89021495409121,2,2,1,47,"2;1","cdsZeKyE",100,6,3,0,0.6,2
17,0.920121613519799,2,3,1,50,"2;1","cdsZeKyE",100,6,3,0,0.6,2
18,0.930648635848282,1,3,1,53,"2;1","cdsZeKyE",100,6,3,0,0.6,2
19,0.777324156521928,2,0,1,53,"2;1","cdsZeKyE",100,6,3,0,0.6,2
20,0.5,2,2,1,55,"2;1","cdsZeKyE",100,6,3,0,0.6,2
1,0.688974996089314,2,-1,2,-1,"2;1","cdsZeKyE",100,6,3,0,0.6,2
2,0.891915570286065,1,12,2,11,"2;1","cdsZeKyE",100,6,3,0,0.6,2
3,0.518394038272443,2,3,2,14,"2;1","cdsZeKyE",100,6,3,0,0.6,2
4,0.879813573719765,2,3,2,17,"2;1","cdsZeKyE",100,6,3,0,0.6,2
5,0.641348888446921,2,5,2,22,"2;1","cdsZeKyE",100,6,3,0,0.6,2
6,0.844902710261316,1,8,2,30,"2;1","cdsZeKyE",100,6,3,0,0.6,2
7,1.07404852059465,1,26,2,56,"2;1","cdsZeKyE",100,6,3,0,0.6,2
8,0.857035806818702,1,6,2,62,"2;1","cdsZeKyE",100,6,3,0,0.6,2
9,0.751057255424621,1,27,2,89,"2;1","cdsZeKyE",100,6,3,0,0.6,2
10,0.933003501365626,1,8,2,97,"2;1","cdsZeKyE",100,6,3,0,0.6,2
11,1.11903109859592,1,2,2,99,"2;1","cdsZeKyE",100,6,3,0,0.6,2
12,0.851729288687247,1,17,2,116,"2;1","cdsZeKyE",100,6,3,0,0.6,2
13,0.56149091911603,2,-2,2,114,"2;1","cdsZeKyE",100,6,3,0,0.6,2
14,1.30749469112914,1,-16,2,98,"2;1","cdsZeKyE",100,6,3,0,0.6,2
15,0.719441256685514,1,7,2,105,"2;1","cdsZeKyE",100,6,3,0,0.6,2
16,0.5,1,10,2,115,"2;1","cdsZeKyE",100,6,3,0,0.6,2
17,0.753305374847365,2,-2,2,113,"2;1","cdsZeKyE",100,6,3,0,0.6,2
18,1.39071087857889,2,-2,2,111,"2;1","cdsZeKyE",100,6,3,0,0.6,2
19,0.786680453478395,1,5,2,116,"2;1","cdsZeKyE",100,6,3,0,0.6,2
20,0.600228652310426,2,5,2,121,"2;1","cdsZeKyE",100,6,3,0,0.6,2
21,0.5,1,-10,2,111,"2;1","cdsZeKyE",100,6,3,0,0.6,2
22,0.866600830236997,2,0,2,111,"2;1","cdsZeKyE",100,6,3,0,0.6,2
23,1.18603834578109,2,1,2,112,"2;1","cdsZeKyE",100,6,3,0,0.6,2
24,0.607356082722228,1,5,2,117,"2;1","cdsZeKyE",100,6,3,0,0.6,2
25,0.867423370384784,1,-24,2,93,"2;1","cdsZeKyE",100,6,3,0,0.6,2
1,1.03494926027117,1,2,3,2,"1;2","cdsZeKyE",100,6,3,0,0.6,2
2,0.520484539997568,2,3,3,5,"1;2","cdsZeKyE",100,6,3,0,0.6,2
3,0.573270323661003,1,2,3,7,"1;2","cdsZeKyE",100,6,3,0,0.6,2
4,0.581624102214311,1,3,3,10,"1;2","cdsZeKyE",100,6,3,0,0.6,2
5,0.656742949220843,2,-1,3,9,"1;2","cdsZeKyE",100,6,3,0,0.6,2
6,0.562780006761247,1,1,3,10,"1;2","cdsZeKyE",100,6,3,0,0.6,2
7,0.756985463934551,1,6,3,16,"1;2","cdsZeKyE",100,6,3,0,0.6,2
8,0.676147136163407,1,2,3,18,"1;2","cdsZeKyE",100,6,3,0,0.6,2
9,0.761416436349877,1,4,3,22,"1;2","cdsZeKyE",100,6,3,0,0.6,2
10,0.696265263529171,2,3,3,25,"1;2","cdsZeKyE",100,6,3,0,0.6,2
11,0.772203707506668,2,-11,3,14,"1;2","cdsZeKyE",100,6,3,0,0.6,2
12,0.581296922165968,1,2,3,16,"1;2","cdsZeKyE",100,6,3,0,0.6,2
13,0.881161673526754,1,3,3,19,"1;2","cdsZeKyE",100,6,3,0,0.6,2
14,0.73629137178194,1,5,3,24,"1;2","cdsZeKyE",100,6,3,0,0.6,2
15,0.5,2,2,3,26,"1;2","cdsZeKyE",100,6,3,0,0.6,2
16,0.718749901914688,2,4,3,30,"1;2","cdsZeKyE",100,6,3,0,0.6,2
17,1.09763135204632,2,20,3,50,"1;2","cdsZeKyE",100,6,3,0,0.6,2
18,0.654228304217718,2,19,3,69,"1;2","cdsZeKyE",100,6,3,0,0.6,2
19,0.747419326982408,2,29,3,98,"1;2","cdsZeKyE",100,6,3,0,0.6,2
20,0.807728492996617,1,2,3,100,"1;2","cdsZeKyE",100,6,3,0,0.6,2
21,0.704220718198991,1,4,3,104,"1;2","cdsZeKyE",100,6,3,0,0.6,2
22,0.5,2,12,3,116,"1;2","cdsZeKyE",100,6,3,0,0.6,2
23,0.760257134745161,1,3,3,119,"1;2","cdsZeKyE",100,6,3,0,0.6,2
24,0.677069439099023,1,3,3,122,"1;2","cdsZeKyE",100,6,3,0,0.6,2
25,1.31150356338334,1,4,3,126,"1;2","cdsZeKyE",100,6,3,0,0.6,2
1,1.03260047015907,2,17,4,17,"1;2","cdsZeKyE",100,6,3,0,0.6,2
