"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.77729005617189,2,4,1,4,"2;1","cpGIPkZ8",100,4,5,0,1,3
2,1.10571854119171,2,4,1,8,"2;1","cpGIPkZ8",100,4,5,0,1,3
3,0.921148459240075,1,2,1,10,"2;1","cpGIPkZ8",100,4,5,0,1,3
4,0.917578262430918,2,-1,1,9,"2;1","cpGIPkZ8",100,4,5,0,1,3
5,1.14491196909345,2,5,1,14,"2;1","cpGIPkZ8",100,4,5,0,1,3
6,0.604792757179474,2,-1,1,13,"2;1","cpGIPkZ8",100,4,5,0,1,3
7,0.769280704554404,1,1,1,14,"2;1","cpGIPkZ8",100,4,5,0,1,3
8,1.07491918196948,2,3,1,17,"2;1","cpGIPkZ8",100,4,5,0,1,3
9,0.925548934354575,2,1,1,18,"2;1","cpGIPkZ8",100,4,5,0,1,3
10,0.97505158624387,2,5,1,23,"2;1","cpGIPkZ8",100,4,5,0,1,3
11,0.589209198347735,1,1,1,24,"2;1","cpGIPkZ8",100,4,5,0,1,3
12,0.637008568095519,2,1,1,25,"2;1","cpGIPkZ8",100,4,5,0,1,3
13,0.787601220400704,2,3,1,28,"2;1","cpGIPkZ8",100,4,5,0,1,3
14,0.5,2,5,1,33,"2;1","cpGIPkZ8",100,4,5,0,1,3
15,0.8977188110947,2,5,1,38,"2;1","cpGIPkZ8",100,4,5,0,1,3
16,0.966388492371313,2,1,1,39,"2;1","cpGIPkZ8",100,4,5,0,1,3
17,0.854351441978758,2,1,1,40,"2;1","cpGIPkZ8",100,4,5,0,1,3
18,0.997528397317414,1,0,1,40,"2;1","cpGIPkZ8",100,4,5,0,1,3
19,0.500323487881853,1,4,1,44,"2;1","cpGIPkZ8",100,4,5,0,1,3
20,0.685786090539633,2,2,1,46,"2;1","cpGIPkZ8",100,4,5,0,1,3
1,1.03252009601007,2,-6,2,-6,"1;2","cpGIPkZ8",100,4,5,0,1,3
2,0.613536245126006,2,7,2,1,"1;2","cpGIPkZ8",100,4,5,0,1,3
3,0.840795128052926,1,9,2,10,"1;2","cpGIPkZ8",100,4,5,0,1,3
4,0.757481416289641,2,-17,2,-7,"1;2","cpGIPkZ8",100,4,5,0,1,3
5,1.10561705795512,1,2,2,-5,"1;2","cpGIPkZ8",100,4,5,0,1,3
6,0.690880748826047,2,4,2,-1,"1;2","cpGIPkZ8",100,4,5,0,1,3
7,0.768818904459081,1,5,2,4,"1;2","cpGIPkZ8",100,4,5,0,1,3
8,0.860959288917737,1,9,2,13,"1;2","cpGIPkZ8",100,4,5,0,1,3
9,0.741420054157536,1,1,2,14,"1;2","cpGIPkZ8",100,4,5,0,1,3
10,0.686113329398584,1,3,2,17,"1;2","cpGIPkZ8",100,4,5,0,1,3
11,0.624130119778164,1,1,2,18,"1;2","cpGIPkZ8",100,4,5,0,1,3
12,0.997191936855139,2,11,2,29,"1;2","cpGIPkZ8",100,4,5,0,1,3
13,0.8377142005935,1,3,2,32,"1;2","cpGIPkZ8",100,4,5,0,1,3
14,0.5,2,-10,2,22,"1;2","cpGIPkZ8",100,4,5,0,1,3
15,0.892344157897,1,1,2,23,"1;2","cpGIPkZ8",100,4,5,0,1,3
16,0.952715398473986,1,5,2,28,"1;2","cpGIPkZ8",100,4,5,0,1,3
17,0.5,1,8,2,36,"1;2","cpGIPkZ8",100,4,5,0,1,3
18,1.12670751451771,2,24,2,60,"1;2","cpGIPkZ8",100,4,5,0,1,3
19,0.9418950688834,2,28,2,88,"1;2","cpGIPkZ8",100,4,5,0,1,3
20,1.09820683546834,1,6,2,94,"1;2","cpGIPkZ8",100,4,5,0,1,3
21,1.01966399747399,1,12,2,106,"1;2","cpGIPkZ8",100,4,5,0,1,3
22,0.534675339649061,1,6,2,112,"1;2","cpGIPkZ8",100,4,5,0,1,3
23,0.846041041775158,1,1,2,113,"1;2","cpGIPkZ8",100,4,5,0,1,3
24,0.91210056402798,1,3,2,116,"1;2","cpGIPkZ8",100,4,5,0,1,3
25,1.13140599634893,2,-1,2,115,"1;2","cpGIPkZ8",100,4,5,0,1,3
1,0.900676275594049,1,11,3,11,"2;1","cpGIPkZ8",100,4,5,0,1,3
2,0.783177345248726,1,-6,3,5,"2;1","cpGIPkZ8",100,4,5,0,1,3
3,0.867105527965711,2,2,3,7,"2;1","cpGIPkZ8",100,4,5,0,1,3
4,0.977324879289208,1,2,3,9,"2;1","cpGIPkZ8",100,4,5,0,1,3
5,0.727546101336149,1,26,3,35,"2;1","cpGIPkZ8",100,4,5,0,1,3
6,0.5,1,-3,3,32,"2;1","cpGIPkZ8",100,4,5,0,1,3
7,0.808174403514865,1,-12,3,20,"2;1","cpGIPkZ8",100,4,5,0,1,3
8,1.10815667993074,1,12,3,32,"2;1","cpGIPkZ8",100,4,5,0,1,3
9,0.979444573916022,1,0,3,32,"2;1","cpGIPkZ8",100,4,5,0,1,3
10,0.700062226902585,1,-17,3,15,"2;1","cpGIPkZ8",100,4,5,0,1,3
11,0.5,1,-14,3,1,"2;1","cpGIPkZ8",100,4,5,0,1,3
12,0.849992581366912,1,3,3,4,"2;1","cpGIPkZ8",100,4,5,0,1,3
13,0.5,2,10,3,14,"2;1","cpGIPkZ8",100,4,5,0,1,3
14,0.889942858722799,1,3,3,17,"2;1","cpGIPkZ8",100,4,5,0,1,3
15,0.5,1,21,3,38,"2;1","cpGIPkZ8",100,4,5,0,1,3
16,0.554797495856332,2,10,3,48,"2;1","cpGIPkZ8",100,4,5,0,1,3
17,0.815645876699199,1,-13,3,35,"2;1","cpGIPkZ8",100,4,5,0,1,3
18,0.724655030629916,2,1,3,36,"2;1","cpGIPkZ8",100,4,5,0,1,3
19,0.925725227462739,1,12,3,48,"2;1","cpGIPkZ8",100,4,5,0,1,3
20,0.859117477693855,2,2,3,50,"2;1","cpGIPkZ8",100,4,5,0,1,3
21,1.02856693774845,1,3,3,53,"2;1","cpGIPkZ8",100,4,5,0,1,3
22,0.547728571903195,2,7,3,60,"2;1","cpGIPkZ8",100,4,5,0,1,3
23,0.66113505139662,1,-3,3,57,"2;1","cpGIPkZ8",100,4,5,0,1,3
24,0.815186153158807,1,-4,3,53,"2;1","cpGIPkZ8",100,4,5,0,1,3
25,1.08013650639956,1,14,3,67,"2;1","cpGIPkZ8",100,4,5,0,1,3
1,0.759527648533335,1,8,4,8,"2;1","cpGIPkZ8",100,4,5,0,1,3
2,1.42073432307544,1,2,4,10,"2;1","cpGIPkZ8",100,4,5,0,1,3
3,0.848854996061092,2,4,4,14,"2;1","cpGIPkZ8",100,4,5,0,1,3
4,0.812900978666562,1,-6,4,8,"2;1","cpGIPkZ8",100,4,5,0,1,3
5,0.842931662497134,1,7,4,15,"2;1","cpGIPkZ8",100,4,5,0,1,3
6,0.815803672739645,1,17,4,32,"2;1","cpGIPkZ8",100,4,5,0,1,3
7,0.74665067902107,2,-1,4,31,"2;1","cpGIPkZ8",100,4,5,0,1,3
8,0.854110339728841,2,3,4,34,"2;1","cpGIPkZ8",100,4,5,0,1,3
9,1.07788006862838,1,28,4,62,"2;1","cpGIPkZ8",100,4,5,0,1,3
10,0.822923744261197,1,14,4,76,"2;1","cpGIPkZ8",100,4,5,0,1,3
11,0.621304808322106,1,10,4,86,"2;1","cpGIPkZ8",100,4,5,0,1,3
12,1.02162578461583,1,-2,4,84,"2;1","cpGIPkZ8",100,4,5,0,1,3
13,0.5,2,0,4,84,"2;1","cpGIPkZ8",100,4,5,0,1,3
14,0.70920150609701,2,5,4,89,"2;1","cpGIPkZ8",100,4,5,0,1,3
15,0.654744629448523,2,6,4,95,"2;1","cpGIPkZ8",100,4,5,0,1,3
16,0.704726599496401,1,-8,4,87,"2;1","cpGIPkZ8",100,4,5,0,1,3
17,0.639145143885418,2,3,4,90,"2;1","cpGIPkZ8",100,4,5,0,1,3
