"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.873205410546154,1,2,1,2,"2;1","d3EBzui4",100,5,5,4,1,2
2,0.651479896358166,1,7,1,9,"2;1","d3EBzui4",100,5,5,4,1,2
3,0.717954922546954,1,5,1,14,"2;1","d3EBzui4",100,5,5,4,1,2
4,0.749624940128229,1,3,1,17,"2;1","d3EBzui4",100,5,5,4,1,2
5,0.69170913713845,1,6,1,23,"2;1","d3EBzui4",100,5,5,4,1,2
6,0.688313124539904,2,6,1,29,"2;1","d3EBzui4",100,5,5,4,1,2
7,0.619434156917064,2,0,1,29,"2;1","d3EBzui4",100,5,5,4,1,2
8,0.581824476526601,1,3,1,32,"2;1","d3EBzui4",100,5,5,4,1,2
9,0.92867462939636,2,4,1,36,"2;1","d3EBzui4",100,5,5,4,1,2
10,0.5,1,2,1,38,"2;1","d3EBzui4",100,5,5,4,1,2
11,0.930758558132549,1,2,1,40,"2;1","d3EBzui4",100,5,5,4,1,2
12,0.692445030308938,1,2,1,42,"2;1","d3EBzui4",100,5,5,4,1,2
13,0.665573442312756,2,1,1,43,"2;1","d3EBzui4",100,5,5,4,1,2
14,0.819785338930769,1,2,1,45,"2;1","d3EBzui4",100,5,5,4,1,2
15,1.20804195818414,1,1,1,46,"2;1","d3EBzui4",100,5,5,4,1,2
16,0.5,1,3,1,49,"2;1","d3EBzui4",100,5,5,4,1,2
17,1.00866436311984,1,3,1,52,"2;1","d3EBzui4",100,5,5,4,1,2
18,0.959179325567625,2,3,1,55,"2;1","d3EBzui4",100,5,5,4,1,2
19,0.88527350206388,2,5,1,60,"2;1","d3EBzui4",100,5,5,4,1,2
20,1.03334984698226,2,3,1,63,"2;1","d3EBzui4",100,5,5,4,1,2
1,0.5,2,0,2,0,"2;1","d3EBzui4",100,5,5,4,1,2
2,0.5,2,4,2,4,"2;1","d3EBzui4",100,5,5,4,1,2
3,0.532872911850612,1,3,2,7,"2;1","d3EBzui4",100,5,5,4,1,2
4,1.01636020645278,2,6,2,13,"2;1","d3EBzui4",100,5,5,4,1,2
5,1.14927222532681,2,8,2,21,"2;1","d3EBzui4",100,5,5,4,1,2
6,0.711433236072726,2,3,2,24,"2;1","d3EBzui4",100,5,5,4,1,2
7,0.943681060325622,2,10,2,34,"2;1","d3EBzui4",100,5,5,4,1,2
8,0.554603125275773,2,3,2,37,"2;1","d3EBzui4",100,5,5,4,1,2
9,0.914324277891857,1,-4,2,33,"2;1","d3EBzui4",100,5,5,4,1,2
10,0.608004176670619,2,3,2,36,"2;1","d3EBzui4",100,5,5,4,1,2
11,0.5,1,-12,2,24,"2;1","d3EBzui4",100,5,5,4,1,2
12,0.92003930692935,2,7,2,31,"2;1","d3EBzui4",100,5,5,4,1,2
13,0.665836329615638,2,2,2,33,"2;1","d3EBzui4",100,5,5,4,1,2
14,1.25925116550045,2,-1,2,32,"2;1","d3EBzui4",100,5,5,4,1,2
15,0.5,2,4,2,36,"2;1","d3EBzui4",100,5,5,4,1,2
16,0.690493797886165,1,8,2,44,"2;1","d3EBzui4",100,5,5,4,1,2
17,0.824423083908276,2,4,2,48,"2;1","d3EBzui4",100,5,5,4,1,2
18,0.5,1,12,2,60,"2;1","d3EBzui4",100,5,5,4,1,2
19,0.681587771062742,1,-10,2,50,"2;1","d3EBzui4",100,5,5,4,1,2
20,1.29039805345402,1,7,2,57,"2;1","d3EBzui4",100,5,5,4,1,2
21,0.5,1,15,2,72,"2;1","d3EBzui4",100,5,5,4,1,2
22,1.09530729747608,1,1,2,73,"2;1","d3EBzui4",100,5,5,4,1,2
23,1.14945614217843,1,-3,2,70,"2;1","d3EBzui4",100,5,5,4,1,2
24,0.954686336912356,1,23,2,93,"2;1","d3EBzui4",100,5,5,4,1,2
25,0.881532181180349,1,7,2,100,"2;1","d3EBzui4",100,5,5,4,1,2
1,0.544887312710192,1,3,3,3,"1;2","d3EBzui4",100,5,5,4,1,2
2,1.09713884998627,2,25,3,28,"1;2","d3EBzui4",100,5,5,4,1,2
3,0.852193740356062,2,6,3,34,"1;2","d3EBzui4",100,5,5,4,1,2
4,0.830877957519841,1,-1,3,33,"1;2","d3EBzui4",100,5,5,4,1,2
5,0.803594103517642,1,5,3,38,"1;2","d3EBzui4",100,5,5,4,1,2
6,0.614697977026334,1,5,3,43,"1;2","d3EBzui4",100,5,5,4,1,2
7,0.5,2,-6,3,37,"1;2","d3EBzui4",100,5,5,4,1,2
8,1.00809150398292,2,21,3,58,"1;2","d3EBzui4",100,5,5,4,1,2
9,0.827257560318109,2,-8,3,50,"1;2","d3EBzui4",100,5,5,4,1,2
10,0.864083741824102,2,17,3,67,"1;2","d3EBzui4",100,5,5,4,1,2
11,0.666184086186915,2,5,3,72,"1;2","d3EBzui4",100,5,5,4,1,2
12,0.886178089892561,1,6,3,78,"1;2","d3EBzui4",100,5,5,4,1,2
13,0.657750487796711,1,6,3,84,"1;2","d3EBzui4",100,5,5,4,1,2
14,0.5,2,2,3,86,"1;2","d3EBzui4",100,5,5,4,1,2
15,0.795627416075208,1,3,3,89,"1;2","d3EBzui4",100,5,5,4,1,2
