"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.01084685537472,2,1,1,1,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
2,1.09476618775159,2,1,1,2,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
3,0.995315046221445,2,3,1,5,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
4,0.680751308814551,2,2,1,7,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
5,0.980061098324065,2,5,1,12,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
6,0.565383114040812,2,3,1,15,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
7,0.865681810507248,2,2,1,17,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
8,0.934053720389089,2,2,1,19,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
9,1.06031724884667,2,0,1,19,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
10,0.554847925118057,2,1,1,20,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
11,0.528671313500656,1,5,1,25,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
12,0.807588278615652,2,4,1,29,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
13,0.507103577528212,2,2,1,31,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
14,0.856771556693833,2,3,1,34,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
15,0.779974624960395,2,1,1,35,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
16,1.07457213880562,2,1,1,36,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
17,0.95818787547067,2,8,1,44,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
18,1.00272626646525,2,3,1,47,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
19,1.10233599725319,2,2,1,49,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
20,0.5,2,5,1,54,"2;1","dbhfjZYb",0,3,NA,0,0.65,1
1,0.79817383627282,1,4,2,4,"1;2","dbhfjZYb",0,3,NA,0,0.65,1
