"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.872081264522525,1,1,1,1,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
2,1.109666842819,1,0,1,1,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
3,0.651526973932692,1,2,1,3,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
4,0.531791336676101,1,5,1,8,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
5,0.727794560202441,1,5,1,13,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
6,1.09174693213143,2,2,1,15,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
7,0.5,1,4,1,19,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
8,0.772115923023812,1,1,1,20,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
9,0.600087063745731,1,5,1,25,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
10,0.774553711098392,1,1,1,26,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
11,0.576009762209381,2,5,1,31,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
12,0.763147410401536,1,0,1,31,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
13,0.518299378875201,1,2,1,33,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
14,0.967000920982339,2,1,1,34,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
15,1.04557674147831,2,2,1,36,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
16,0.816716599954754,1,2,1,38,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
17,0.829499875206648,1,2,1,40,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
18,0.76976767246402,2,2,1,42,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
19,0.964877511036714,1,3,1,45,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
20,0.935100357752741,2,1,1,46,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
1,0.543824414264746,1,3,2,3,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
2,0.698823345818905,1,2,2,5,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
3,0.943783649941976,2,18,2,23,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
4,0.5,2,8,2,31,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
5,1.35102095674707,1,4,2,35,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
6,0.711838949656738,2,14,2,49,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
7,0.797042353508032,2,5,2,54,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
8,0.633156763819159,2,4,2,58,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
9,1.18956863504995,1,1,2,59,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
10,0.638338541184663,1,2,2,61,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
11,0.584281963506308,2,16,2,77,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
12,1.13873217550856,2,6,2,83,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
13,0.592009769051098,2,9,2,92,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
14,0.880215416504541,2,2,2,94,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
15,0.961973397073763,1,2,2,96,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
16,0.639009390095391,2,-13,2,83,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
17,1.09124854938309,2,15,2,98,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
18,0.87494352363863,2,7,2,105,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
19,0.811242160544547,2,23,2,128,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
20,0.874068236976301,2,-23,2,105,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
21,0.5,2,10,2,115,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
22,0.560821371002464,2,-17,2,98,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
23,0.512820968654647,2,18,2,116,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
24,0.991123755196084,2,-21,2,95,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
25,0.905430196676382,2,-10,2,85,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
1,0.878143840228931,2,19,3,19,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
2,0.907458101581653,2,5,3,24,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
3,0.768314450130197,2,12,3,36,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
4,0.938777171150154,1,2,3,38,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
5,0.765304472528968,2,8,3,46,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
6,0.927139116534491,2,5,3,51,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
7,0.822466063578101,2,-5,3,46,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
8,0.899819615181528,2,7,3,53,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
9,1.01918881858038,1,3,3,56,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
10,0.801501433943126,2,14,3,70,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
11,0.80144947437047,1,3,3,73,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
12,1.34695340181971,1,0,3,73,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
13,0.79079578520962,2,-8,3,65,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
14,0.985327898770485,1,6,3,71,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
15,0.85426822991325,2,17,3,88,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
16,0.942210869794944,1,-1,3,87,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
17,0.658646963936346,2,3,3,90,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
18,0.719460318057702,2,2,3,92,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
19,1.1530485233183,1,8,3,100,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
20,0.828916097778553,2,12,3,112,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
21,0.5,2,1,3,113,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
22,0.5,2,-3,3,110,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
23,0.651592122196351,1,1,3,111,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
24,0.727324386709382,2,-1,3,110,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
25,0.697229997071413,2,4,3,114,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
1,0.515058491003585,1,2,4,2,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
2,0.752192418503637,1,5,4,7,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
3,1.13084764716571,2,0,4,7,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
4,0.814802057959583,1,6,4,13,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
5,1.13851416201624,2,6,4,19,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
6,0.790677785047916,2,-2,4,17,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
7,1.11195779152424,2,19,4,36,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
8,0.667824577106989,2,6,4,42,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
9,0.836139166648165,2,27,4,69,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
10,1.06582982788927,1,3,4,72,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
11,0.937402143474952,1,2,4,74,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
12,0.867596773491219,2,-6,4,68,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
13,0.5,2,-8,4,60,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
14,0.67830031018281,1,6,4,66,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
15,0.915334418890017,1,3,4,69,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
16,0.798234631959051,1,6,4,75,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
17,0.5,1,-2,4,73,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
18,0.758942986928345,1,0,4,73,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
19,0.5,2,11,4,84,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
20,0.660151425096817,2,-6,4,78,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
21,0.56524661760159,2,12,4,90,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
22,1.20367039067811,1,-3,4,87,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
23,0.685622637168714,1,5,4,92,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
24,1.02858458785848,2,9,4,101,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
25,0.521612205043833,2,12,4,113,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
1,0.788193747945843,1,5,5,5,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
2,0.930933899517831,2,-2,5,3,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
3,0.870147534645956,1,1,5,4,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
4,0.648325881750887,1,1,5,5,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
5,0.881067472278006,1,4,5,9,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
6,0.644195741363969,1,2,5,11,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
7,0.981942800270987,1,2,5,13,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
8,0.613344541833819,1,1,5,14,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
9,0.996865034250798,1,2,5,16,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
10,0.755446777058187,1,3,5,19,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
11,0.707563520405823,1,4,5,23,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
12,0.974852837895794,2,-8,5,15,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
13,1.03223569048817,1,2,5,17,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
14,0.636986319230052,1,2,5,19,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
15,0.755633086869459,2,-9,5,10,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
16,0.580642219336462,1,-5,5,5,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
17,0.960831405021926,1,-1,5,4,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
18,0.729360587753584,2,21,5,25,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
19,0.57574160223238,1,2,5,27,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
20,0.5,1,5,5,32,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
21,0.815676195596974,1,4,5,36,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
22,0.793354469389659,1,1,5,37,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
23,0.555170406609291,2,2,5,39,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
24,0.751189707038681,2,-4,5,35,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
25,0.874160384789843,2,3,5,38,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
1,0.954713140015135,2,3,6,3,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
2,1.06844242824998,2,3,6,6,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
3,0.596777634968324,1,24,6,30,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
4,0.759268866883152,1,18,6,48,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
5,0.546279288169084,2,-2,6,46,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
6,0.5,1,14,6,60,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
7,0.86781607666756,1,13,6,73,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
8,0.922564646683548,1,9,6,82,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
9,0.785147251435061,2,4,6,86,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
10,0.901624692699167,1,-12,6,74,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
11,0.875448083969124,1,7,6,81,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
12,1.39322816643287,2,2,6,83,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
13,1.1130545681346,1,10,6,93,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
14,0.727054698383953,1,-15,6,78,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
15,0.5,1,18,6,96,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
16,1.10812056768163,2,8,6,104,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
17,0.5,1,16,6,120,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
18,0.900708967211097,2,5,6,125,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
19,1.2541772601436,1,26,6,151,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
20,0.93218993784776,2,3,6,154,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
21,0.915463622075633,1,7,6,161,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
22,0.5,1,12,6,173,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
23,0.5,1,13,6,186,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
24,0.85946626367141,2,1,6,187,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
25,1.15778809431896,1,12,6,199,"2;1","dnJ8eYeh",0,3,NA,0,1.04,2
1,0.93045074488259,1,5,7,5,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
2,1.40497775904133,1,4,7,9,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
3,1.11830505854895,1,1,7,10,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
4,0.947413530881451,2,-12,7,-2,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
5,0.5,1,7,7,5,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
6,0.850340678430645,1,2,7,7,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
7,0.683677421420773,1,0,7,7,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
8,0.699990436926503,2,42,7,49,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
9,0.645440315121856,2,-9,7,40,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
10,0.683307007029737,2,14,7,54,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
11,0.990483916013374,2,4,7,58,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
12,0.5,2,-7,7,51,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
13,0.5,1,2,7,53,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
14,1.26272736260306,2,16,7,69,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
15,0.5,1,1,7,70,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
16,1.02715348501019,1,2,7,72,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
17,0.678252730006917,2,28,7,100,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
18,1.15399699221127,2,-11,7,89,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
19,0.538611392851649,2,7,7,96,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
20,0.793346751902961,2,7,7,103,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
21,0.625887931416412,1,1,7,104,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
22,0.677681881975334,1,-6,7,98,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
23,0.879152588702189,2,29,7,127,"1;2","dnJ8eYeh",0,3,NA,0,1.04,2
