"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.775488232324494,1,5,1,5,"2;1","dpbhlaej",0,3,NA,0,0.71,3
2,0.5,2,3,1,8,"2;1","dpbhlaej",0,3,NA,0,0.71,3
3,0.93271670807914,2,5,1,13,"2;1","dpbhlaej",0,3,NA,0,0.71,3
4,0.647032075846153,2,3,1,16,"2;1","dpbhlaej",0,3,NA,0,0.71,3
5,0.904818805662977,2,-2,1,14,"2;1","dpbhlaej",0,3,NA,0,0.71,3
6,0.662078548550384,2,6,1,20,"2;1","dpbhlaej",0,3,NA,0,0.71,3
7,0.693239946572281,2,2,1,22,"2;1","dpbhlaej",0,3,NA,0,0.71,3
8,0.982614467082118,1,5,1,27,"2;1","dpbhlaej",0,3,NA,0,0.71,3
9,0.5,2,3,1,30,"2;1","dpbhlaej",0,3,NA,0,0.71,3
10,1.01182457448583,1,3,1,33,"2;1","dpbhlaej",0,3,NA,0,0.71,3
11,0.5,2,1,1,34,"2;1","dpbhlaej",0,3,NA,0,0.71,3
12,0.956921669795525,1,3,1,37,"2;1","dpbhlaej",0,3,NA,0,0.71,3
13,0.768576146983482,2,0,1,37,"2;1","dpbhlaej",0,3,NA,0,0.71,3
14,0.848694722590474,2,3,1,40,"2;1","dpbhlaej",0,3,NA,0,0.71,3
15,0.873029296221375,2,2,1,42,"2;1","dpbhlaej",0,3,NA,0,0.71,3
16,0.95529741906541,1,6,1,48,"2;1","dpbhlaej",0,3,NA,0,0.71,3
17,0.723332771311787,1,7,1,55,"2;1","dpbhlaej",0,3,NA,0,0.71,3
18,0.963679643352978,1,5,1,60,"2;1","dpbhlaej",0,3,NA,0,0.71,3
19,0.827997140114945,2,2,1,62,"2;1","dpbhlaej",0,3,NA,0,0.71,3
20,0.523938196699999,1,5,1,67,"2;1","dpbhlaej",0,3,NA,0,0.71,3
1,0.701644841580828,2,0,2,0,"2;1","dpbhlaej",0,3,NA,0,0.71,3
2,0.5,2,4,2,4,"2;1","dpbhlaej",0,3,NA,0,0.71,3
3,0.895310946688889,2,-1,2,3,"2;1","dpbhlaej",0,3,NA,0,0.71,3
4,0.902150314805361,2,0,2,3,"2;1","dpbhlaej",0,3,NA,0,0.71,3
5,0.818406026520586,2,0,2,3,"2;1","dpbhlaej",0,3,NA,0,0.71,3
6,1.18905325906418,2,2,2,5,"2;1","dpbhlaej",0,3,NA,0,0.71,3
7,0.755743131813671,2,2,2,7,"2;1","dpbhlaej",0,3,NA,0,0.71,3
8,0.824353043315503,2,0,2,7,"2;1","dpbhlaej",0,3,NA,0,0.71,3
9,1.18564897960162,2,8,2,15,"2;1","dpbhlaej",0,3,NA,0,0.71,3
10,0.506195456983455,2,-1,2,14,"2;1","dpbhlaej",0,3,NA,0,0.71,3
11,0.5,2,4,2,18,"2;1","dpbhlaej",0,3,NA,0,0.71,3
12,0.5,2,6,2,24,"2;1","dpbhlaej",0,3,NA,0,0.71,3
13,0.5,2,3,2,27,"2;1","dpbhlaej",0,3,NA,0,0.71,3
14,0.938688099122272,2,1,2,28,"2;1","dpbhlaej",0,3,NA,0,0.71,3
15,0.694440840949987,2,2,2,30,"2;1","dpbhlaej",0,3,NA,0,0.71,3
16,0.5,2,3,2,33,"2;1","dpbhlaej",0,3,NA,0,0.71,3
17,0.989371775783213,2,4,2,37,"2;1","dpbhlaej",0,3,NA,0,0.71,3
18,0.5809160051006,2,5,2,42,"2;1","dpbhlaej",0,3,NA,0,0.71,3
