"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.846061662513066,2,5,1,5,"2;1","duaVIDAQ",100,5,0,0,0,1
2,1.13933115707707,1,2,1,7,"2;1","duaVIDAQ",100,5,0,0,0,1
3,0.577199325750259,2,3,1,10,"2;1","duaVIDAQ",100,5,0,0,0,1
4,0.579142945850106,2,4,1,14,"2;1","duaVIDAQ",100,5,0,0,0,1
5,0.882834420037599,1,3,1,17,"2;1","duaVIDAQ",100,5,0,0,0,1
6,1.24797768388973,1,3,1,20,"2;1","duaVIDAQ",100,5,0,0,0,1
7,0.588270418237028,1,5,1,25,"2;1","duaVIDAQ",100,5,0,0,0,1
8,0.878472574251837,2,0,1,25,"2;1","duaVIDAQ",100,5,0,0,0,1
9,0.746128765683251,2,5,1,30,"2;1","duaVIDAQ",100,5,0,0,0,1
10,0.616252798474324,2,3,1,33,"2;1","duaVIDAQ",100,5,0,0,0,1
11,0.554707797632,2,1,1,34,"2;1","duaVIDAQ",100,5,0,0,0,1
12,0.958892473330622,2,5,1,39,"2;1","duaVIDAQ",100,5,0,0,0,1
13,0.508267176977033,2,1,1,40,"2;1","duaVIDAQ",100,5,0,0,0,1
14,0.989245054690835,2,0,1,40,"2;1","duaVIDAQ",100,5,0,0,0,1
15,0.763420580317819,1,4,1,44,"2;1","duaVIDAQ",100,5,0,0,0,1
16,0.523857131976559,1,4,1,48,"2;1","duaVIDAQ",100,5,0,0,0,1
17,0.596163140905474,2,1,1,49,"2;1","duaVIDAQ",100,5,0,0,0,1
18,0.972128627539124,1,4,1,53,"2;1","duaVIDAQ",100,5,0,0,0,1
19,0.646364853600934,1,3,1,56,"2;1","duaVIDAQ",100,5,0,0,0,1
20,0.622235677595337,1,5,1,61,"2;1","duaVIDAQ",100,5,0,0,0,1
1,1.03382941448118,2,-2,2,-2,"2;1","duaVIDAQ",100,5,0,0,0,1
2,1.28817175654569,2,3,2,1,"2;1","duaVIDAQ",100,5,0,0,0,1
3,1.01985061740146,2,1,2,2,"2;1","duaVIDAQ",100,5,0,0,0,1
4,0.5,2,9,2,11,"2;1","duaVIDAQ",100,5,0,0,0,1
