"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.769190880430727,2,5,1,5,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
2,0.897579813313871,2,5,1,10,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
3,0.570797541659023,2,3,1,13,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
4,1.21886837789719,2,0,1,13,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
5,0.751762883719458,2,5,1,18,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
6,0.728182808344918,1,2,1,20,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
7,0.685450241604144,2,2,1,22,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
8,0.5,2,2,1,24,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
9,0.711742768905933,2,6,1,30,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
10,0.789652172864366,2,5,1,35,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
11,0.887049941628549,1,3,1,38,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
12,0.888526327561013,1,1,1,39,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
13,0.547880033368449,2,5,1,44,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
14,0.998079366058933,1,-1,1,43,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
15,0.75085355254999,2,4,1,47,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
16,0.76214824658934,2,3,1,50,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
17,0.97530682985631,2,3,1,53,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
18,0.691136390026668,1,2,1,55,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
19,0.594358727367298,2,3,1,58,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
20,0.823502628966562,2,4,1,62,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
1,0.607268737424394,1,6,2,6,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
2,1.03217390390747,2,15,2,21,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
3,1.09078606281233,2,11,2,32,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
4,1.14631256436713,2,-5,2,27,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
5,0.770388199050319,1,2,2,29,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
6,0.610250786792962,2,2,2,31,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
7,0.777810253894299,2,-6,2,25,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
8,0.844715168641502,1,4,2,29,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
9,0.977647586019928,1,2,2,31,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
10,0.814179869317113,1,2,2,33,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
11,0.863861873204158,1,1,2,34,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
12,0.852726456692269,1,6,2,40,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
13,0.95904100884011,1,2,2,42,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
14,0.861111191337324,1,0,2,42,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
15,0.952510024811486,1,8,2,50,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
16,1.11291041088745,1,3,2,53,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
17,1.11849947715077,1,2,2,55,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
18,1.08894320561308,1,-1,2,54,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
19,0.954769861207545,1,1,2,55,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
20,1.11131421296986,2,7,2,62,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
21,0.526432799467719,1,3,2,65,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
22,0.675748172189425,1,3,2,68,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
23,1.0620562866541,1,1,2,69,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
24,1.02483455396793,1,5,2,74,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
25,0.864258099774128,1,4,2,78,"1;2","eaAnsbVq",0,3,NA,0,0.71,3
1,0.684325935611634,2,3,3,3,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
2,0.825378868700516,1,-5,3,-2,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
3,0.989274034198456,2,4,3,2,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
4,0.781375809808955,1,21,3,23,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
5,1.00095742854955,1,11,3,34,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
6,1.00015005628061,1,-16,3,18,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
7,0.5,2,3,3,21,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
8,1.00895087405277,1,12,3,33,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
9,0.890286027419553,1,14,3,47,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
10,1.06783437004,1,0,3,47,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
11,0.929853272097892,1,0,3,47,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
12,0.911291086928187,2,5,3,52,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
13,0.604378041339419,1,-1,3,51,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
14,1.15503762017049,1,-2,3,49,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
15,1.12167245127405,2,5,3,54,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
16,0.696500258313903,2,-1,3,53,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
17,0.792657997975466,1,1,3,54,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
18,1.17426612190638,2,6,3,60,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
19,0.868137246532892,2,1,3,61,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
20,0.712505395169727,2,1,3,62,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
21,0.843982093871118,2,4,3,66,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
22,0.875038939500263,2,6,3,72,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
23,1.06734329597791,2,5,3,77,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
24,0.5,2,0,3,77,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
25,0.579047331722004,2,1,3,78,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
1,0.598147909860279,1,7,4,7,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
2,1.02814199478409,1,-3,4,4,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
3,0.662460089956959,1,4,4,8,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
4,0.744328063469873,1,-1,4,7,"2;1","eaAnsbVq",0,3,NA,0,0.71,3
