"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.32363998358833,1,2,1,2,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
2,0.767894662962826,1,4,1,6,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
3,0.816160856256116,1,6,1,12,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
4,0.718434135556272,1,2,1,14,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
5,0.734260749376752,1,2,1,16,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
6,0.839025673235984,1,2,1,18,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
7,0.60715879367717,1,1,1,19,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
8,0.5,2,6,1,25,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
9,1.17198674333779,1,5,1,30,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
10,1.00635701364787,1,4,1,34,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
11,1.01407474430897,1,3,1,37,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
12,0.73308403902638,2,5,1,42,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
13,0.611853416937462,1,1,1,43,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
14,0.5,2,2,1,45,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
15,1.18613140177621,1,3,1,48,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
16,0.601618476430849,1,8,1,56,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
17,1.17731944339465,1,3,1,59,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
18,0.640412405382423,2,4,1,63,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
19,0.782182437208381,1,-1,1,62,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
20,0.674593767973444,2,1,1,63,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
1,0.800038018743898,2,-2,2,-2,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
2,0.659903078781364,1,10,2,8,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
3,0.622013795059831,1,-1,2,7,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
4,1.14435501187018,1,-8,2,-1,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
5,0.527679836786462,2,1,2,0,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
6,1.03866115745917,2,2,2,2,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
7,1.14946106205859,2,-2,2,0,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
8,1.18884931662534,2,7,2,7,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
9,0.861940878590106,1,0,2,7,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
10,0.836687975407723,2,1,2,8,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
11,0.902148314989198,2,0,2,8,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
12,0.704129189781889,2,-2,2,6,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
13,0.811128665019228,2,1,2,7,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
14,0.5,2,3,2,10,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
15,0.664617954556563,2,4,2,14,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
16,0.765522112126968,2,4,2,18,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
17,0.581971335700502,2,3,2,21,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
18,1.22825017976472,2,3,2,24,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
19,1.00750694708871,2,2,2,26,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
20,0.5,2,0,2,26,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
21,0.6052581956748,2,3,2,29,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
22,0.812861388596384,2,6,2,35,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
23,0.580101258942282,1,-17,2,18,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
24,0.851445416731295,2,4,2,22,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
25,0.5,2,2,2,24,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
1,0.863008071336161,2,5,3,5,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
2,0.852328866214846,2,7,3,12,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
3,0.738706691258875,2,1,3,13,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
4,0.945229293429731,2,2,3,15,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
5,0.735217235064378,2,6,3,21,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
6,0.5,2,1,3,22,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
7,0.725914700536639,2,-3,3,19,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
8,0.703533816041442,2,3,3,22,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
9,0.686452823105275,2,6,3,28,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
10,0.708050976511627,2,-3,3,25,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
11,0.944939540983409,2,3,3,28,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
12,1.06925010518717,2,-1,3,27,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
13,0.773762094828706,1,0,3,27,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
14,0.5,1,2,3,29,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
15,0.538396573043082,1,15,3,44,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
16,0.715638753271261,1,3,3,47,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
17,0.810121013288315,1,0,3,47,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
18,0.960235922202643,2,-1,3,46,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
19,0.875488511063222,1,17,3,63,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
20,1.05632002256314,1,10,3,73,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
21,0.654367996325433,1,10,3,83,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
22,0.61606316417214,1,16,3,99,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
23,0.833683634726813,1,3,3,102,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
24,1.04157299749665,1,3,3,105,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
25,0.615294405414789,1,-8,3,97,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
1,0.5,1,5,4,5,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
2,0.860311017494566,1,2,4,7,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
3,0.530996973756808,1,-1,4,6,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
4,1.07113760195987,1,6,4,12,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
5,0.5,1,0,4,12,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
6,0.770921593696481,1,1,4,13,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
7,0.642589470715323,1,4,4,17,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
8,0.5,1,4,4,21,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
9,0.794728058060838,1,3,4,24,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
10,1.23923790042378,1,1,4,25,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
11,0.636459804380517,1,-1,4,24,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
12,0.810727637405759,1,3,4,27,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
13,0.5,1,2,4,29,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
14,0.831202773143099,2,-2,4,27,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
15,0.5,1,2,4,29,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
16,0.679492599551351,1,1,4,30,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
17,0.5,1,5,4,35,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
18,0.860481255698071,1,5,4,40,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
19,1.11096236887269,2,14,4,54,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
20,0.992168060204715,1,1,4,55,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
21,0.972161077994177,2,7,4,62,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
22,0.73091919725855,2,4,4,66,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
23,0.800269988538521,2,13,4,79,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
24,0.711800976676628,2,19,4,98,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
25,0.5,2,8,4,106,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
1,0.5,2,0,5,0,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
2,0.5,1,-1,5,-1,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
3,0.661161944649653,2,-2,5,-3,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
4,0.663463571398452,1,2,5,-1,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
5,0.856107148467921,1,5,5,4,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
6,0.833221027850167,2,-8,5,-4,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
7,0.821434831663347,1,0,5,-4,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
8,0.959615559069901,1,2,5,-2,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
9,0.910413392352909,1,0,5,-2,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
10,0.5,1,3,5,1,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
11,1.2466471522661,1,3,5,4,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
12,0.894937564909915,1,0,5,4,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
13,0.77232328413589,1,2,5,6,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
14,0.642766568186897,1,9,5,15,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
15,0.5,1,6,5,21,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
16,0.865516411096914,1,8,5,29,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
17,1.07561270670094,1,-1,5,28,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
18,0.559752176466749,1,4,5,32,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
19,1.13109107608484,1,6,5,38,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
20,0.5,1,3,5,41,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
21,0.656595928577598,1,3,5,44,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
22,1.10338730803103,1,6,5,50,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
23,1.06039148741941,1,-1,5,49,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
24,0.663078993507962,1,4,5,53,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
25,0.669426501807981,1,4,5,57,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
1,0.691802337102561,1,24,6,24,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
2,0.649915222211505,1,19,6,43,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
3,0.688442063811774,1,24,6,67,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
4,1.24906292313636,2,2,6,69,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
5,1.04805609128672,1,10,6,79,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
6,0.981457567271105,1,5,6,84,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
7,0.785287267198094,1,-5,6,79,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
8,0.751172576704867,1,21,6,100,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
9,0.616371295292471,1,24,6,124,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
10,0.978661696843444,1,-2,6,122,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
11,0.5,1,-3,6,119,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
12,1.26792996634775,2,1,6,120,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
13,0.996564853133278,1,-13,6,107,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
14,0.979862823553888,2,-1,6,106,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
15,0.563955261857541,2,4,6,110,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
16,0.687941865296526,2,2,6,112,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
17,0.93866013567842,2,6,6,118,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
18,0.5,2,1,6,119,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
19,0.601785998323209,2,-2,6,117,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
20,0.925591359152027,2,5,6,122,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
21,1.0445912525451,2,1,6,123,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
22,0.596002631283993,2,3,6,126,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
23,0.633477627802449,2,-1,6,125,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
24,0.880959794114455,2,3,6,128,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
25,0.664864307582325,2,-1,6,127,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
1,0.722072562076152,2,-3,7,-3,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
2,0.51743544089558,1,1,7,-2,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
3,0.684003926751747,1,1,7,-1,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
4,0.838007946086946,1,1,7,0,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
5,1.20430419191233,1,5,7,5,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
6,0.827722520339446,2,7,7,12,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
7,0.966152858899181,2,3,7,15,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
8,0.5,1,5,7,20,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
9,0.593661680540364,1,1,7,21,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
10,0.592592179091842,1,0,7,21,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
11,0.639760016575924,1,-2,7,19,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
12,0.961221939333036,1,6,7,25,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
13,0.914583199993865,1,1,7,26,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
14,0.683219487372171,2,-1,7,25,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
15,0.5,1,3,7,28,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
16,1.24636142068078,1,3,7,31,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
17,0.5,1,3,7,34,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
18,0.766490663939939,1,-1,7,33,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
19,0.940811395332388,1,6,7,39,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
20,1.16540810370227,1,6,7,45,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
21,0.5,1,4,7,49,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
22,0.622859499012584,1,0,7,49,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
23,0.5,1,7,7,56,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
24,0.725444250266409,1,5,7,61,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
25,0.947858339415435,1,9,7,70,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
1,0.761133383509268,1,0,8,0,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
2,0.809593866278296,2,7,8,7,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
3,0.833575843624059,2,-4,8,3,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
4,0.682394676471804,2,19,8,22,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
5,1.03098855042096,2,6,8,28,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
6,1.01737032100387,2,-6,8,22,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
7,0.658476348465039,1,7,8,29,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
8,0.5,1,2,8,31,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
9,0.721088680497631,2,2,8,33,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
10,0.674132512029045,2,-7,8,26,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
11,0.5,2,2,8,28,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
12,0.994210955135661,1,4,8,32,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
13,0.770851667082032,1,3,8,35,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
14,0.875581815938743,1,2,8,37,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
15,0.54147790564941,1,0,8,37,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
16,0.687651642139305,2,8,8,45,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
17,1.37641067970377,2,-12,8,33,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
18,0.5,1,9,8,42,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
19,0.554732187747769,1,2,8,44,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
20,1.0842534979484,1,2,8,46,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
21,0.889608782925309,1,2,8,48,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
22,1.24633507865079,1,5,8,53,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
23,0.94947318596645,1,3,8,56,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
24,0.5,1,4,8,60,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
25,0.905689109268157,1,1,8,61,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
1,0.810939673277562,2,-9,9,-9,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
2,0.652815473044958,1,1,9,-8,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
3,0.999197973438702,1,5,9,-3,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
4,0.716439869481237,1,6,9,3,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
5,0.501630577342308,1,3,9,6,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
6,1.04198254071105,2,0,9,6,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
7,0.586248126402184,1,0,9,6,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
8,1.02894165762444,1,2,9,8,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
9,0.527246768308807,1,1,9,9,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
10,0.508259998862189,1,6,9,15,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
11,1.0863638747275,2,3,9,18,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
12,0.73190186699576,1,-1,9,17,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
13,0.614184735555517,1,5,9,22,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
14,1.10008750061345,2,10,9,32,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
15,1.04203561611997,2,12,9,44,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
16,0.919308447197643,2,-3,9,41,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
17,0.846725345007411,2,1,9,42,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
18,0.614675854457797,1,4,9,46,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
19,0.537979403572469,1,3,9,49,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
20,0.757288239516487,1,4,9,53,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
21,0.656332214187224,1,3,9,56,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
22,0.66529892581347,1,2,9,58,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
23,1.02521319171445,2,18,9,76,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
24,1.01227451588542,2,23,9,99,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
25,0.675136272710506,2,3,9,102,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
1,1.18852034607707,1,8,10,8,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
2,0.594302326731089,1,1,10,9,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
3,0.588682656446913,1,-2,10,7,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
4,0.832511005179548,1,-5,10,2,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
5,0.5,2,0,10,2,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
6,0.717041460480269,2,6,10,8,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
7,0.701962799998082,2,1,10,9,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
8,0.5,2,3,10,12,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
9,0.5,2,0,10,12,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
10,0.537821418766074,2,3,10,15,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
11,0.906252092458894,2,4,10,19,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
12,0.780562054203091,2,2,10,21,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
13,0.5,2,0,10,21,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
14,1.08390172932951,2,0,10,21,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
15,0.639918103683023,2,-1,10,20,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
16,0.95122245764994,2,0,10,20,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
17,0.646826349533009,2,1,10,21,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
18,0.5,2,2,10,23,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
19,1.15714381043355,2,6,10,29,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
20,0.97903429770875,2,5,10,34,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
21,0.638164916731784,1,6,10,40,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
22,1.12588138352253,2,5,10,45,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
23,0.880257108724319,2,7,10,52,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
24,0.5,1,-6,10,46,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
25,0.614510432588101,2,2,10,48,"2;1","eps4D1Vt",0,3,NA,0,0.68,1
1,0.690322358407819,1,2,11,2,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
2,0.86625421429634,1,6,11,8,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
3,0.927360976560206,1,5,11,13,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
4,1.16742751737018,2,4,11,17,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
5,0.675196635478668,2,5,11,22,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
6,0.955826381309349,1,4,11,26,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
7,0.93963865177565,1,3,11,29,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
8,0.765391756875099,1,-2,11,27,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
9,0.648927651591769,2,-13,11,14,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
10,0.859282075550213,1,5,11,19,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
11,0.981475016182433,1,3,11,22,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
12,0.774158493046531,1,4,11,26,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
13,0.719529697141719,1,1,11,27,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
14,0.754955792040362,1,7,11,34,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
15,0.816136618274766,1,2,11,36,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
16,0.986623810905239,1,5,11,41,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
17,0.913400139830241,1,1,11,42,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
18,0.901176905959836,1,6,11,48,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
19,0.803699421902649,1,3,11,51,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
20,0.956828781508373,1,5,11,56,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
21,0.5,1,6,11,62,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
22,0.774879131880162,1,2,11,64,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
23,0.899159951142834,1,6,11,70,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
24,0.898283994014591,1,2,11,72,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
25,0.785162391938745,1,4,11,76,"1;2","eps4D1Vt",0,3,NA,0,0.68,1
