"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.95352255687213,1,3,1,3,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
2,0.782657549962597,1,3,1,6,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
3,0.523608742699655,1,2,1,8,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
4,0.527232343276147,1,7,1,15,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
5,0.668093428290266,1,1,1,16,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
6,1.33212849164833,1,3,1,19,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
7,1.12854672182803,1,2,1,21,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
8,1.05969590751015,1,3,1,24,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
9,0.745754917607448,1,3,1,27,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
10,0.5,1,3,1,30,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
11,0.896396331631363,2,5,1,35,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
12,0.5,1,4,1,39,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
13,1.00032712919781,1,4,1,43,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
14,0.515758098649628,1,1,1,44,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
15,0.5,1,1,1,45,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
16,0.824666971659011,1,3,1,48,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
17,0.5,1,4,1,52,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
18,0.590395447475544,2,5,1,57,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
19,0.693904785521896,1,5,1,62,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
20,0.628649073056767,1,3,1,65,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
1,0.5,2,0,2,0,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
2,1.0647669606453,2,4,2,4,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
3,0.931605953092949,1,17,2,21,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
4,0.564394901121738,1,7,2,28,"2;1","f1QiSSdZ",0,3,NA,3,0.82,2
