"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.847520557935393,1,5,1,5,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
2,0.749654749493929,1,4,1,9,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
3,1.03001669774378,1,3,1,12,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
4,0.591857939946132,1,2,1,14,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
5,0.735999690496026,1,3,1,17,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
6,0.881679409611369,1,0,1,17,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
7,0.921398177886385,1,6,1,23,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
8,0.833530431301827,1,3,1,26,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
9,1.00265822789083,1,1,1,27,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
10,0.864692265640195,1,4,1,31,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
11,0.754387251147525,1,3,1,34,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
12,0.637574487749541,1,3,1,37,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
13,0.651300268497004,1,4,1,41,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
14,1.0045485416929,1,4,1,45,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
15,0.746538205542555,1,5,1,50,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
16,1.35824168147349,1,5,1,55,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
17,0.824065809845622,1,3,1,58,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
18,0.950932686335357,1,7,1,65,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
19,0.818064530906859,1,2,1,67,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
20,0.5,1,2,1,69,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
1,0.710431551862496,2,6,2,6,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
2,1.16162873246274,2,3,2,9,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
3,0.805382367455431,2,3,2,12,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
4,0.505968651197672,2,5,2,17,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
5,0.831777902131936,2,4,2,21,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
6,0.959244134708157,2,8,2,29,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
7,0.512987161398469,2,3,2,32,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
8,0.866647757137263,2,3,2,35,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
9,0.602553477156523,2,3,2,38,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
10,0.5,2,3,2,41,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
11,0.5,2,5,2,46,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
12,0.656888093797696,2,2,2,48,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
13,0.5,2,5,2,53,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
14,1.01893946524163,2,2,2,55,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
15,0.807932713278732,2,4,2,59,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
16,0.5,2,4,2,63,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
17,0.866011248113948,2,6,2,69,"2;1","fjfvXy6s",0,2,NA,0,0.98,1
