"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.737054546639738,2,4,1,4,"1;2","fvgSkalu",0,1,NA,0,0.84,1
2,0.558132510875756,2,2,1,6,"1;2","fvgSkalu",0,1,NA,0,0.84,1
3,1.20408194390924,2,6,1,12,"1;2","fvgSkalu",0,1,NA,0,0.84,1
4,0.95924083934214,2,-1,1,11,"1;2","fvgSkalu",0,1,NA,0,0.84,1
5,0.671983539646491,2,3,1,14,"1;2","fvgSkalu",0,1,NA,0,0.84,1
6,0.580495055621735,2,2,1,16,"1;2","fvgSkalu",0,1,NA,0,0.84,1
7,0.5,2,1,1,17,"1;2","fvgSkalu",0,1,NA,0,0.84,1
8,0.5,2,5,1,22,"1;2","fvgSkalu",0,1,NA,0,0.84,1
9,0.554638170968961,1,2,1,24,"1;2","fvgSkalu",0,1,NA,0,0.84,1
10,1.01180571713867,2,0,1,24,"1;2","fvgSkalu",0,1,NA,0,0.84,1
11,0.642986939860933,1,3,1,27,"1;2","fvgSkalu",0,1,NA,0,0.84,1
12,1.175100097916,2,3,1,30,"1;2","fvgSkalu",0,1,NA,0,0.84,1
13,0.5,2,3,1,33,"1;2","fvgSkalu",0,1,NA,0,0.84,1
14,0.818269012242736,2,5,1,38,"1;2","fvgSkalu",0,1,NA,0,0.84,1
15,0.70401743320028,2,1,1,39,"1;2","fvgSkalu",0,1,NA,0,0.84,1
16,0.991449249723837,2,4,1,43,"1;2","fvgSkalu",0,1,NA,0,0.84,1
17,1.35282931161334,2,3,1,46,"1;2","fvgSkalu",0,1,NA,0,0.84,1
18,1.17147250330426,1,0,1,46,"1;2","fvgSkalu",0,1,NA,0,0.84,1
19,0.577566626517252,2,5,1,51,"1;2","fvgSkalu",0,1,NA,0,0.84,1
20,0.986023524812209,1,2,1,53,"1;2","fvgSkalu",0,1,NA,0,0.84,1
1,1.08215910908255,2,-16,2,-16,"1;2","fvgSkalu",0,1,NA,0,0.84,1
2,0.5,1,6,2,-10,"1;2","fvgSkalu",0,1,NA,0,0.84,1
3,0.881771659902346,1,3,2,-7,"1;2","fvgSkalu",0,1,NA,0,0.84,1
4,1.0790918634934,1,6,2,-1,"1;2","fvgSkalu",0,1,NA,0,0.84,1
5,0.5,1,5,2,4,"1;2","fvgSkalu",0,1,NA,0,0.84,1
6,0.63910043741544,1,4,2,8,"1;2","fvgSkalu",0,1,NA,0,0.84,1
7,0.57801161983332,1,3,2,11,"1;2","fvgSkalu",0,1,NA,0,0.84,1
8,0.65913962488606,1,3,2,14,"1;2","fvgSkalu",0,1,NA,0,0.84,1
9,0.711659425209018,1,7,2,21,"1;2","fvgSkalu",0,1,NA,0,0.84,1
10,0.678460400223872,1,2,2,23,"1;2","fvgSkalu",0,1,NA,0,0.84,1
11,0.713238049947092,2,-3,2,20,"1;2","fvgSkalu",0,1,NA,0,0.84,1
12,0.851626307488324,2,3,2,23,"1;2","fvgSkalu",0,1,NA,0,0.84,1
13,0.955062172965048,2,8,2,31,"1;2","fvgSkalu",0,1,NA,0,0.84,1
14,0.835033975852864,1,8,2,39,"1;2","fvgSkalu",0,1,NA,0,0.84,1
15,0.882834166710402,1,-3,2,36,"1;2","fvgSkalu",0,1,NA,0,0.84,1
16,0.53446277575608,1,4,2,40,"1;2","fvgSkalu",0,1,NA,0,0.84,1
17,1.03341051852283,2,-21,2,19,"1;2","fvgSkalu",0,1,NA,0,0.84,1
18,0.786320778410093,1,8,2,27,"1;2","fvgSkalu",0,1,NA,0,0.84,1
19,0.585157248073177,2,28,2,55,"1;2","fvgSkalu",0,1,NA,0,0.84,1
20,0.701022895395601,1,6,2,61,"1;2","fvgSkalu",0,1,NA,0,0.84,1
21,0.5,1,4,2,65,"1;2","fvgSkalu",0,1,NA,0,0.84,1
22,1.00514901253083,1,5,2,70,"1;2","fvgSkalu",0,1,NA,0,0.84,1
23,1.13173022000566,1,8,2,78,"1;2","fvgSkalu",0,1,NA,0,0.84,1
24,0.717110430688409,1,4,2,82,"1;2","fvgSkalu",0,1,NA,0,0.84,1
25,0.93044101960291,1,7,2,89,"1;2","fvgSkalu",0,1,NA,0,0.84,1
1,1.06119506086766,2,3,3,3,"1;2","fvgSkalu",0,1,NA,0,0.84,1
2,0.927108966418958,2,1,3,4,"1;2","fvgSkalu",0,1,NA,0,0.84,1
3,0.576428307817815,1,5,3,9,"1;2","fvgSkalu",0,1,NA,0,0.84,1
4,0.628133185952624,1,10,3,19,"1;2","fvgSkalu",0,1,NA,0,0.84,1
5,0.894631439344618,2,23,3,42,"1;2","fvgSkalu",0,1,NA,0,0.84,1
6,0.615076662175094,2,-3,3,39,"1;2","fvgSkalu",0,1,NA,0,0.84,1
7,0.719903918770748,1,5,3,44,"1;2","fvgSkalu",0,1,NA,0,0.84,1
8,0.646186006856703,2,-8,3,36,"1;2","fvgSkalu",0,1,NA,0,0.84,1
9,0.613319783706746,1,3,3,39,"1;2","fvgSkalu",0,1,NA,0,0.84,1
10,0.532287286687422,2,6,3,45,"1;2","fvgSkalu",0,1,NA,0,0.84,1
11,1.04997349863284,1,9,3,54,"1;2","fvgSkalu",0,1,NA,0,0.84,1
12,1.03051063926443,2,3,3,57,"1;2","fvgSkalu",0,1,NA,0,0.84,1
13,1.11279893122841,1,6,3,63,"1;2","fvgSkalu",0,1,NA,0,0.84,1
14,0.643420852490846,1,3,3,66,"1;2","fvgSkalu",0,1,NA,0,0.84,1
15,0.958255715453695,1,5,3,71,"1;2","fvgSkalu",0,1,NA,0,0.84,1
16,0.948729007562429,1,6,3,77,"1;2","fvgSkalu",0,1,NA,0,0.84,1
17,0.5,1,3,3,80,"1;2","fvgSkalu",0,1,NA,0,0.84,1
18,0.5,1,4,3,84,"1;2","fvgSkalu",0,1,NA,0,0.84,1
19,0.824385810334044,1,5,3,89,"1;2","fvgSkalu",0,1,NA,0,0.84,1
20,0.795675581011838,2,-10,3,79,"1;2","fvgSkalu",0,1,NA,0,0.84,1
21,1.13865343116611,1,4,3,83,"1;2","fvgSkalu",0,1,NA,0,0.84,1
22,0.901201429581638,1,6,3,89,"1;2","fvgSkalu",0,1,NA,0,0.84,1
23,0.5,2,-10,3,79,"1;2","fvgSkalu",0,1,NA,0,0.84,1
