"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.719735931580797,2,5,1,5,"1;2","fweliuva",100,4,5,2,1,1
2,0.962596202342542,2,2,1,7,"1;2","fweliuva",100,4,5,2,1,1
3,1.2913163560741,2,-1,1,6,"1;2","fweliuva",100,4,5,2,1,1
4,0.744438467154161,2,3,1,9,"1;2","fweliuva",100,4,5,2,1,1
5,1.05325675342327,2,3,1,12,"1;2","fweliuva",100,4,5,2,1,1
6,1.08687527184974,2,3,1,15,"1;2","fweliuva",100,4,5,2,1,1
7,0.942390863035509,1,3,1,18,"1;2","fweliuva",100,4,5,2,1,1
8,0.987465472206565,1,6,1,24,"1;2","fweliuva",100,4,5,2,1,1
9,1.03991406143548,1,6,1,30,"1;2","fweliuva",100,4,5,2,1,1
10,1.21834127809638,1,1,1,31,"1;2","fweliuva",100,4,5,2,1,1
11,0.819758281703971,1,5,1,36,"1;2","fweliuva",100,4,5,2,1,1
12,0.629623695399916,1,2,1,38,"1;2","fweliuva",100,4,5,2,1,1
13,0.5,1,2,1,40,"1;2","fweliuva",100,4,5,2,1,1
14,0.935117155341051,1,4,1,44,"1;2","fweliuva",100,4,5,2,1,1
15,1.05173862545278,1,4,1,48,"1;2","fweliuva",100,4,5,2,1,1
16,0.924818760499456,1,3,1,51,"1;2","fweliuva",100,4,5,2,1,1
17,0.848490919111674,2,5,1,56,"1;2","fweliuva",100,4,5,2,1,1
18,1.13397966748365,2,5,1,61,"1;2","fweliuva",100,4,5,2,1,1
19,0.699513520708325,1,6,1,67,"1;2","fweliuva",100,4,5,2,1,1
20,1.20889657827335,1,4,1,71,"1;2","fweliuva",100,4,5,2,1,1
1,0.629863168939689,2,3,2,3,"2;1","fweliuva",100,4,5,2,1,1
2,0.74335648491789,2,7,2,10,"2;1","fweliuva",100,4,5,2,1,1
3,0.761422663119354,2,5,2,15,"2;1","fweliuva",100,4,5,2,1,1
4,1.01101019348867,1,-17,2,-2,"2;1","fweliuva",100,4,5,2,1,1
5,1.01926720598909,2,7,2,5,"2;1","fweliuva",100,4,5,2,1,1
6,0.977263508933471,2,6,2,11,"2;1","fweliuva",100,4,5,2,1,1
7,0.813035152938369,2,5,2,16,"2;1","fweliuva",100,4,5,2,1,1
8,0.756228446840116,1,9,2,25,"2;1","fweliuva",100,4,5,2,1,1
9,1.03541646259493,2,1,2,26,"2;1","fweliuva",100,4,5,2,1,1
10,0.696024217458994,2,3,2,29,"2;1","fweliuva",100,4,5,2,1,1
11,0.582495310081771,1,13,2,42,"2;1","fweliuva",100,4,5,2,1,1
12,0.694352628983826,2,6,2,48,"2;1","fweliuva",100,4,5,2,1,1
13,0.5,2,1,2,49,"2;1","fweliuva",100,4,5,2,1,1
14,0.558105471441036,2,2,2,51,"2;1","fweliuva",100,4,5,2,1,1
15,0.643016017816544,2,2,2,53,"2;1","fweliuva",100,4,5,2,1,1
16,0.926775106007599,1,10,2,63,"2;1","fweliuva",100,4,5,2,1,1
17,0.5,2,3,2,66,"2;1","fweliuva",100,4,5,2,1,1
18,0.534064610356849,1,20,2,86,"2;1","fweliuva",100,4,5,2,1,1
19,1.06599300530639,2,2,2,88,"2;1","fweliuva",100,4,5,2,1,1
20,0.762374023306676,1,5,2,93,"2;1","fweliuva",100,4,5,2,1,1
21,0.896135968675378,1,21,2,114,"2;1","fweliuva",100,4,5,2,1,1
22,1.07454168496748,2,3,2,117,"2;1","fweliuva",100,4,5,2,1,1
23,0.851937475628903,2,-1,2,116,"2;1","fweliuva",100,4,5,2,1,1
24,0.923367106697363,2,6,2,122,"2;1","fweliuva",100,4,5,2,1,1
25,0.911974703059557,1,2,2,124,"2;1","fweliuva",100,4,5,2,1,1
1,0.818877797104876,1,6,3,6,"1;2","fweliuva",100,4,5,2,1,1
2,0.734051112959772,1,5,3,11,"1;2","fweliuva",100,4,5,2,1,1
3,0.948593572742124,2,-3,3,8,"1;2","fweliuva",100,4,5,2,1,1
4,0.82914304408953,1,5,3,13,"1;2","fweliuva",100,4,5,2,1,1
5,0.5,1,6,3,19,"1;2","fweliuva",100,4,5,2,1,1
6,0.819616858700328,1,5,3,24,"1;2","fweliuva",100,4,5,2,1,1
7,0.5,1,-2,3,22,"1;2","fweliuva",100,4,5,2,1,1
8,0.999683193255557,1,8,3,30,"1;2","fweliuva",100,4,5,2,1,1
9,0.867775499266745,1,7,3,37,"1;2","fweliuva",100,4,5,2,1,1
10,0.956175443932449,2,-18,3,19,"1;2","fweliuva",100,4,5,2,1,1
11,1.05447994946693,1,1,3,20,"1;2","fweliuva",100,4,5,2,1,1
12,1.14631599020473,2,-4,3,16,"1;2","fweliuva",100,4,5,2,1,1
13,0.5,1,1,3,17,"1;2","fweliuva",100,4,5,2,1,1
14,0.9514251668597,1,1,3,18,"1;2","fweliuva",100,4,5,2,1,1
15,0.879330352188739,2,33,3,51,"1;2","fweliuva",100,4,5,2,1,1
16,0.839980942255474,1,7,3,58,"1;2","fweliuva",100,4,5,2,1,1
17,0.812175652268409,2,1,3,59,"1;2","fweliuva",100,4,5,2,1,1
18,0.819948741611383,2,24,3,83,"1;2","fweliuva",100,4,5,2,1,1
19,0.982474653551434,2,17,3,100,"1;2","fweliuva",100,4,5,2,1,1
20,0.955567430398699,1,7,3,107,"1;2","fweliuva",100,4,5,2,1,1
21,0.5,2,23,3,130,"1;2","fweliuva",100,4,5,2,1,1
22,0.631737825412708,1,3,3,133,"1;2","fweliuva",100,4,5,2,1,1
23,1.13762337314423,1,6,3,139,"1;2","fweliuva",100,4,5,2,1,1
24,1.23790871061284,1,6,3,145,"1;2","fweliuva",100,4,5,2,1,1
25,0.854943002105982,2,15,3,160,"1;2","fweliuva",100,4,5,2,1,1
1,0.63387789311957,2,0,4,0,"1;2","fweliuva",100,4,5,2,1,1
2,0.652904755388404,1,9,4,9,"1;2","fweliuva",100,4,5,2,1,1
3,0.646050674334424,1,5,4,14,"1;2","fweliuva",100,4,5,2,1,1
4,0.975285424566595,2,12,4,26,"1;2","fweliuva",100,4,5,2,1,1
5,0.548983269377529,1,4,4,30,"1;2","fweliuva",100,4,5,2,1,1
6,0.695334690226412,2,6,4,36,"1;2","fweliuva",100,4,5,2,1,1
7,0.757849907667894,2,-2,4,34,"1;2","fweliuva",100,4,5,2,1,1
8,0.710720515649451,2,17,4,51,"1;2","fweliuva",100,4,5,2,1,1
9,0.903191638103243,2,-6,4,45,"1;2","fweliuva",100,4,5,2,1,1
10,1.14844103849336,1,5,4,50,"1;2","fweliuva",100,4,5,2,1,1
11,1.0809032411978,2,13,4,63,"1;2","fweliuva",100,4,5,2,1,1
12,0.921865738996404,1,0,4,63,"1;2","fweliuva",100,4,5,2,1,1
13,0.5,2,2,4,65,"1;2","fweliuva",100,4,5,2,1,1
14,0.604429165427915,2,-7,4,58,"1;2","fweliuva",100,4,5,2,1,1
15,0.877013015064112,1,10,4,68,"1;2","fweliuva",100,4,5,2,1,1
16,0.748929900502701,1,4,4,72,"1;2","fweliuva",100,4,5,2,1,1
17,1.00977314747173,1,2,4,74,"1;2","fweliuva",100,4,5,2,1,1
18,0.608767876456186,1,4,4,78,"1;2","fweliuva",100,4,5,2,1,1
19,0.771647111038848,1,1,4,79,"1;2","fweliuva",100,4,5,2,1,1
20,0.683714633353429,2,-5,4,74,"1;2","fweliuva",100,4,5,2,1,1
21,0.705061185789096,2,27,4,101,"1;2","fweliuva",100,4,5,2,1,1
22,0.812816908269512,1,0,4,101,"1;2","fweliuva",100,4,5,2,1,1
23,0.784201179625584,2,6,4,107,"1;2","fweliuva",100,4,5,2,1,1
24,0.947638443810352,2,13,4,120,"1;2","fweliuva",100,4,5,2,1,1
25,0.680033467529119,1,0,4,120,"1;2","fweliuva",100,4,5,2,1,1
1,0.503373247760804,1,3,5,3,"1;2","fweliuva",100,4,5,2,1,1
2,0.5,2,11,5,14,"1;2","fweliuva",100,4,5,2,1,1
3,0.89505227727305,2,-14,5,0,"1;2","fweliuva",100,4,5,2,1,1
4,0.5,2,13,5,13,"1;2","fweliuva",100,4,5,2,1,1
5,0.768398185878076,2,7,5,20,"1;2","fweliuva",100,4,5,2,1,1
6,0.894247282008973,2,4,5,24,"1;2","fweliuva",100,4,5,2,1,1
7,0.986407686094403,1,4,5,28,"1;2","fweliuva",100,4,5,2,1,1
8,0.784555848222034,1,1,5,29,"1;2","fweliuva",100,4,5,2,1,1
9,0.846335597401005,2,10,5,39,"1;2","fweliuva",100,4,5,2,1,1
10,0.5,2,7,5,46,"1;2","fweliuva",100,4,5,2,1,1
11,0.703106377926307,1,2,5,48,"1;2","fweliuva",100,4,5,2,1,1
12,1.13612341995078,2,2,5,50,"1;2","fweliuva",100,4,5,2,1,1
13,0.799286216792436,2,-2,5,48,"1;2","fweliuva",100,4,5,2,1,1
14,0.992149892441542,2,-10,5,38,"1;2","fweliuva",100,4,5,2,1,1
15,0.866475217772014,2,7,5,45,"1;2","fweliuva",100,4,5,2,1,1
16,0.5,2,8,5,53,"1;2","fweliuva",100,4,5,2,1,1
17,0.53743268417168,2,-2,5,51,"1;2","fweliuva",100,4,5,2,1,1
18,0.645393748252673,2,18,5,69,"1;2","fweliuva",100,4,5,2,1,1
19,0.568997469784278,2,-5,5,64,"1;2","fweliuva",100,4,5,2,1,1
20,0.701454472832425,1,4,5,68,"1;2","fweliuva",100,4,5,2,1,1
21,1.29880243427639,2,17,5,85,"1;2","fweliuva",100,4,5,2,1,1
22,0.812728343709788,2,5,5,90,"1;2","fweliuva",100,4,5,2,1,1
23,0.948565882514838,1,5,5,95,"1;2","fweliuva",100,4,5,2,1,1
24,0.922892050323133,1,1,5,96,"1;2","fweliuva",100,4,5,2,1,1
25,0.5,1,7,5,103,"1;2","fweliuva",100,4,5,2,1,1
1,0.841974044408286,1,3,6,3,"1;2","fweliuva",100,4,5,2,1,1
2,0.5,2,-12,6,-9,"1;2","fweliuva",100,4,5,2,1,1
3,0.5,1,5,6,-4,"1;2","fweliuva",100,4,5,2,1,1
4,0.823996121202385,1,7,6,3,"1;2","fweliuva",100,4,5,2,1,1
5,0.946733707856277,1,7,6,10,"1;2","fweliuva",100,4,5,2,1,1
6,0.722490533652512,1,6,6,16,"1;2","fweliuva",100,4,5,2,1,1
7,0.569969754281614,1,3,6,19,"1;2","fweliuva",100,4,5,2,1,1
8,0.693408070456351,2,27,6,46,"1;2","fweliuva",100,4,5,2,1,1
9,0.868658322933087,1,6,6,52,"1;2","fweliuva",100,4,5,2,1,1
10,0.5,1,3,6,55,"1;2","fweliuva",100,4,5,2,1,1
11,0.734093326152723,1,7,6,62,"1;2","fweliuva",100,4,5,2,1,1
12,0.889515804518632,2,-6,6,56,"1;2","fweliuva",100,4,5,2,1,1
