"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.977670475239712,1,1,1,1,"2;1","g9JCWp7V",0,1,NA,0,1,3
2,0.660361785329025,1,3,1,4,"2;1","g9JCWp7V",0,1,NA,0,1,3
3,0.794287166702292,1,4,1,8,"2;1","g9JCWp7V",0,1,NA,0,1,3
4,0.85614815815675,1,5,1,13,"2;1","g9JCWp7V",0,1,NA,0,1,3
5,0.938753301396927,2,6,1,19,"2;1","g9JCWp7V",0,1,NA,0,1,3
6,1.09618946354269,1,2,1,21,"2;1","g9JCWp7V",0,1,NA,0,1,3
7,0.537750392346492,1,4,1,25,"2;1","g9JCWp7V",0,1,NA,0,1,3
8,0.788713062280683,1,3,1,28,"2;1","g9JCWp7V",0,1,NA,0,1,3
9,1.03792806715227,2,4,1,32,"2;1","g9JCWp7V",0,1,NA,0,1,3
10,0.607329369385168,1,1,1,33,"2;1","g9JCWp7V",0,1,NA,0,1,3
11,0.667561245732721,2,2,1,35,"2;1","g9JCWp7V",0,1,NA,0,1,3
12,1.05649016293069,1,2,1,37,"2;1","g9JCWp7V",0,1,NA,0,1,3
13,0.703096654592135,1,5,1,42,"2;1","g9JCWp7V",0,1,NA,0,1,3
14,1.11961574187829,2,2,1,44,"2;1","g9JCWp7V",0,1,NA,0,1,3
15,0.621364676204475,1,6,1,50,"2;1","g9JCWp7V",0,1,NA,0,1,3
16,1.03637016829801,1,-1,1,49,"2;1","g9JCWp7V",0,1,NA,0,1,3
17,1.12690568861772,1,4,1,53,"2;1","g9JCWp7V",0,1,NA,0,1,3
18,0.847347385562929,1,3,1,56,"2;1","g9JCWp7V",0,1,NA,0,1,3
19,0.533380775085899,1,3,1,59,"2;1","g9JCWp7V",0,1,NA,0,1,3
20,0.76438008742906,1,3,1,62,"2;1","g9JCWp7V",0,1,NA,0,1,3
1,1.20445165193178,2,4,2,4,"2;1","g9JCWp7V",0,1,NA,0,1,3
2,0.5,2,2,2,6,"2;1","g9JCWp7V",0,1,NA,0,1,3
3,0.882227583000961,2,7,2,13,"2;1","g9JCWp7V",0,1,NA,0,1,3
4,0.775751649104592,2,6,2,19,"2;1","g9JCWp7V",0,1,NA,0,1,3
5,0.713926445863632,1,-3,2,16,"2;1","g9JCWp7V",0,1,NA,0,1,3
6,1.10974128974742,2,5,2,21,"2;1","g9JCWp7V",0,1,NA,0,1,3
7,1.01166752586736,2,2,2,23,"2;1","g9JCWp7V",0,1,NA,0,1,3
8,0.710399544030787,2,2,2,25,"2;1","g9JCWp7V",0,1,NA,0,1,3
9,0.908191201465297,1,16,2,41,"2;1","g9JCWp7V",0,1,NA,0,1,3
10,0.655393623305574,1,0,2,41,"2;1","g9JCWp7V",0,1,NA,0,1,3
11,0.5,1,5,2,46,"2;1","g9JCWp7V",0,1,NA,0,1,3
12,0.530580069790873,2,1,2,47,"2;1","g9JCWp7V",0,1,NA,0,1,3
13,0.919911587613417,1,7,2,54,"2;1","g9JCWp7V",0,1,NA,0,1,3
14,0.936551177763454,1,-8,2,46,"2;1","g9JCWp7V",0,1,NA,0,1,3
15,0.606353965154039,2,4,2,50,"2;1","g9JCWp7V",0,1,NA,0,1,3
