"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.09340935418135,2,5,1,5,"2;1","gLwDLi8p",100,6,5,0,1,1
2,0.645530958845645,2,2,1,7,"2;1","gLwDLi8p",100,6,5,0,1,1
3,0.5,1,1,1,8,"2;1","gLwDLi8p",100,6,5,0,1,1
4,1.00033164260455,2,5,1,13,"2;1","gLwDLi8p",100,6,5,0,1,1
5,0.89333553672391,2,1,1,14,"2;1","gLwDLi8p",100,6,5,0,1,1
6,0.788950317583444,1,-1,1,13,"2;1","gLwDLi8p",100,6,5,0,1,1
7,0.947042710114168,1,3,1,16,"2;1","gLwDLi8p",100,6,5,0,1,1
8,0.648369218147628,1,5,1,21,"2;1","gLwDLi8p",100,6,5,0,1,1
9,1.07619661030432,2,5,1,26,"2;1","gLwDLi8p",100,6,5,0,1,1
10,0.772347119207015,2,4,1,30,"2;1","gLwDLi8p",100,6,5,0,1,1
11,0.751601770292932,1,6,1,36,"2;1","gLwDLi8p",100,6,5,0,1,1
12,1.01910735245966,1,1,1,37,"2;1","gLwDLi8p",100,6,5,0,1,1
13,0.804151213361532,1,4,1,41,"2;1","gLwDLi8p",100,6,5,0,1,1
14,0.5,1,5,1,46,"2;1","gLwDLi8p",100,6,5,0,1,1
15,0.5,1,2,1,48,"2;1","gLwDLi8p",100,6,5,0,1,1
16,0.945365102923552,2,3,1,51,"2;1","gLwDLi8p",100,6,5,0,1,1
17,1.06700935394692,2,-1,1,50,"2;1","gLwDLi8p",100,6,5,0,1,1
18,0.989054293960534,1,3,1,53,"2;1","gLwDLi8p",100,6,5,0,1,1
19,0.776255107420488,2,7,1,60,"2;1","gLwDLi8p",100,6,5,0,1,1
20,1.21836659091636,1,3,1,63,"2;1","gLwDLi8p",100,6,5,0,1,1
1,0.966467186641637,2,3,2,3,"2;1","gLwDLi8p",100,6,5,0,1,1
2,0.5,2,4,2,7,"2;1","gLwDLi8p",100,6,5,0,1,1
3,0.708103626557024,2,3,2,10,"2;1","gLwDLi8p",100,6,5,0,1,1
4,0.677408909817784,1,-3,2,7,"2;1","gLwDLi8p",100,6,5,0,1,1
5,0.5,1,19,2,26,"2;1","gLwDLi8p",100,6,5,0,1,1
6,0.686022376969137,1,-1,2,25,"2;1","gLwDLi8p",100,6,5,0,1,1
7,0.849776804650389,1,-5,2,20,"2;1","gLwDLi8p",100,6,5,0,1,1
8,0.5,1,14,2,34,"2;1","gLwDLi8p",100,6,5,0,1,1
9,1.04612974261782,1,-4,2,30,"2;1","gLwDLi8p",100,6,5,0,1,1
10,0.964961435746888,1,-15,2,15,"2;1","gLwDLi8p",100,6,5,0,1,1
11,0.808843207459824,2,-1,2,14,"2;1","gLwDLi8p",100,6,5,0,1,1
