"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.512438923760443,1,4,1,4,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
2,0.5,2,3,1,7,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
3,0.879745836737368,1,4,1,11,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
4,0.5,2,2,1,13,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
5,0.5,1,1,1,14,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
6,1.18975333922142,1,3,1,17,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
7,0.792903466596024,2,6,1,23,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
8,0.877330726140533,2,-1,1,22,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
9,0.5,1,4,1,26,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
10,1.21107926829583,1,1,1,27,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
11,0.777913697747754,1,3,1,30,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
12,0.762769536123268,1,5,1,35,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
13,0.752522736096022,1,2,1,37,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
14,0.935536460394979,1,0,1,37,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
15,0.803616233906893,1,2,1,39,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
16,1.08962968638315,1,1,1,40,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
17,0.860653604286182,2,0,1,40,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
18,0.91027067435072,2,-1,1,39,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
19,0.682024155380328,2,0,1,39,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
20,1.21593052107007,1,4,1,43,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
1,0.963360603516008,1,2,2,2,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
2,0.67929793269123,1,4,2,6,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
3,0.982327335120984,1,7,2,13,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
4,0.62200121002195,1,6,2,19,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
5,1.40736320931473,1,8,2,27,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
6,1.04918728153182,2,-10,2,17,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
7,0.873946529851647,2,17,2,34,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
8,0.664100829757581,2,18,2,52,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
9,0.599094009182417,2,-13,2,39,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
10,0.817093769828026,1,5,2,44,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
11,0.978277496833497,2,-3,2,41,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
12,0.714490306062502,1,8,2,49,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
13,0.778857898559419,1,5,2,54,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
14,1.18209326538992,1,10,2,64,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
15,0.813744172089664,2,6,2,70,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
16,0.749468295211696,1,2,2,72,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
17,0.5,2,7,2,79,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
18,0.5,2,3,2,82,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
19,1.20420995974737,1,7,2,89,"1;2","gOxvSp4t",0,1,NA,1,1.09,3
