"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.929236810567946,1,0,1,0,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
2,0.793577112742415,1,6,1,6,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
3,0.900498814004164,1,3,1,9,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
4,0.5,1,-1,1,8,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
5,0.838791782898975,1,4,1,12,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
6,0.734346003923111,1,4,1,16,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
7,0.910201977348912,2,4,1,20,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
8,0.665006516578777,1,1,1,21,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
9,0.5,1,8,1,29,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
10,0.5,1,3,1,32,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
11,0.674836256352667,1,2,1,34,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
12,0.671883709361464,1,-1,1,33,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
13,0.533381194443384,1,8,1,41,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
14,1.15584015901409,2,0,1,41,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
15,0.9467620747493,1,3,1,44,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
16,0.641046747201814,1,-3,1,41,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
17,0.639421920276887,1,6,1,47,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
18,0.821356742326155,1,2,1,49,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
19,0.718722476839559,1,4,1,53,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
20,0.764409170135392,1,2,1,55,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
1,0.89876600409078,2,0,2,0,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
2,1.19116909069502,2,1,2,1,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
3,0.800102662025822,1,3,2,4,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
4,0.557041369358203,1,0,2,4,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
5,0.536150506949399,1,-13,2,-9,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
6,0.757013729520171,2,5,2,-4,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
7,0.5,2,0,2,-4,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
8,0.818368081316717,2,3,2,-1,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
9,1.1527704146914,1,-21,2,-22,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
10,0.839348003196989,2,3,2,-19,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
11,0.5,2,5,2,-14,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
12,0.637962801000408,1,1,2,-13,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
13,0.685151614798933,1,8,2,-5,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
14,1.02433826738737,2,-1,2,-6,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
15,0.589998067543572,2,-1,2,-7,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
16,0.887653659085682,2,1,2,-6,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
17,0.70594435996454,2,0,2,-6,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
18,0.776583440922732,2,6,2,0,"2;1","h2ZWw4GF",0,3,NA,0,0.72,1
