"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.720172384441443,2,3,1,3,"1;2","hBL7PLQD",100,4,5,0,1,3
2,1.01037159012522,2,3,1,6,"1;2","hBL7PLQD",100,4,5,0,1,3
3,0.512583720654307,1,1,1,7,"1;2","hBL7PLQD",100,4,5,0,1,3
4,1.03782799686454,2,5,1,12,"1;2","hBL7PLQD",100,4,5,0,1,3
5,0.8489966357776,1,3,1,15,"1;2","hBL7PLQD",100,4,5,0,1,3
6,0.941318679083107,1,1,1,16,"1;2","hBL7PLQD",100,4,5,0,1,3
7,0.741809097687934,1,4,1,20,"1;2","hBL7PLQD",100,4,5,0,1,3
8,0.719095292995369,2,5,1,25,"1;2","hBL7PLQD",100,4,5,0,1,3
9,0.5,1,2,1,27,"1;2","hBL7PLQD",100,4,5,0,1,3
10,0.73722239302067,1,3,1,30,"1;2","hBL7PLQD",100,4,5,0,1,3
11,0.818334345265409,2,7,1,37,"1;2","hBL7PLQD",100,4,5,0,1,3
12,0.642145679231477,1,4,1,41,"1;2","hBL7PLQD",100,4,5,0,1,3
13,0.740112790037472,2,-1,1,40,"1;2","hBL7PLQD",100,4,5,0,1,3
14,1.0755531758452,1,4,1,44,"1;2","hBL7PLQD",100,4,5,0,1,3
15,0.935237723957655,2,-1,1,43,"1;2","hBL7PLQD",100,4,5,0,1,3
16,0.947616024298873,1,2,1,45,"1;2","hBL7PLQD",100,4,5,0,1,3
17,0.5,2,1,1,46,"1;2","hBL7PLQD",100,4,5,0,1,3
18,0.627725085545872,2,6,1,52,"1;2","hBL7PLQD",100,4,5,0,1,3
19,0.841235817681467,2,0,1,52,"1;2","hBL7PLQD",100,4,5,0,1,3
20,0.666986075189235,1,7,1,59,"1;2","hBL7PLQD",100,4,5,0,1,3
1,0.681156906087228,2,1,2,1,"1;2","hBL7PLQD",100,4,5,0,1,3
2,1.02425051610501,2,2,2,3,"1;2","hBL7PLQD",100,4,5,0,1,3
3,0.973857713560916,2,2,2,5,"1;2","hBL7PLQD",100,4,5,0,1,3
4,0.934333815097981,2,-7,2,-2,"1;2","hBL7PLQD",100,4,5,0,1,3
5,1.00691271141268,2,9,2,7,"1;2","hBL7PLQD",100,4,5,0,1,3
6,0.5,2,-6,2,1,"1;2","hBL7PLQD",100,4,5,0,1,3
7,0.825698160196728,2,-8,2,-7,"1;2","hBL7PLQD",100,4,5,0,1,3
8,0.611057927530472,2,-8,2,-15,"1;2","hBL7PLQD",100,4,5,0,1,3
9,1.07449664628916,1,-1,2,-16,"1;2","hBL7PLQD",100,4,5,0,1,3
10,0.761091334561388,1,4,2,-12,"1;2","hBL7PLQD",100,4,5,0,1,3
11,0.640740336115722,2,9,2,-3,"1;2","hBL7PLQD",100,4,5,0,1,3
12,0.605340348084414,2,6,2,3,"1;2","hBL7PLQD",100,4,5,0,1,3
