"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.09075806400395,1,3,1,3,"1;2","hHsOUA1P",100,6,3,0,0.6,1
2,0.734596324646634,1,-2,1,1,"1;2","hHsOUA1P",100,6,3,0,0.6,1
3,1.0196731426739,1,2,1,3,"1;2","hHsOUA1P",100,6,3,0,0.6,1
4,0.99738732423578,1,1,1,4,"1;2","hHsOUA1P",100,6,3,0,0.6,1
5,0.583869053806404,1,4,1,8,"1;2","hHsOUA1P",100,6,3,0,0.6,1
6,0.528139199058145,1,2,1,10,"1;2","hHsOUA1P",100,6,3,0,0.6,1
7,1.24266242284391,1,4,1,14,"1;2","hHsOUA1P",100,6,3,0,0.6,1
8,0.710123675374565,1,4,1,18,"1;2","hHsOUA1P",100,6,3,0,0.6,1
9,0.671806873762799,1,2,1,20,"1;2","hHsOUA1P",100,6,3,0,0.6,1
10,1.10009301132722,1,1,1,21,"1;2","hHsOUA1P",100,6,3,0,0.6,1
11,0.735146901864246,1,1,1,22,"1;2","hHsOUA1P",100,6,3,0,0.6,1
12,0.733657569257476,2,6,1,28,"1;2","hHsOUA1P",100,6,3,0,0.6,1
13,0.787722391865379,1,4,1,32,"1;2","hHsOUA1P",100,6,3,0,0.6,1
14,0.96018726746676,1,3,1,35,"1;2","hHsOUA1P",100,6,3,0,0.6,1
15,0.852366823827091,1,4,1,39,"1;2","hHsOUA1P",100,6,3,0,0.6,1
16,1.15966172169789,2,2,1,41,"1;2","hHsOUA1P",100,6,3,0,0.6,1
17,0.670837827304111,1,2,1,43,"1;2","hHsOUA1P",100,6,3,0,0.6,1
18,0.660609635518323,1,2,1,45,"1;2","hHsOUA1P",100,6,3,0,0.6,1
19,1.03548673615718,2,0,1,45,"1;2","hHsOUA1P",100,6,3,0,0.6,1
20,0.660136015654597,2,-1,1,44,"1;2","hHsOUA1P",100,6,3,0,0.6,1
1,0.5,2,5,2,5,"1;2","hHsOUA1P",100,6,3,0,0.6,1
2,0.95195874912965,2,10,2,15,"1;2","hHsOUA1P",100,6,3,0,0.6,1
3,0.5,2,2,2,17,"1;2","hHsOUA1P",100,6,3,0,0.6,1
4,0.65438323100644,1,1,2,18,"1;2","hHsOUA1P",100,6,3,0,0.6,1
5,1.32382538497539,2,17,2,35,"1;2","hHsOUA1P",100,6,3,0,0.6,1
6,0.712405205763815,2,15,2,50,"1;2","hHsOUA1P",100,6,3,0,0.6,1
7,0.930603001884633,2,8,2,58,"1;2","hHsOUA1P",100,6,3,0,0.6,1
8,0.522639450249557,2,25,2,83,"1;2","hHsOUA1P",100,6,3,0,0.6,1
9,0.602530035449899,2,-1,2,82,"1;2","hHsOUA1P",100,6,3,0,0.6,1
10,0.897863009351559,2,-15,2,67,"1;2","hHsOUA1P",100,6,3,0,0.6,1
11,0.5,2,-17,2,50,"1;2","hHsOUA1P",100,6,3,0,0.6,1
12,0.805849350607791,2,7,2,57,"1;2","hHsOUA1P",100,6,3,0,0.6,1
13,0.959330022967824,2,10,2,67,"1;2","hHsOUA1P",100,6,3,0,0.6,1
14,0.703440867549586,2,-2,2,65,"1;2","hHsOUA1P",100,6,3,0,0.6,1
15,0.784169736304253,2,-4,2,61,"1;2","hHsOUA1P",100,6,3,0,0.6,1
16,0.664043515982886,2,22,2,83,"1;2","hHsOUA1P",100,6,3,0,0.6,1
17,1.42014566392939,2,10,2,93,"1;2","hHsOUA1P",100,6,3,0,0.6,1
18,1.10983622305182,2,-4,2,89,"1;2","hHsOUA1P",100,6,3,0,0.6,1
19,0.597935487338887,2,17,2,106,"1;2","hHsOUA1P",100,6,3,0,0.6,1
20,0.661726477079273,1,4,2,110,"1;2","hHsOUA1P",100,6,3,0,0.6,1
21,1.10288930514265,1,2,2,112,"1;2","hHsOUA1P",100,6,3,0,0.6,1
22,0.5,1,-1,2,111,"1;2","hHsOUA1P",100,6,3,0,0.6,1
23,1.13262527507092,1,8,2,119,"1;2","hHsOUA1P",100,6,3,0,0.6,1
24,1.13353563187562,1,1,2,120,"1;2","hHsOUA1P",100,6,3,0,0.6,1
25,0.5,1,1,2,121,"1;2","hHsOUA1P",100,6,3,0,0.6,1
1,0.666082032781764,2,2,3,2,"2;1","hHsOUA1P",100,6,3,0,0.6,1
2,0.757518749479937,2,2,3,4,"2;1","hHsOUA1P",100,6,3,0,0.6,1
3,1.23952311720494,2,2,3,6,"2;1","hHsOUA1P",100,6,3,0,0.6,1
4,0.85689806221626,2,2,3,8,"2;1","hHsOUA1P",100,6,3,0,0.6,1
5,0.926452949096905,2,0,3,8,"2;1","hHsOUA1P",100,6,3,0,0.6,1
6,0.63732309515554,2,2,3,10,"2;1","hHsOUA1P",100,6,3,0,0.6,1
7,0.582328141146375,1,-2,3,8,"2;1","hHsOUA1P",100,6,3,0,0.6,1
8,0.816664878126734,2,4,3,12,"2;1","hHsOUA1P",100,6,3,0,0.6,1
9,0.561653849911174,1,3,3,15,"2;1","hHsOUA1P",100,6,3,0,0.6,1
10,0.5,2,1,3,16,"2;1","hHsOUA1P",100,6,3,0,0.6,1
11,1.22789912203056,1,-8,3,8,"2;1","hHsOUA1P",100,6,3,0,0.6,1
12,0.964309061347025,1,4,3,12,"2;1","hHsOUA1P",100,6,3,0,0.6,1
13,0.624927408382733,1,11,3,23,"2;1","hHsOUA1P",100,6,3,0,0.6,1
14,0.971021815972985,1,0,3,23,"2;1","hHsOUA1P",100,6,3,0,0.6,1
15,0.596663327561369,2,3,3,26,"2;1","hHsOUA1P",100,6,3,0,0.6,1
16,0.942023982303412,1,7,3,33,"2;1","hHsOUA1P",100,6,3,0,0.6,1
17,0.700125093227584,1,23,3,56,"2;1","hHsOUA1P",100,6,3,0,0.6,1
18,0.878778458171421,1,12,3,68,"2;1","hHsOUA1P",100,6,3,0,0.6,1
19,0.68570314127011,1,1,3,69,"2;1","hHsOUA1P",100,6,3,0,0.6,1
20,0.929059906264969,1,8,3,77,"2;1","hHsOUA1P",100,6,3,0,0.6,1
21,0.941894701366142,1,2,3,79,"2;1","hHsOUA1P",100,6,3,0,0.6,1
22,0.864585571086436,1,-27,3,52,"2;1","hHsOUA1P",100,6,3,0,0.6,1
23,1.41182001880108,1,20,3,72,"2;1","hHsOUA1P",100,6,3,0,0.6,1
