"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.12289241173058,2,1,1,1,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
2,0.968975400637317,2,3,1,4,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
3,0.788400817375891,1,4,1,8,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
4,0.759823432080807,2,1,1,9,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
5,0.5,2,1,1,10,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
6,0.6817361483299,2,5,1,15,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
7,0.57772828968019,2,3,1,18,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
8,0.808247343322229,1,6,1,24,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
9,0.5,2,2,1,26,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
10,1.34935037743443,1,4,1,30,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
11,0.933343631556097,1,3,1,33,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
12,1.16918293788338,1,4,1,37,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
13,0.5,1,5,1,42,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
14,0.974208917670905,1,3,1,45,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
15,0.848579003719831,2,1,1,46,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
16,0.713766911737099,1,3,1,49,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
17,0.831453258388401,1,6,1,55,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
18,0.902875172444104,2,2,1,57,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
19,1.13370107623429,1,4,1,61,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
20,0.752667285008081,2,1,1,62,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
1,0.608564333634331,1,-8,2,-8,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
2,0.809016852214069,2,-1,2,-9,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
3,0.798341013885409,1,16,2,7,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
4,0.699768765557441,1,14,2,21,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
5,0.841678096871052,1,7,2,28,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
6,1.10676977241262,2,1,2,29,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
7,0.851754014155496,1,0,2,29,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
8,0.692330139336661,1,9,2,38,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
9,0.684812569719216,1,2,2,40,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
10,0.57438378329281,1,21,2,61,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
11,1.0151057174623,1,12,2,73,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
12,0.703926437291106,1,15,2,88,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
13,1.12449491129462,1,5,2,93,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
14,1.06083094531095,1,23,2,116,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
15,0.692390976993826,2,3,2,119,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
16,1.40706215702643,2,-2,2,117,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
17,1.15703525565801,1,-9,2,108,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
18,1.15444178669913,1,-2,2,106,"2;1","ijTcG3f1",0,3,NA,0,0.73,2
