"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.18800087194425,2,6,1,6,"2;1","iqnmAT2N",100,4,5,0,1,2
2,0.601960678650366,1,1,1,7,"2;1","iqnmAT2N",100,4,5,0,1,2
3,0.83263040145572,1,2,1,9,"2;1","iqnmAT2N",100,4,5,0,1,2
4,0.898161664880898,1,1,1,10,"2;1","iqnmAT2N",100,4,5,0,1,2
5,0.581169502024181,1,3,1,13,"2;1","iqnmAT2N",100,4,5,0,1,2
6,0.5,1,7,1,20,"2;1","iqnmAT2N",100,4,5,0,1,2
7,0.5,1,1,1,21,"2;1","iqnmAT2N",100,4,5,0,1,2
8,0.586478160405434,1,3,1,24,"2;1","iqnmAT2N",100,4,5,0,1,2
9,0.74881201841998,1,4,1,28,"2;1","iqnmAT2N",100,4,5,0,1,2
10,0.567597778829663,1,4,1,32,"2;1","iqnmAT2N",100,4,5,0,1,2
11,0.5,1,4,1,36,"2;1","iqnmAT2N",100,4,5,0,1,2
12,0.5,1,2,1,38,"2;1","iqnmAT2N",100,4,5,0,1,2
13,0.956599821882053,1,1,1,39,"2;1","iqnmAT2N",100,4,5,0,1,2
14,0.572067312287225,1,3,1,42,"2;1","iqnmAT2N",100,4,5,0,1,2
15,0.951897007718493,1,5,1,47,"2;1","iqnmAT2N",100,4,5,0,1,2
16,0.620159869271674,1,3,1,50,"2;1","iqnmAT2N",100,4,5,0,1,2
17,0.612647685271095,1,2,1,52,"2;1","iqnmAT2N",100,4,5,0,1,2
18,0.704159746846514,2,1,1,53,"2;1","iqnmAT2N",100,4,5,0,1,2
19,0.785998005324181,1,5,1,58,"2;1","iqnmAT2N",100,4,5,0,1,2
20,0.54156367192929,1,6,1,64,"2;1","iqnmAT2N",100,4,5,0,1,2
1,1.06373272441486,1,4,2,4,"1;2","iqnmAT2N",100,4,5,0,1,2
2,0.5,2,9,2,13,"1;2","iqnmAT2N",100,4,5,0,1,2
3,0.526665700811671,1,8,2,21,"1;2","iqnmAT2N",100,4,5,0,1,2
4,0.68620776192142,2,19,2,40,"1;2","iqnmAT2N",100,4,5,0,1,2
5,0.678934465993545,1,4,2,44,"1;2","iqnmAT2N",100,4,5,0,1,2
6,0.546412133069687,2,-2,2,42,"1;2","iqnmAT2N",100,4,5,0,1,2
7,1.10982887698429,2,-16,2,26,"1;2","iqnmAT2N",100,4,5,0,1,2
8,0.714978527566771,2,11,2,37,"1;2","iqnmAT2N",100,4,5,0,1,2
9,0.730741260288863,1,4,2,41,"1;2","iqnmAT2N",100,4,5,0,1,2
10,0.631003575511853,2,11,2,52,"1;2","iqnmAT2N",100,4,5,0,1,2
11,1.09714551517695,1,4,2,56,"1;2","iqnmAT2N",100,4,5,0,1,2
12,1.13609931929857,2,16,2,72,"1;2","iqnmAT2N",100,4,5,0,1,2
