"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.861298522439334,1,3,1,3,"2;1","j84t44bs",100,5,7,4,1.4,2
2,0.747444111591086,1,4,1,7,"2;1","j84t44bs",100,5,7,4,1.4,2
3,0.5,1,2,1,9,"2;1","j84t44bs",100,5,7,4,1.4,2
4,0.712510615847681,2,3,1,12,"2;1","j84t44bs",100,5,7,4,1.4,2
5,0.757050483062854,1,4,1,16,"2;1","j84t44bs",100,5,7,4,1.4,2
6,1.09262646537888,2,3,1,19,"2;1","j84t44bs",100,5,7,4,1.4,2
7,0.981203104638983,1,3,1,22,"2;1","j84t44bs",100,5,7,4,1.4,2
8,0.702113107210644,2,2,1,24,"2;1","j84t44bs",100,5,7,4,1.4,2
9,0.746120443791432,2,4,1,28,"2;1","j84t44bs",100,5,7,4,1.4,2
10,0.543934238794162,1,1,1,29,"2;1","j84t44bs",100,5,7,4,1.4,2
11,0.573106131268363,2,4,1,33,"2;1","j84t44bs",100,5,7,4,1.4,2
12,1.402138119652,1,0,1,33,"2;1","j84t44bs",100,5,7,4,1.4,2
13,0.857778046885601,1,3,1,36,"2;1","j84t44bs",100,5,7,4,1.4,2
14,0.676219151420506,2,1,1,37,"2;1","j84t44bs",100,5,7,4,1.4,2
15,0.742434312149612,1,3,1,40,"2;1","j84t44bs",100,5,7,4,1.4,2
16,0.5,2,4,1,44,"2;1","j84t44bs",100,5,7,4,1.4,2
17,0.550708735329813,1,-1,1,43,"2;1","j84t44bs",100,5,7,4,1.4,2
18,0.580742264044635,1,1,1,44,"2;1","j84t44bs",100,5,7,4,1.4,2
19,1.10892357311559,2,1,1,45,"2;1","j84t44bs",100,5,7,4,1.4,2
20,0.620245557017955,1,2,1,47,"2;1","j84t44bs",100,5,7,4,1.4,2
1,1.19063875153343,1,6,2,6,"1;2","j84t44bs",100,5,7,4,1.4,2
2,1.01807962152245,1,5,2,11,"1;2","j84t44bs",100,5,7,4,1.4,2
3,0.818441708607114,1,4,2,15,"1;2","j84t44bs",100,5,7,4,1.4,2
4,0.746934014583505,1,6,2,21,"1;2","j84t44bs",100,5,7,4,1.4,2
5,0.985199681589156,1,0,2,21,"1;2","j84t44bs",100,5,7,4,1.4,2
6,0.817656065342984,1,3,2,24,"1;2","j84t44bs",100,5,7,4,1.4,2
7,0.665244548477387,1,4,2,28,"1;2","j84t44bs",100,5,7,4,1.4,2
8,1.28305714323493,1,5,2,33,"1;2","j84t44bs",100,5,7,4,1.4,2
9,0.93362149290763,2,-4,2,29,"1;2","j84t44bs",100,5,7,4,1.4,2
10,0.539680946329479,2,15,2,44,"1;2","j84t44bs",100,5,7,4,1.4,2
11,1.10611094799268,2,10,2,54,"1;2","j84t44bs",100,5,7,4,1.4,2
12,0.512996159234701,1,3,2,57,"1;2","j84t44bs",100,5,7,4,1.4,2
13,0.669149646456051,2,17,2,74,"1;2","j84t44bs",100,5,7,4,1.4,2
14,0.997458977517385,2,-18,2,56,"1;2","j84t44bs",100,5,7,4,1.4,2
15,0.863483429247642,2,20,2,76,"1;2","j84t44bs",100,5,7,4,1.4,2
16,0.65291850330107,2,17,2,93,"1;2","j84t44bs",100,5,7,4,1.4,2
17,1.12255110966263,2,11,2,104,"1;2","j84t44bs",100,5,7,4,1.4,2
18,0.904504648508076,1,2,2,106,"1;2","j84t44bs",100,5,7,4,1.4,2
19,1.27073877994711,2,15,2,121,"1;2","j84t44bs",100,5,7,4,1.4,2
20,0.737442836263174,1,6,2,127,"1;2","j84t44bs",100,5,7,4,1.4,2
21,0.577176829750476,1,5,2,132,"1;2","j84t44bs",100,5,7,4,1.4,2
22,0.754776062230385,1,0,2,132,"1;2","j84t44bs",100,5,7,4,1.4,2
23,0.839019446845092,1,5,2,137,"1;2","j84t44bs",100,5,7,4,1.4,2
24,0.5,1,3,2,140,"1;2","j84t44bs",100,5,7,4,1.4,2
25,0.66570716305102,1,2,2,142,"1;2","j84t44bs",100,5,7,4,1.4,2
1,0.837559993248389,2,7,3,7,"1;2","j84t44bs",100,5,7,4,1.4,2
2,0.810590961449606,1,4,3,11,"1;2","j84t44bs",100,5,7,4,1.4,2
3,0.860950923488347,2,21,3,32,"1;2","j84t44bs",100,5,7,4,1.4,2
4,0.5,2,8,3,40,"1;2","j84t44bs",100,5,7,4,1.4,2
5,0.79353401996881,2,23,3,63,"1;2","j84t44bs",100,5,7,4,1.4,2
6,0.670662071396918,1,4,3,67,"1;2","j84t44bs",100,5,7,4,1.4,2
7,0.753191149710551,1,4,3,71,"1;2","j84t44bs",100,5,7,4,1.4,2
8,1.01331685101885,1,6,3,77,"1;2","j84t44bs",100,5,7,4,1.4,2
9,0.9769409709047,1,6,3,83,"1;2","j84t44bs",100,5,7,4,1.4,2
10,0.733198750873417,1,4,3,87,"1;2","j84t44bs",100,5,7,4,1.4,2
11,0.659123917239159,1,3,3,90,"1;2","j84t44bs",100,5,7,4,1.4,2
12,0.824229916116589,1,6,3,96,"1;2","j84t44bs",100,5,7,4,1.4,2
13,0.5,1,6,3,102,"1;2","j84t44bs",100,5,7,4,1.4,2
14,1.53426691083092,1,4,3,106,"1;2","j84t44bs",100,5,7,4,1.4,2
15,0.906503422623089,1,8,3,114,"1;2","j84t44bs",100,5,7,4,1.4,2
16,0.521770757412947,2,26,3,140,"1;2","j84t44bs",100,5,7,4,1.4,2
17,1.25711745307826,1,6,3,146,"1;2","j84t44bs",100,5,7,4,1.4,2
18,0.924705500853964,1,3,3,149,"1;2","j84t44bs",100,5,7,4,1.4,2
19,0.681083765585385,1,7,3,156,"1;2","j84t44bs",100,5,7,4,1.4,2
20,1.06803470528907,1,6,3,162,"1;2","j84t44bs",100,5,7,4,1.4,2
21,0.949039924066385,1,4,3,166,"1;2","j84t44bs",100,5,7,4,1.4,2
22,1.56976498832477,1,9,3,175,"1;2","j84t44bs",100,5,7,4,1.4,2
23,0.783089248179853,1,5,3,180,"1;2","j84t44bs",100,5,7,4,1.4,2
24,0.809222793297362,2,1,3,181,"1;2","j84t44bs",100,5,7,4,1.4,2
25,0.5,2,14,3,195,"1;2","j84t44bs",100,5,7,4,1.4,2
1,0.897238897127151,2,-9,4,-9,"1;2","j84t44bs",100,5,7,4,1.4,2
2,0.5,1,8,4,-1,"1;2","j84t44bs",100,5,7,4,1.4,2
3,0.890720563698317,2,12,4,11,"1;2","j84t44bs",100,5,7,4,1.4,2
4,0.5,2,10,4,21,"1;2","j84t44bs",100,5,7,4,1.4,2
5,0.854253078069601,2,4,4,25,"1;2","j84t44bs",100,5,7,4,1.4,2
6,0.870095449037189,1,7,4,32,"1;2","j84t44bs",100,5,7,4,1.4,2
7,0.581601719330829,2,3,4,35,"1;2","j84t44bs",100,5,7,4,1.4,2
8,0.89618999096836,1,4,4,39,"1;2","j84t44bs",100,5,7,4,1.4,2
9,1.06374306510784,2,19,4,58,"1;2","j84t44bs",100,5,7,4,1.4,2
10,0.68188310968523,2,13,4,71,"1;2","j84t44bs",100,5,7,4,1.4,2
11,0.790047157861671,1,4,4,75,"1;2","j84t44bs",100,5,7,4,1.4,2
12,1.05401924769919,1,9,4,84,"1;2","j84t44bs",100,5,7,4,1.4,2
13,1.06493395447415,1,2,4,86,"1;2","j84t44bs",100,5,7,4,1.4,2
14,1.2614947428472,1,8,4,94,"1;2","j84t44bs",100,5,7,4,1.4,2
15,1.01415439789596,1,2,4,96,"1;2","j84t44bs",100,5,7,4,1.4,2
16,0.99525194443364,1,6,4,102,"1;2","j84t44bs",100,5,7,4,1.4,2
17,0.784286195709738,2,-2,4,100,"1;2","j84t44bs",100,5,7,4,1.4,2
18,1.09579089547037,1,2,4,102,"1;2","j84t44bs",100,5,7,4,1.4,2
19,0.713578497038292,1,4,4,106,"1;2","j84t44bs",100,5,7,4,1.4,2
20,0.533355964328094,1,7,4,113,"1;2","j84t44bs",100,5,7,4,1.4,2
21,0.937508603651081,1,4,4,117,"1;2","j84t44bs",100,5,7,4,1.4,2
22,1.27377938797096,1,6,4,123,"1;2","j84t44bs",100,5,7,4,1.4,2
23,0.837195152710359,1,0,4,123,"1;2","j84t44bs",100,5,7,4,1.4,2
24,1.16723188720313,1,2,4,125,"1;2","j84t44bs",100,5,7,4,1.4,2
25,0.622007884824372,2,-1,4,124,"1;2","j84t44bs",100,5,7,4,1.4,2
1,0.590788045190516,2,21,5,21,"1;2","j84t44bs",100,5,7,4,1.4,2
2,1.1209545791237,2,-7,5,14,"1;2","j84t44bs",100,5,7,4,1.4,2
3,0.5,2,7,5,21,"1;2","j84t44bs",100,5,7,4,1.4,2
4,0.800191565302058,2,-16,5,5,"1;2","j84t44bs",100,5,7,4,1.4,2
5,0.730175178348549,2,17,5,22,"1;2","j84t44bs",100,5,7,4,1.4,2
6,1.38656555406373,2,9,5,31,"1;2","j84t44bs",100,5,7,4,1.4,2
7,0.848764331032662,1,3,5,34,"1;2","j84t44bs",100,5,7,4,1.4,2
8,0.5,2,7,5,41,"1;2","j84t44bs",100,5,7,4,1.4,2
9,0.80685573233542,2,13,5,54,"1;2","j84t44bs",100,5,7,4,1.4,2
10,0.72934427689229,2,12,5,66,"1;2","j84t44bs",100,5,7,4,1.4,2
11,0.896072121030117,2,-13,5,53,"1;2","j84t44bs",100,5,7,4,1.4,2
12,0.728047286387449,2,11,5,64,"1;2","j84t44bs",100,5,7,4,1.4,2
13,0.646544441922989,2,4,5,68,"1;2","j84t44bs",100,5,7,4,1.4,2
14,0.969629451254583,2,8,5,76,"1;2","j84t44bs",100,5,7,4,1.4,2
15,0.604130007454018,1,2,5,78,"1;2","j84t44bs",100,5,7,4,1.4,2
16,0.944851002619366,2,-4,5,74,"1;2","j84t44bs",100,5,7,4,1.4,2
17,0.801171599840291,2,15,5,89,"1;2","j84t44bs",100,5,7,4,1.4,2
18,0.785649502635883,2,1,5,90,"1;2","j84t44bs",100,5,7,4,1.4,2
19,0.5,2,1,5,91,"1;2","j84t44bs",100,5,7,4,1.4,2
20,0.653926472621313,1,0,5,91,"1;2","j84t44bs",100,5,7,4,1.4,2
21,1.02711834344567,2,-26,5,65,"1;2","j84t44bs",100,5,7,4,1.4,2
22,0.600103664362402,2,5,5,70,"1;2","j84t44bs",100,5,7,4,1.4,2
23,0.83358905314832,1,6,5,76,"1;2","j84t44bs",100,5,7,4,1.4,2
24,0.626166311562862,2,-5,5,71,"1;2","j84t44bs",100,5,7,4,1.4,2
25,0.982418506777172,1,4,5,75,"1;2","j84t44bs",100,5,7,4,1.4,2
1,0.789719852191284,1,-11,6,-11,"2;1","j84t44bs",100,5,7,4,1.4,2
2,0.521491782335357,2,1,6,-10,"2;1","j84t44bs",100,5,7,4,1.4,2
3,0.817654689931876,2,2,6,-8,"2;1","j84t44bs",100,5,7,4,1.4,2
4,1.27346333502414,2,7,6,-1,"2;1","j84t44bs",100,5,7,4,1.4,2
5,0.953596522500373,2,5,6,4,"2;1","j84t44bs",100,5,7,4,1.4,2
6,0.72792033701988,2,4,6,8,"2;1","j84t44bs",100,5,7,4,1.4,2
7,1.0959837037931,1,11,6,19,"2;1","j84t44bs",100,5,7,4,1.4,2
8,1.00251134731401,1,17,6,36,"2;1","j84t44bs",100,5,7,4,1.4,2
9,0.835338482140935,1,7,6,43,"2;1","j84t44bs",100,5,7,4,1.4,2
10,0.62740996127896,2,3,6,46,"2;1","j84t44bs",100,5,7,4,1.4,2
11,0.937643986807365,1,-2,6,44,"2;1","j84t44bs",100,5,7,4,1.4,2
12,0.715487125857467,1,12,6,56,"2;1","j84t44bs",100,5,7,4,1.4,2
13,1.07031806176932,2,10,6,66,"2;1","j84t44bs",100,5,7,4,1.4,2
14,0.792145545254834,2,3,6,69,"2;1","j84t44bs",100,5,7,4,1.4,2
15,0.5,1,-16,6,53,"2;1","j84t44bs",100,5,7,4,1.4,2
16,0.824784137150743,2,4,6,57,"2;1","j84t44bs",100,5,7,4,1.4,2
17,0.506862569402628,2,2,6,59,"2;1","j84t44bs",100,5,7,4,1.4,2
18,1.25598068240422,1,9,6,68,"2;1","j84t44bs",100,5,7,4,1.4,2
19,0.823977650177729,1,-6,6,62,"2;1","j84t44bs",100,5,7,4,1.4,2
20,1.3764535952253,2,3,6,65,"2;1","j84t44bs",100,5,7,4,1.4,2
21,0.809747325665578,1,-4,6,61,"2;1","j84t44bs",100,5,7,4,1.4,2
22,1.08249988014285,1,2,6,63,"2;1","j84t44bs",100,5,7,4,1.4,2
23,0.526197310043344,1,14,6,77,"2;1","j84t44bs",100,5,7,4,1.4,2
24,1.2154396815619,1,23,6,100,"2;1","j84t44bs",100,5,7,4,1.4,2
25,1.07259697830721,2,6,6,106,"2;1","j84t44bs",100,5,7,4,1.4,2
1,0.939499303827412,1,17,7,17,"2;1","j84t44bs",100,5,7,4,1.4,2
2,1.21889475386066,1,5,7,22,"2;1","j84t44bs",100,5,7,4,1.4,2
3,0.781415234321327,1,23,7,45,"2;1","j84t44bs",100,5,7,4,1.4,2
4,0.792864085509994,2,1,7,46,"2;1","j84t44bs",100,5,7,4,1.4,2
5,0.873622472214464,1,15,7,61,"2;1","j84t44bs",100,5,7,4,1.4,2
6,0.8148278600282,1,22,7,83,"2;1","j84t44bs",100,5,7,4,1.4,2
7,0.897670953632296,1,8,7,91,"2;1","j84t44bs",100,5,7,4,1.4,2
8,0.629373947833163,2,3,7,94,"2;1","j84t44bs",100,5,7,4,1.4,2
9,0.975690348122193,1,9,7,103,"2;1","j84t44bs",100,5,7,4,1.4,2
10,0.721729212891219,1,-4,7,99,"2;1","j84t44bs",100,5,7,4,1.4,2
11,0.882069632667413,2,4,7,103,"2;1","j84t44bs",100,5,7,4,1.4,2
12,0.960273150676522,2,2,7,105,"2;1","j84t44bs",100,5,7,4,1.4,2
13,0.509342305381492,1,1,7,106,"2;1","j84t44bs",100,5,7,4,1.4,2
14,1.0927036678467,2,5,7,111,"2;1","j84t44bs",100,5,7,4,1.4,2
15,0.990092461025308,2,2,7,113,"2;1","j84t44bs",100,5,7,4,1.4,2
16,0.832201974129324,2,0,7,113,"2;1","j84t44bs",100,5,7,4,1.4,2
17,0.711337330651744,1,-7,7,106,"2;1","j84t44bs",100,5,7,4,1.4,2
18,1.02710261737284,1,-9,7,97,"2;1","j84t44bs",100,5,7,4,1.4,2
19,1.11326500820501,2,4,7,101,"2;1","j84t44bs",100,5,7,4,1.4,2
20,1.33077612950562,2,3,7,104,"2;1","j84t44bs",100,5,7,4,1.4,2
21,0.900619684849765,1,-2,7,102,"2;1","j84t44bs",100,5,7,4,1.4,2
22,0.576324262066123,2,2,7,104,"2;1","j84t44bs",100,5,7,4,1.4,2
23,0.525459635332619,2,2,7,106,"2;1","j84t44bs",100,5,7,4,1.4,2
