"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.830489278883958,1,1,1,1,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
2,0.680819486006046,1,4,1,5,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
3,1.16417027287666,1,2,1,7,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
4,0.83365060444107,1,5,1,12,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
5,0.575096582621332,1,6,1,18,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
6,0.865476181588343,2,5,1,23,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
7,1.04998057124568,1,1,1,24,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
8,1.01194396207253,2,2,1,26,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
9,0.749817588537504,2,5,1,31,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
10,0.893279807018864,1,4,1,35,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
11,0.602415662541324,1,-1,1,34,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
12,0.820304485774948,2,1,1,35,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
13,1.00709078224104,1,4,1,39,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
14,1.0855201035233,1,6,1,45,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
15,0.89903759657727,1,4,1,49,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
16,0.658077478210232,1,4,1,53,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
17,0.5,1,1,1,54,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
18,1.25313796376989,1,3,1,57,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
19,1.06349519804233,2,4,1,61,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
20,0.714849844271399,1,4,1,65,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
1,0.873203265822313,1,7,2,7,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
2,0.927946437253224,1,3,2,10,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
3,0.765816167992649,1,4,2,14,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
4,0.822331882632397,1,7,2,21,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
5,0.5,2,-2,2,19,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
6,1.07972042497765,1,-1,2,18,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
7,0.571012339756272,1,3,2,21,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
8,1.18957794032118,1,-1,2,20,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
9,0.5,1,8,2,28,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
10,0.745281615867151,1,1,2,29,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
11,0.817195192472247,1,7,2,36,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
12,1.23769330474166,1,6,2,42,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
13,1.06003546882747,1,2,2,44,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
14,0.5,1,7,2,51,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
15,1.02332030436669,1,8,2,59,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
16,0.702328423813451,1,3,2,62,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
17,1.09938508903851,2,24,2,86,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
18,0.919708272696188,1,3,2,89,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
19,0.76106977530833,1,9,2,98,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
20,1.09585089633864,1,5,2,103,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
21,0.581019875923847,1,11,2,114,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
22,0.993110182473982,2,15,2,129,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
23,0.928383026344577,1,3,2,132,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
24,1.09345509166294,2,-11,2,121,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
25,0.842781417670981,1,7,2,128,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
1,0.544073901258236,1,2,3,2,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
2,1.19036793463835,1,7,3,9,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
3,0.905962552844491,2,6,3,15,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
4,0.615704517650228,1,4,3,19,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
5,1.01501470925707,2,-9,3,10,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
6,1.04910021608428,1,3,3,13,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
7,0.745699197316802,1,7,3,20,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
8,0.898452909042642,1,6,3,26,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
9,0.589455875224231,1,2,3,28,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
10,0.945958640000412,1,3,3,31,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
11,1.2534862824604,1,8,3,39,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
12,0.939079787408763,1,4,3,43,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
13,1.28112988335288,2,-15,3,28,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
14,1.12683386443488,1,4,3,32,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
15,0.74623026228847,1,0,3,32,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
16,0.5,1,3,3,35,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
17,0.821052087991105,1,5,3,40,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
18,0.524385434221158,1,5,3,45,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
19,0.63088714924517,1,4,3,49,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
20,0.845741299072587,1,4,3,53,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
21,0.5,1,6,3,59,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
22,0.63481143085466,2,-14,3,45,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
23,0.62251147130504,1,7,3,52,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
24,0.900907697637957,1,4,3,56,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
25,0.5,1,5,3,61,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
1,0.662422137913996,1,4,4,4,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
2,0.74682022492643,1,4,4,8,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
3,0.791000822303385,1,7,4,15,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
4,0.5,1,-3,4,12,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
5,1.2285336506009,1,7,4,19,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
6,0.865278057942796,1,7,4,26,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
7,0.858615684087368,1,0,4,26,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
8,0.5,1,7,4,33,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
9,1.08410427958645,1,3,4,36,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
10,0.596156040411843,2,-7,4,29,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
11,0.56071246870767,1,4,4,33,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
12,0.603315315491835,1,7,4,40,"1;2","jnfQVWEW",0,1,NA,0,0.83,3
