"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.739770140469345,1,3,1,3,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
2,0.735100138800749,1,2,1,5,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
3,0.853835673850719,1,7,1,12,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
4,0.559400587187988,1,2,1,14,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
5,1.04734825784308,1,-1,1,13,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
6,0.799558125466333,2,5,1,18,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
7,0.5,2,4,1,22,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
8,0.800784514838259,2,3,1,25,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
9,0.861856319607239,2,3,1,28,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
10,0.778061521988692,2,3,1,31,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
11,0.770346721978853,2,5,1,36,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
12,0.607386941896896,2,3,1,39,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
13,1.35877336411967,2,4,1,43,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
14,0.5,2,3,1,46,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
15,0.743117417008889,2,2,1,48,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
16,0.896508718019267,2,3,1,51,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
17,0.714206965504044,2,5,1,56,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
18,1.2836001558295,2,3,1,59,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
19,0.898457573013293,2,2,1,61,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
20,0.5,2,0,1,61,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
1,0.806560948213887,1,14,2,14,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
2,0.959551770109101,2,-1,2,13,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
3,0.670154071799083,1,2,2,15,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
4,1.12957464149715,1,13,2,28,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
5,0.898056776060525,1,-10,2,18,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
6,1.07610287394552,2,1,2,19,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
7,0.927132407419405,1,9,2,28,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
8,1.14058459024318,1,8,2,36,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
9,0.893647244410925,2,3,2,39,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
10,1.00038807733881,1,-9,2,30,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
11,0.92255079855126,2,3,2,33,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
12,0.8249415388668,2,-1,2,32,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
13,0.533144669210895,2,-1,2,31,"2;1","jqKWUZCZ",0,3,NA,0,0.98,1
