"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.945250385054471,1,5,1,5,"2;1","k3WmjkYA",100,5,2,0,0.4,2
2,0.568723564720916,1,1,1,6,"2;1","k3WmjkYA",100,5,2,0,0.4,2
3,0.699962749069387,1,6,1,12,"2;1","k3WmjkYA",100,5,2,0,0.4,2
4,0.599917913899562,1,3,1,15,"2;1","k3WmjkYA",100,5,2,0,0.4,2
5,1.07989725499995,1,-3,1,12,"2;1","k3WmjkYA",100,5,2,0,0.4,2
6,0.7779795797369,1,4,1,16,"2;1","k3WmjkYA",100,5,2,0,0.4,2
7,1.07370321491155,1,2,1,18,"2;1","k3WmjkYA",100,5,2,0,0.4,2
8,0.72584606299243,1,4,1,22,"2;1","k3WmjkYA",100,5,2,0,0.4,2
9,0.949621480541266,1,2,1,24,"2;1","k3WmjkYA",100,5,2,0,0.4,2
10,0.684156244510081,1,2,1,26,"2;1","k3WmjkYA",100,5,2,0,0.4,2
11,0.725274340391726,1,4,1,30,"2;1","k3WmjkYA",100,5,2,0,0.4,2
12,0.920585987103475,1,2,1,32,"2;1","k3WmjkYA",100,5,2,0,0.4,2
13,1.12314973287375,2,5,1,37,"2;1","k3WmjkYA",100,5,2,0,0.4,2
14,1.05506794746964,2,4,1,41,"2;1","k3WmjkYA",100,5,2,0,0.4,2
15,0.5,2,5,1,46,"2;1","k3WmjkYA",100,5,2,0,0.4,2
16,0.881700939491548,2,2,1,48,"2;1","k3WmjkYA",100,5,2,0,0.4,2
17,0.821437931567026,2,-1,1,47,"2;1","k3WmjkYA",100,5,2,0,0.4,2
18,0.826021026809989,2,8,1,55,"2;1","k3WmjkYA",100,5,2,0,0.4,2
19,1.06944466637514,2,5,1,60,"2;1","k3WmjkYA",100,5,2,0,0.4,2
20,0.766456573815937,2,1,1,61,"2;1","k3WmjkYA",100,5,2,0,0.4,2
1,0.5,1,3,2,3,"2;1","k3WmjkYA",100,5,2,0,0.4,2
2,0.73110105503054,2,6,2,9,"2;1","k3WmjkYA",100,5,2,0,0.4,2
3,1.03819747527661,2,1,2,10,"2;1","k3WmjkYA",100,5,2,0,0.4,2
4,0.787170297199468,1,-7,2,3,"2;1","k3WmjkYA",100,5,2,0,0.4,2
5,0.943284933830082,1,-10,2,-7,"2;1","k3WmjkYA",100,5,2,0,0.4,2
6,0.5,1,-5,2,-12,"2;1","k3WmjkYA",100,5,2,0,0.4,2
7,0.959452505527844,2,7,2,-5,"2;1","k3WmjkYA",100,5,2,0,0.4,2
8,0.87576221924437,2,1,2,-4,"2;1","k3WmjkYA",100,5,2,0,0.4,2
9,0.844234035718619,2,8,2,4,"2;1","k3WmjkYA",100,5,2,0,0.4,2
10,0.74888053917803,2,2,2,6,"2;1","k3WmjkYA",100,5,2,0,0.4,2
11,0.85932775890688,2,3,2,9,"2;1","k3WmjkYA",100,5,2,0,0.4,2
12,1.00859427506381,2,1,2,10,"2;1","k3WmjkYA",100,5,2,0,0.4,2
13,1.08167524418928,2,5,2,15,"2;1","k3WmjkYA",100,5,2,0,0.4,2
14,0.583576496294758,2,6,2,21,"2;1","k3WmjkYA",100,5,2,0,0.4,2
15,0.56707963593638,2,7,2,28,"2;1","k3WmjkYA",100,5,2,0,0.4,2
16,0.5,2,7,2,35,"2;1","k3WmjkYA",100,5,2,0,0.4,2
17,0.731402012421266,2,5,2,40,"2;1","k3WmjkYA",100,5,2,0,0.4,2
18,0.836875741556183,2,6,2,46,"2;1","k3WmjkYA",100,5,2,0,0.4,2
19,0.708371216404613,2,0,2,46,"2;1","k3WmjkYA",100,5,2,0,0.4,2
20,1.44699319984154,2,7,2,53,"2;1","k3WmjkYA",100,5,2,0,0.4,2
21,0.5,2,4,2,57,"2;1","k3WmjkYA",100,5,2,0,0.4,2
22,1.00466972002473,1,9,2,66,"2;1","k3WmjkYA",100,5,2,0,0.4,2
23,1.4761379055901,1,-5,2,61,"2;1","k3WmjkYA",100,5,2,0,0.4,2
24,0.925451434715406,1,4,2,65,"2;1","k3WmjkYA",100,5,2,0,0.4,2
25,0.924026564583014,1,17,2,82,"2;1","k3WmjkYA",100,5,2,0,0.4,2
1,0.5,2,5,3,5,"2;1","k3WmjkYA",100,5,2,0,0.4,2
2,0.851845498077062,2,5,3,10,"2;1","k3WmjkYA",100,5,2,0,0.4,2
3,0.600920806955959,2,5,3,15,"2;1","k3WmjkYA",100,5,2,0,0.4,2
4,0.766419527844082,2,5,3,20,"2;1","k3WmjkYA",100,5,2,0,0.4,2
5,0.5,1,-1,3,19,"2;1","k3WmjkYA",100,5,2,0,0.4,2
6,0.755246282121794,1,11,3,30,"2;1","k3WmjkYA",100,5,2,0,0.4,2
7,0.969484828625317,1,-14,3,16,"2;1","k3WmjkYA",100,5,2,0,0.4,2
8,0.882408515207239,1,-10,3,6,"2;1","k3WmjkYA",100,5,2,0,0.4,2
9,0.5,1,-2,3,4,"2;1","k3WmjkYA",100,5,2,0,0.4,2
