"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.752846792362866,2,4,1,4,"1;2","kEuxCsFx",100,6,6,0,1.2,1
2,0.685737602660355,2,3,1,7,"1;2","kEuxCsFx",100,6,6,0,1.2,1
3,0.5,2,3,1,10,"1;2","kEuxCsFx",100,6,6,0,1.2,1
4,0.673656578979699,1,1,1,11,"1;2","kEuxCsFx",100,6,6,0,1.2,1
5,0.681815111517964,1,6,1,17,"1;2","kEuxCsFx",100,6,6,0,1.2,1
6,0.685198266976185,1,5,1,22,"1;2","kEuxCsFx",100,6,6,0,1.2,1
7,0.830514015084296,2,2,1,24,"1;2","kEuxCsFx",100,6,6,0,1.2,1
8,0.613744854521349,1,3,1,27,"1;2","kEuxCsFx",100,6,6,0,1.2,1
9,1.2241556221158,1,4,1,31,"1;2","kEuxCsFx",100,6,6,0,1.2,1
10,1.01547729012042,2,3,1,34,"1;2","kEuxCsFx",100,6,6,0,1.2,1
11,0.535309806290312,1,4,1,38,"1;2","kEuxCsFx",100,6,6,0,1.2,1
12,0.827974472861443,1,4,1,42,"1;2","kEuxCsFx",100,6,6,0,1.2,1
13,1.17413339086891,1,0,1,42,"1;2","kEuxCsFx",100,6,6,0,1.2,1
14,0.651961592641187,1,5,1,47,"1;2","kEuxCsFx",100,6,6,0,1.2,1
15,0.714016928260215,1,3,1,50,"1;2","kEuxCsFx",100,6,6,0,1.2,1
16,0.852100698134255,1,2,1,52,"1;2","kEuxCsFx",100,6,6,0,1.2,1
17,0.719812123646477,1,4,1,56,"1;2","kEuxCsFx",100,6,6,0,1.2,1
18,0.637336656225725,2,2,1,58,"1;2","kEuxCsFx",100,6,6,0,1.2,1
19,0.5,1,2,1,60,"1;2","kEuxCsFx",100,6,6,0,1.2,1
20,0.928408678237872,1,5,1,65,"1;2","kEuxCsFx",100,6,6,0,1.2,1
1,0.81704751508078,1,7,2,7,"2;1","kEuxCsFx",100,6,6,0,1.2,1
2,0.638878023599667,1,-7,2,0,"2;1","kEuxCsFx",100,6,6,0,1.2,1
3,0.5,1,2,2,2,"2;1","kEuxCsFx",100,6,6,0,1.2,1
4,0.720807731141494,1,10,2,12,"2;1","kEuxCsFx",100,6,6,0,1.2,1
5,0.604233206072298,2,7,2,19,"2;1","kEuxCsFx",100,6,6,0,1.2,1
6,1.19230847784072,2,5,2,24,"2;1","kEuxCsFx",100,6,6,0,1.2,1
7,0.73010764427807,1,9,2,33,"2;1","kEuxCsFx",100,6,6,0,1.2,1
8,0.938718204280129,2,2,2,35,"2;1","kEuxCsFx",100,6,6,0,1.2,1
9,0.640379740835957,2,1,2,36,"2;1","kEuxCsFx",100,6,6,0,1.2,1
10,0.738163216794639,2,1,2,37,"2;1","kEuxCsFx",100,6,6,0,1.2,1
11,0.799359688698669,2,6,2,43,"2;1","kEuxCsFx",100,6,6,0,1.2,1
12,0.87235917503492,1,13,2,56,"2;1","kEuxCsFx",100,6,6,0,1.2,1
13,1.22856977824748,1,-10,2,46,"2;1","kEuxCsFx",100,6,6,0,1.2,1
14,0.681966683890848,2,1,2,47,"2;1","kEuxCsFx",100,6,6,0,1.2,1
15,0.704401757065526,1,-7,2,40,"2;1","kEuxCsFx",100,6,6,0,1.2,1
16,0.575116951996835,2,3,2,43,"2;1","kEuxCsFx",100,6,6,0,1.2,1
17,0.724056040075422,2,2,2,45,"2;1","kEuxCsFx",100,6,6,0,1.2,1
18,0.675456367431133,1,-10,2,35,"2;1","kEuxCsFx",100,6,6,0,1.2,1
19,0.5,1,8,2,43,"2;1","kEuxCsFx",100,6,6,0,1.2,1
20,0.605713220594587,2,-1,2,42,"2;1","kEuxCsFx",100,6,6,0,1.2,1
21,0.782370217046083,1,10,2,52,"2;1","kEuxCsFx",100,6,6,0,1.2,1
22,0.528850591692419,1,6,2,58,"2;1","kEuxCsFx",100,6,6,0,1.2,1
23,0.866501322745576,1,15,2,73,"2;1","kEuxCsFx",100,6,6,0,1.2,1
24,1.3098234273301,2,6,2,79,"2;1","kEuxCsFx",100,6,6,0,1.2,1
25,0.661945221882058,1,1,2,80,"2;1","kEuxCsFx",100,6,6,0,1.2,1
1,1.14493049804898,1,3,3,3,"1;2","kEuxCsFx",100,6,6,0,1.2,1
