"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.1683911009798,2,2,1,2,"2;1","kdJWPoJc",100,4,5,0,1,2
2,0.628925320045134,2,3,1,5,"2;1","kdJWPoJc",100,4,5,0,1,2
3,0.721785316595037,2,7,1,12,"2;1","kdJWPoJc",100,4,5,0,1,2
4,1.04093913561617,2,4,1,16,"2;1","kdJWPoJc",100,4,5,0,1,2
5,0.5,2,5,1,21,"2;1","kdJWPoJc",100,4,5,0,1,2
6,0.766545527940001,2,5,1,26,"2;1","kdJWPoJc",100,4,5,0,1,2
7,0.686471616894191,1,8,1,34,"2;1","kdJWPoJc",100,4,5,0,1,2
8,0.577980470648567,2,2,1,36,"2;1","kdJWPoJc",100,4,5,0,1,2
9,0.779466427515597,2,2,1,38,"2;1","kdJWPoJc",100,4,5,0,1,2
10,1.09812281632435,2,5,1,43,"2;1","kdJWPoJc",100,4,5,0,1,2
11,0.5,1,3,1,46,"2;1","kdJWPoJc",100,4,5,0,1,2
12,1.08548827987153,2,3,1,49,"2;1","kdJWPoJc",100,4,5,0,1,2
13,0.653965237704092,1,6,1,55,"2;1","kdJWPoJc",100,4,5,0,1,2
14,0.774388134276981,2,3,1,58,"2;1","kdJWPoJc",100,4,5,0,1,2
15,0.864505127000194,1,1,1,59,"2;1","kdJWPoJc",100,4,5,0,1,2
16,0.836713101315461,1,7,1,66,"2;1","kdJWPoJc",100,4,5,0,1,2
17,0.954912808864214,1,3,1,69,"2;1","kdJWPoJc",100,4,5,0,1,2
18,0.902819846591229,2,3,1,72,"2;1","kdJWPoJc",100,4,5,0,1,2
19,0.690594146210177,1,1,1,73,"2;1","kdJWPoJc",100,4,5,0,1,2
20,0.947260221939588,1,3,1,76,"2;1","kdJWPoJc",100,4,5,0,1,2
1,0.5,2,6,2,6,"2;1","kdJWPoJc",100,4,5,0,1,2
2,0.761884596672427,2,1,2,7,"2;1","kdJWPoJc",100,4,5,0,1,2
3,0.56325057816992,2,3,2,10,"2;1","kdJWPoJc",100,4,5,0,1,2
4,0.93172634112999,2,2,2,12,"2;1","kdJWPoJc",100,4,5,0,1,2
5,1.022291257824,2,5,2,17,"2;1","kdJWPoJc",100,4,5,0,1,2
6,0.5,2,0,2,17,"2;1","kdJWPoJc",100,4,5,0,1,2
7,0.952695260634603,2,4,2,21,"2;1","kdJWPoJc",100,4,5,0,1,2
8,0.602895617771722,2,2,2,23,"2;1","kdJWPoJc",100,4,5,0,1,2
9,0.766603190122895,2,4,2,27,"2;1","kdJWPoJc",100,4,5,0,1,2
10,0.678349546067818,2,1,2,28,"2;1","kdJWPoJc",100,4,5,0,1,2
11,0.535630979038543,1,-7,2,21,"2;1","kdJWPoJc",100,4,5,0,1,2
12,0.5,2,3,2,24,"2;1","kdJWPoJc",100,4,5,0,1,2
13,0.5,2,7,2,31,"2;1","kdJWPoJc",100,4,5,0,1,2
14,0.980837743007675,2,2,2,33,"2;1","kdJWPoJc",100,4,5,0,1,2
15,0.681028269017572,1,10,2,43,"2;1","kdJWPoJc",100,4,5,0,1,2
16,0.879950874934804,1,-5,2,38,"2;1","kdJWPoJc",100,4,5,0,1,2
17,0.834360398743095,2,3,2,41,"2;1","kdJWPoJc",100,4,5,0,1,2
18,1.0392477334904,1,-2,2,39,"2;1","kdJWPoJc",100,4,5,0,1,2
19,1.01269828053494,1,2,2,41,"2;1","kdJWPoJc",100,4,5,0,1,2
