"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.99600628784284,1,2,1,2,"2;1","kkvANSgL",100,6,6,0,1.2,1
2,0.998735907836176,1,5,1,7,"2;1","kkvANSgL",100,6,6,0,1.2,1
3,0.827160074005978,1,4,1,11,"2;1","kkvANSgL",100,6,6,0,1.2,1
4,1.00491913243241,1,3,1,14,"2;1","kkvANSgL",100,6,6,0,1.2,1
5,0.676461954071334,1,8,1,22,"2;1","kkvANSgL",100,6,6,0,1.2,1
6,0.957317949415551,2,6,1,28,"2;1","kkvANSgL",100,6,6,0,1.2,1
7,0.521580479192271,1,1,1,29,"2;1","kkvANSgL",100,6,6,0,1.2,1
8,1.01527257119966,2,1,1,30,"2;1","kkvANSgL",100,6,6,0,1.2,1
9,0.797491796462579,1,6,1,36,"2;1","kkvANSgL",100,6,6,0,1.2,1
10,0.886307536675488,1,6,1,42,"2;1","kkvANSgL",100,6,6,0,1.2,1
11,0.801453039427342,1,6,1,48,"2;1","kkvANSgL",100,6,6,0,1.2,1
12,0.5,1,2,1,50,"2;1","kkvANSgL",100,6,6,0,1.2,1
13,0.823103549819301,1,5,1,55,"2;1","kkvANSgL",100,6,6,0,1.2,1
14,1.01858222249439,1,4,1,59,"2;1","kkvANSgL",100,6,6,0,1.2,1
15,0.650280158736196,2,6,1,65,"2;1","kkvANSgL",100,6,6,0,1.2,1
16,0.869153403798044,2,3,1,68,"2;1","kkvANSgL",100,6,6,0,1.2,1
17,1.15792671311018,1,4,1,72,"2;1","kkvANSgL",100,6,6,0,1.2,1
18,0.636197582637982,2,3,1,75,"2;1","kkvANSgL",100,6,6,0,1.2,1
19,0.82876452726335,2,2,1,77,"2;1","kkvANSgL",100,6,6,0,1.2,1
20,1.1881485783887,2,5,1,82,"2;1","kkvANSgL",100,6,6,0,1.2,1
1,1.43086079978627,2,25,2,25,"1;2","kkvANSgL",100,6,6,0,1.2,1
2,1.06282686931177,2,-3,2,22,"1;2","kkvANSgL",100,6,6,0,1.2,1
3,0.75976349155308,2,8,2,30,"1;2","kkvANSgL",100,6,6,0,1.2,1
4,0.5,2,11,2,41,"1;2","kkvANSgL",100,6,6,0,1.2,1
5,0.781385429288452,1,7,2,48,"1;2","kkvANSgL",100,6,6,0,1.2,1
6,0.777808677386342,2,8,2,56,"1;2","kkvANSgL",100,6,6,0,1.2,1
7,0.687390037213177,1,6,2,62,"1;2","kkvANSgL",100,6,6,0,1.2,1
8,1.2256056481927,1,1,2,63,"1;2","kkvANSgL",100,6,6,0,1.2,1
9,0.641023869566439,2,6,2,69,"1;2","kkvANSgL",100,6,6,0,1.2,1
10,0.917997827465784,2,7,2,76,"1;2","kkvANSgL",100,6,6,0,1.2,1
11,0.5,1,5,2,81,"1;2","kkvANSgL",100,6,6,0,1.2,1
12,0.783719602754706,2,5,2,86,"1;2","kkvANSgL",100,6,6,0,1.2,1
13,0.940880613104378,2,1,2,87,"1;2","kkvANSgL",100,6,6,0,1.2,1
14,0.863691397673366,1,5,2,92,"1;2","kkvANSgL",100,6,6,0,1.2,1
15,1.17605599109659,1,4,2,96,"1;2","kkvANSgL",100,6,6,0,1.2,1
16,0.666524807733142,2,27,2,123,"1;2","kkvANSgL",100,6,6,0,1.2,1
17,0.778475835892706,1,1,2,124,"1;2","kkvANSgL",100,6,6,0,1.2,1
18,0.791921417850985,1,8,2,132,"1;2","kkvANSgL",100,6,6,0,1.2,1
19,0.843816907248149,2,9,2,141,"1;2","kkvANSgL",100,6,6,0,1.2,1
20,0.927399177816013,1,0,2,141,"1;2","kkvANSgL",100,6,6,0,1.2,1
21,0.787425570981724,2,7,2,148,"1;2","kkvANSgL",100,6,6,0,1.2,1
22,0.87979295770315,1,2,2,150,"1;2","kkvANSgL",100,6,6,0,1.2,1
23,0.91503091626912,2,-4,2,146,"1;2","kkvANSgL",100,6,6,0,1.2,1
24,0.757723046607697,1,-2,2,144,"1;2","kkvANSgL",100,6,6,0,1.2,1
25,0.699484955495861,1,8,2,152,"1;2","kkvANSgL",100,6,6,0,1.2,1
1,0.980157688419067,1,2,3,2,"1;2","kkvANSgL",100,6,6,0,1.2,1
2,0.763386877546898,1,7,3,9,"1;2","kkvANSgL",100,6,6,0,1.2,1
3,0.602117999213606,2,21,3,30,"1;2","kkvANSgL",100,6,6,0,1.2,1
4,0.952394969779004,1,3,3,33,"1;2","kkvANSgL",100,6,6,0,1.2,1
5,0.750438778444345,1,8,3,41,"1;2","kkvANSgL",100,6,6,0,1.2,1
6,0.570037278129575,1,2,3,43,"1;2","kkvANSgL",100,6,6,0,1.2,1
7,0.738703562268742,1,5,3,48,"1;2","kkvANSgL",100,6,6,0,1.2,1
8,0.887347588826763,2,-3,3,45,"1;2","kkvANSgL",100,6,6,0,1.2,1
9,0.5,1,0,3,45,"1;2","kkvANSgL",100,6,6,0,1.2,1
10,0.546640768830531,2,5,3,50,"1;2","kkvANSgL",100,6,6,0,1.2,1
11,1.24752551561579,2,10,3,60,"1;2","kkvANSgL",100,6,6,0,1.2,1
12,0.599686624968757,1,4,3,64,"1;2","kkvANSgL",100,6,6,0,1.2,1
13,0.781048156378898,1,5,3,69,"1;2","kkvANSgL",100,6,6,0,1.2,1
14,1.13632444320377,1,3,3,72,"1;2","kkvANSgL",100,6,6,0,1.2,1
15,0.569263213678788,2,3,3,75,"1;2","kkvANSgL",100,6,6,0,1.2,1
16,0.714766021444487,1,7,3,82,"1;2","kkvANSgL",100,6,6,0,1.2,1
17,0.710866038371742,1,6,3,88,"1;2","kkvANSgL",100,6,6,0,1.2,1
18,1.03952294297283,1,0,3,88,"1;2","kkvANSgL",100,6,6,0,1.2,1
19,0.805626479222044,1,0,3,88,"1;2","kkvANSgL",100,6,6,0,1.2,1
20,0.716314729810033,2,26,3,114,"1;2","kkvANSgL",100,6,6,0,1.2,1
21,0.59474677698602,1,5,3,119,"1;2","kkvANSgL",100,6,6,0,1.2,1
22,0.758477436760161,2,-2,3,117,"1;2","kkvANSgL",100,6,6,0,1.2,1
23,0.878235292340971,1,1,3,118,"1;2","kkvANSgL",100,6,6,0,1.2,1
24,0.5,1,6,3,124,"1;2","kkvANSgL",100,6,6,0,1.2,1
25,0.647818024013814,2,2,3,126,"1;2","kkvANSgL",100,6,6,0,1.2,1
1,0.719617263291421,2,9,4,9,"1;2","kkvANSgL",100,6,6,0,1.2,1
2,0.92412333458703,2,4,4,13,"1;2","kkvANSgL",100,6,6,0,1.2,1
3,0.796451530085053,2,17,4,30,"1;2","kkvANSgL",100,6,6,0,1.2,1
4,1.23499370386954,1,3,4,33,"1;2","kkvANSgL",100,6,6,0,1.2,1
5,0.865631567287841,2,-4,4,29,"1;2","kkvANSgL",100,6,6,0,1.2,1
6,0.822809364419834,1,3,4,32,"1;2","kkvANSgL",100,6,6,0,1.2,1
7,1.17834342216753,2,-20,4,12,"1;2","kkvANSgL",100,6,6,0,1.2,1
8,0.5,1,0,4,12,"1;2","kkvANSgL",100,6,6,0,1.2,1
9,1.38352978303142,1,0,4,12,"1;2","kkvANSgL",100,6,6,0,1.2,1
10,0.9544631167939,2,-4,4,8,"1;2","kkvANSgL",100,6,6,0,1.2,1
11,0.827907853344155,1,5,4,13,"1;2","kkvANSgL",100,6,6,0,1.2,1
12,1.02526491718381,1,6,4,19,"1;2","kkvANSgL",100,6,6,0,1.2,1
13,1.15444138806977,2,2,4,21,"1;2","kkvANSgL",100,6,6,0,1.2,1
14,0.763605509249675,1,3,4,24,"1;2","kkvANSgL",100,6,6,0,1.2,1
15,0.771434274543085,1,3,4,27,"1;2","kkvANSgL",100,6,6,0,1.2,1
16,0.944392165614594,1,4,4,31,"1;2","kkvANSgL",100,6,6,0,1.2,1
17,0.5,1,6,4,37,"1;2","kkvANSgL",100,6,6,0,1.2,1
18,0.786871471781348,2,11,4,48,"1;2","kkvANSgL",100,6,6,0,1.2,1
19,0.5,1,3,4,51,"1;2","kkvANSgL",100,6,6,0,1.2,1
20,0.9804854274504,2,11,4,62,"1;2","kkvANSgL",100,6,6,0,1.2,1
21,1.13937048143908,2,14,4,76,"1;2","kkvANSgL",100,6,6,0,1.2,1
22,0.947775241830718,2,6,4,82,"1;2","kkvANSgL",100,6,6,0,1.2,1
23,0.596953722892653,2,9,4,91,"1;2","kkvANSgL",100,6,6,0,1.2,1
24,0.986189856975987,2,13,4,104,"1;2","kkvANSgL",100,6,6,0,1.2,1
25,0.720794538288677,1,1,4,105,"1;2","kkvANSgL",100,6,6,0,1.2,1
1,1.20558785842862,2,1,5,1,"2;1","kkvANSgL",100,6,6,0,1.2,1
2,0.941898244341089,1,33,5,34,"2;1","kkvANSgL",100,6,6,0,1.2,1
3,0.887636234961401,2,-4,5,30,"2;1","kkvANSgL",100,6,6,0,1.2,1
4,0.5,1,-14,5,16,"2;1","kkvANSgL",100,6,6,0,1.2,1
5,1.18512965867583,2,6,5,22,"2;1","kkvANSgL",100,6,6,0,1.2,1
6,0.5,1,13,5,35,"2;1","kkvANSgL",100,6,6,0,1.2,1
7,0.970602575472657,1,16,5,51,"2;1","kkvANSgL",100,6,6,0,1.2,1
8,0.991235659972632,2,6,5,57,"2;1","kkvANSgL",100,6,6,0,1.2,1
9,0.936066883174865,2,2,5,59,"2;1","kkvANSgL",100,6,6,0,1.2,1
10,1.18814321372131,1,10,5,69,"2;1","kkvANSgL",100,6,6,0,1.2,1
