"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.05446506344248,1,3,1,3,"2;1","knGAQd8w",0,1,NA,0,1.28,3
2,0.616529770585903,1,0,1,3,"2;1","knGAQd8w",0,1,NA,0,1.28,3
3,0.872515341604857,1,4,1,7,"2;1","knGAQd8w",0,1,NA,0,1.28,3
4,0.647947691652015,2,5,1,12,"2;1","knGAQd8w",0,1,NA,0,1.28,3
5,0.726053502680624,1,2,1,14,"2;1","knGAQd8w",0,1,NA,0,1.28,3
6,0.891820140349289,2,6,1,20,"2;1","knGAQd8w",0,1,NA,0,1.28,3
7,1.10874062524171,1,3,1,23,"2;1","knGAQd8w",0,1,NA,0,1.28,3
8,0.875216189947794,2,2,1,25,"2;1","knGAQd8w",0,1,NA,0,1.28,3
9,0.63118269490553,2,5,1,30,"2;1","knGAQd8w",0,1,NA,0,1.28,3
10,0.5,2,3,1,33,"2;1","knGAQd8w",0,1,NA,0,1.28,3
11,0.639523356589301,2,4,1,37,"2;1","knGAQd8w",0,1,NA,0,1.28,3
12,0.985856284502404,2,2,1,39,"2;1","knGAQd8w",0,1,NA,0,1.28,3
13,0.813646100257695,2,1,1,40,"2;1","knGAQd8w",0,1,NA,0,1.28,3
14,1.03297773236312,2,4,1,44,"2;1","knGAQd8w",0,1,NA,0,1.28,3
15,0.5,2,5,1,49,"2;1","knGAQd8w",0,1,NA,0,1.28,3
16,0.617132479678693,2,3,1,52,"2;1","knGAQd8w",0,1,NA,0,1.28,3
17,0.761658610194039,2,2,1,54,"2;1","knGAQd8w",0,1,NA,0,1.28,3
18,0.768111255181327,2,4,1,58,"2;1","knGAQd8w",0,1,NA,0,1.28,3
19,0.983365815943557,2,-1,1,57,"2;1","knGAQd8w",0,1,NA,0,1.28,3
20,0.673821642252363,1,3,1,60,"2;1","knGAQd8w",0,1,NA,0,1.28,3
1,0.954075731918693,2,0,2,0,"2;1","knGAQd8w",0,1,NA,0,1.28,3
2,1.17480361270567,2,6,2,6,"2;1","knGAQd8w",0,1,NA,0,1.28,3
3,0.5,2,7,2,13,"2;1","knGAQd8w",0,1,NA,0,1.28,3
4,0.683494761091346,1,7,2,20,"2;1","knGAQd8w",0,1,NA,0,1.28,3
5,0.976499452196474,2,4,2,24,"2;1","knGAQd8w",0,1,NA,0,1.28,3
6,0.762831868321842,2,7,2,31,"2;1","knGAQd8w",0,1,NA,0,1.28,3
7,0.5,1,15,2,46,"2;1","knGAQd8w",0,1,NA,0,1.28,3
8,0.892827543497128,1,4,2,50,"2;1","knGAQd8w",0,1,NA,0,1.28,3
9,1.03751145110547,1,21,2,71,"2;1","knGAQd8w",0,1,NA,0,1.28,3
10,0.823529567861411,1,7,2,78,"2;1","knGAQd8w",0,1,NA,0,1.28,3
11,0.5,1,10,2,88,"2;1","knGAQd8w",0,1,NA,0,1.28,3
12,0.631228032206333,1,-2,2,86,"2;1","knGAQd8w",0,1,NA,0,1.28,3
13,0.960838421045115,1,-2,2,84,"2;1","knGAQd8w",0,1,NA,0,1.28,3
14,1.06286628534935,1,-9,2,75,"2;1","knGAQd8w",0,1,NA,0,1.28,3
15,1.05480057712553,2,4,2,79,"2;1","knGAQd8w",0,1,NA,0,1.28,3
16,0.5,1,-1,2,78,"2;1","knGAQd8w",0,1,NA,0,1.28,3
17,1.14955798452067,1,3,2,81,"2;1","knGAQd8w",0,1,NA,0,1.28,3
18,0.766850686237461,2,0,2,81,"2;1","knGAQd8w",0,1,NA,0,1.28,3
19,0.5,2,6,2,87,"2;1","knGAQd8w",0,1,NA,0,1.28,3
20,0.678671858583892,2,6,2,93,"2;1","knGAQd8w",0,1,NA,0,1.28,3
21,0.627865112315042,2,1,2,94,"2;1","knGAQd8w",0,1,NA,0,1.28,3
22,0.708197711891965,2,2,2,96,"2;1","knGAQd8w",0,1,NA,0,1.28,3
23,0.665187225000107,2,2,2,98,"2;1","knGAQd8w",0,1,NA,0,1.28,3
24,0.757238342821531,2,2,2,100,"2;1","knGAQd8w",0,1,NA,0,1.28,3
25,0.5,2,3,2,103,"2;1","knGAQd8w",0,1,NA,0,1.28,3
1,0.5,1,6,3,6,"1;2","knGAQd8w",0,1,NA,0,1.28,3
2,0.914648250257645,2,-3,3,3,"1;2","knGAQd8w",0,1,NA,0,1.28,3
3,0.955147317864331,2,-5,3,-2,"1;2","knGAQd8w",0,1,NA,0,1.28,3
4,0.939018083875609,1,1,3,-1,"1;2","knGAQd8w",0,1,NA,0,1.28,3
5,0.818296141154011,1,1,3,0,"1;2","knGAQd8w",0,1,NA,0,1.28,3
6,1.36566865294604,1,4,3,4,"1;2","knGAQd8w",0,1,NA,0,1.28,3
7,0.573707331804144,1,6,3,10,"1;2","knGAQd8w",0,1,NA,0,1.28,3
