"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.585904858834682,2,6,1,6,"2;1","kueNDVno",0,1,NA,3,1.12,3
2,1.20668451828007,2,-1,1,5,"2;1","kueNDVno",0,1,NA,3,1.12,3
3,0.703822245446567,2,5,1,10,"2;1","kueNDVno",0,1,NA,3,1.12,3
4,0.703187524623544,1,3,1,13,"2;1","kueNDVno",0,1,NA,3,1.12,3
5,1.14319008140788,2,5,1,18,"2;1","kueNDVno",0,1,NA,3,1.12,3
6,1.46231763187766,2,1,1,19,"2;1","kueNDVno",0,1,NA,3,1.12,3
7,0.584668326003639,1,3,1,22,"2;1","kueNDVno",0,1,NA,3,1.12,3
8,0.751077234382494,1,5,1,27,"2;1","kueNDVno",0,1,NA,3,1.12,3
9,0.559054894271297,1,-1,1,26,"2;1","kueNDVno",0,1,NA,3,1.12,3
10,1.2261597699532,2,1,1,27,"2;1","kueNDVno",0,1,NA,3,1.12,3
11,0.5,2,5,1,32,"2;1","kueNDVno",0,1,NA,3,1.12,3
12,0.516236358628548,2,4,1,36,"2;1","kueNDVno",0,1,NA,3,1.12,3
13,1.06683700949726,2,5,1,41,"2;1","kueNDVno",0,1,NA,3,1.12,3
14,0.789476179844051,1,2,1,43,"2;1","kueNDVno",0,1,NA,3,1.12,3
15,0.5,2,8,1,51,"2;1","kueNDVno",0,1,NA,3,1.12,3
16,0.93993136181637,1,1,1,52,"2;1","kueNDVno",0,1,NA,3,1.12,3
17,0.842070343639758,2,4,1,56,"2;1","kueNDVno",0,1,NA,3,1.12,3
18,0.5,2,0,1,56,"2;1","kueNDVno",0,1,NA,3,1.12,3
19,0.739994006040429,2,5,1,61,"2;1","kueNDVno",0,1,NA,3,1.12,3
20,1.22565460589655,1,1,1,62,"2;1","kueNDVno",0,1,NA,3,1.12,3
1,0.614959235483644,2,-7,2,-7,"1;2","kueNDVno",0,1,NA,3,1.12,3
2,0.792378317650829,1,4,2,-3,"1;2","kueNDVno",0,1,NA,3,1.12,3
3,1.25496486764769,1,6,2,3,"1;2","kueNDVno",0,1,NA,3,1.12,3
4,0.915545143288037,1,-2,2,1,"1;2","kueNDVno",0,1,NA,3,1.12,3
5,0.5,2,8,2,9,"1;2","kueNDVno",0,1,NA,3,1.12,3
6,0.848861342546443,2,-23,2,-14,"1;2","kueNDVno",0,1,NA,3,1.12,3
7,0.866832692313251,1,2,2,-12,"1;2","kueNDVno",0,1,NA,3,1.12,3
8,0.650802338032246,1,8,2,-4,"1;2","kueNDVno",0,1,NA,3,1.12,3
9,0.921824447069694,1,1,2,-3,"1;2","kueNDVno",0,1,NA,3,1.12,3
10,1.09393167446913,1,2,2,-1,"1;2","kueNDVno",0,1,NA,3,1.12,3
11,1.33389189096868,1,0,2,-1,"1;2","kueNDVno",0,1,NA,3,1.12,3
12,0.5,1,2,2,1,"1;2","kueNDVno",0,1,NA,3,1.12,3
13,0.5,1,3,2,4,"1;2","kueNDVno",0,1,NA,3,1.12,3
14,0.657185832669464,1,6,2,10,"1;2","kueNDVno",0,1,NA,3,1.12,3
15,0.547092912920324,1,7,2,17,"1;2","kueNDVno",0,1,NA,3,1.12,3
16,0.52119803723873,1,3,2,20,"1;2","kueNDVno",0,1,NA,3,1.12,3
17,1.18536505863922,1,4,2,24,"1;2","kueNDVno",0,1,NA,3,1.12,3
18,1.18783264933455,1,7,2,31,"1;2","kueNDVno",0,1,NA,3,1.12,3
19,0.995088092461109,1,4,2,35,"1;2","kueNDVno",0,1,NA,3,1.12,3
20,0.757760319655092,1,7,2,42,"1;2","kueNDVno",0,1,NA,3,1.12,3
21,0.5,1,4,2,46,"1;2","kueNDVno",0,1,NA,3,1.12,3
22,1.08649991915259,1,1,2,47,"1;2","kueNDVno",0,1,NA,3,1.12,3
23,0.937635736126945,1,4,2,51,"1;2","kueNDVno",0,1,NA,3,1.12,3
24,1.27020544576821,1,4,2,55,"1;2","kueNDVno",0,1,NA,3,1.12,3
25,0.520703437063502,2,8,2,63,"1;2","kueNDVno",0,1,NA,3,1.12,3
1,0.915784933724464,1,2,3,2,"1;2","kueNDVno",0,1,NA,3,1.12,3
2,0.556296349442633,1,10,3,12,"1;2","kueNDVno",0,1,NA,3,1.12,3
3,0.711174461224308,1,4,3,16,"1;2","kueNDVno",0,1,NA,3,1.12,3
4,0.562547166971092,2,0,3,16,"1;2","kueNDVno",0,1,NA,3,1.12,3
5,1.06371349256355,1,4,3,20,"1;2","kueNDVno",0,1,NA,3,1.12,3
6,0.86678532515795,1,3,3,23,"1;2","kueNDVno",0,1,NA,3,1.12,3
7,1.2634840860547,2,18,3,41,"1;2","kueNDVno",0,1,NA,3,1.12,3
8,0.5,2,41,3,82,"1;2","kueNDVno",0,1,NA,3,1.12,3
9,0.9889571761484,2,19,3,101,"1;2","kueNDVno",0,1,NA,3,1.12,3
10,1.08397832278303,2,-9,3,92,"1;2","kueNDVno",0,1,NA,3,1.12,3
11,0.5,2,9,3,101,"1;2","kueNDVno",0,1,NA,3,1.12,3
12,0.5,2,13,3,114,"1;2","kueNDVno",0,1,NA,3,1.12,3
13,0.703156531227755,2,4,3,118,"1;2","kueNDVno",0,1,NA,3,1.12,3
14,0.599672656591341,2,4,3,122,"1;2","kueNDVno",0,1,NA,3,1.12,3
15,0.806904840431457,2,9,3,131,"1;2","kueNDVno",0,1,NA,3,1.12,3
16,0.953312092891982,2,-17,3,114,"1;2","kueNDVno",0,1,NA,3,1.12,3
17,1.28528018437984,1,1,3,115,"1;2","kueNDVno",0,1,NA,3,1.12,3
18,1.19374752872541,1,5,3,120,"1;2","kueNDVno",0,1,NA,3,1.12,3
19,1.24536093416742,1,4,3,124,"1;2","kueNDVno",0,1,NA,3,1.12,3
20,0.746961175421726,1,1,3,125,"1;2","kueNDVno",0,1,NA,3,1.12,3
21,1.25077976474821,1,3,3,128,"1;2","kueNDVno",0,1,NA,3,1.12,3
22,0.5,1,1,3,129,"1;2","kueNDVno",0,1,NA,3,1.12,3
23,0.759096467956998,1,7,3,136,"1;2","kueNDVno",0,1,NA,3,1.12,3
24,0.5,1,7,3,143,"1;2","kueNDVno",0,1,NA,3,1.12,3
25,1.09557034547736,2,-1,3,142,"1;2","kueNDVno",0,1,NA,3,1.12,3
1,0.5,1,5,4,5,"1;2","kueNDVno",0,1,NA,3,1.12,3
2,0.891901647698832,1,4,4,9,"1;2","kueNDVno",0,1,NA,3,1.12,3
3,0.994631372776165,1,-1,4,8,"1;2","kueNDVno",0,1,NA,3,1.12,3
4,0.789385251090607,1,6,4,14,"1;2","kueNDVno",0,1,NA,3,1.12,3
5,0.95224209857164,1,3,4,17,"1;2","kueNDVno",0,1,NA,3,1.12,3
6,0.578098790690196,1,6,4,23,"1;2","kueNDVno",0,1,NA,3,1.12,3
7,0.968711542287044,1,4,4,27,"1;2","kueNDVno",0,1,NA,3,1.12,3
8,0.964624987440754,1,0,4,27,"1;2","kueNDVno",0,1,NA,3,1.12,3
9,0.981229616129652,1,2,4,29,"1;2","kueNDVno",0,1,NA,3,1.12,3
10,0.565360255046735,1,3,4,32,"1;2","kueNDVno",0,1,NA,3,1.12,3
11,1.17423965358268,1,1,4,33,"1;2","kueNDVno",0,1,NA,3,1.12,3
12,0.517353766078961,1,1,4,34,"1;2","kueNDVno",0,1,NA,3,1.12,3
13,0.917868834633614,1,-1,4,33,"1;2","kueNDVno",0,1,NA,3,1.12,3
14,0.689157649863497,1,9,4,42,"1;2","kueNDVno",0,1,NA,3,1.12,3
15,0.594985451835349,1,5,4,47,"1;2","kueNDVno",0,1,NA,3,1.12,3
16,0.995412789347059,2,5,4,52,"1;2","kueNDVno",0,1,NA,3,1.12,3
17,0.741052367258741,1,-3,4,49,"1;2","kueNDVno",0,1,NA,3,1.12,3
18,0.5,1,5,4,54,"1;2","kueNDVno",0,1,NA,3,1.12,3
19,0.744604904279974,1,7,4,61,"1;2","kueNDVno",0,1,NA,3,1.12,3
20,0.503276359580556,1,-1,4,60,"1;2","kueNDVno",0,1,NA,3,1.12,3
21,1.05170362705899,1,6,4,66,"1;2","kueNDVno",0,1,NA,3,1.12,3
22,0.690110993923217,1,6,4,72,"1;2","kueNDVno",0,1,NA,3,1.12,3
23,1.02643831299925,2,-19,4,53,"1;2","kueNDVno",0,1,NA,3,1.12,3
24,0.687210647914425,1,3,4,56,"1;2","kueNDVno",0,1,NA,3,1.12,3
25,0.5,1,4,4,60,"1;2","kueNDVno",0,1,NA,3,1.12,3
1,0.5,1,-15,5,-15,"2;1","kueNDVno",0,1,NA,3,1.12,3
2,0.5,2,1,5,-14,"2;1","kueNDVno",0,1,NA,3,1.12,3
