"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.21073348487307,2,5,1,5,"2;1","kwGcELoA",100,4,5,0,1,3
2,0.611217234255465,2,0,1,5,"2;1","kwGcELoA",100,4,5,0,1,3
3,1.27226591184386,2,5,1,10,"2;1","kwGcELoA",100,4,5,0,1,3
4,0.815953741987446,2,4,1,14,"2;1","kwGcELoA",100,4,5,0,1,3
5,0.911999494023293,2,4,1,18,"2;1","kwGcELoA",100,4,5,0,1,3
6,0.790127524003725,2,4,1,22,"2;1","kwGcELoA",100,4,5,0,1,3
7,0.5,1,5,1,27,"2;1","kwGcELoA",100,4,5,0,1,3
8,0.92338150619678,2,6,1,33,"2;1","kwGcELoA",100,4,5,0,1,3
9,0.938928227231583,2,4,1,37,"2;1","kwGcELoA",100,4,5,0,1,3
10,0.5,2,1,1,38,"2;1","kwGcELoA",100,4,5,0,1,3
11,0.902475483777104,2,2,1,40,"2;1","kwGcELoA",100,4,5,0,1,3
12,1.1551472156729,2,2,1,42,"2;1","kwGcELoA",100,4,5,0,1,3
13,0.855537182993544,1,4,1,46,"2;1","kwGcELoA",100,4,5,0,1,3
14,1.02112880917373,1,0,1,46,"2;1","kwGcELoA",100,4,5,0,1,3
15,1.21620936415178,1,3,1,49,"2;1","kwGcELoA",100,4,5,0,1,3
16,0.5,2,2,1,51,"2;1","kwGcELoA",100,4,5,0,1,3
17,0.981042594033389,1,5,1,56,"2;1","kwGcELoA",100,4,5,0,1,3
18,0.879613880047845,2,2,1,58,"2;1","kwGcELoA",100,4,5,0,1,3
19,0.5,2,3,1,61,"2;1","kwGcELoA",100,4,5,0,1,3
20,0.811992453103917,1,1,1,62,"2;1","kwGcELoA",100,4,5,0,1,3
1,0.560308019520009,2,4,2,4,"2;1","kwGcELoA",100,4,5,0,1,3
2,0.5,1,3,2,7,"2;1","kwGcELoA",100,4,5,0,1,3
3,0.805303333096054,1,31,2,38,"2;1","kwGcELoA",100,4,5,0,1,3
4,0.793292662867031,2,4,2,42,"2;1","kwGcELoA",100,4,5,0,1,3
5,0.833708344824701,1,-7,2,35,"2;1","kwGcELoA",100,4,5,0,1,3
6,0.543348288281952,1,-5,2,30,"2;1","kwGcELoA",100,4,5,0,1,3
7,0.695466683292542,1,-1,2,29,"2;1","kwGcELoA",100,4,5,0,1,3
8,1.05778559165323,2,7,2,36,"2;1","kwGcELoA",100,4,5,0,1,3
9,0.5,2,0,2,36,"2;1","kwGcELoA",100,4,5,0,1,3
10,0.64202335829374,1,-2,2,34,"2;1","kwGcELoA",100,4,5,0,1,3
11,0.904119938935834,1,0,2,34,"2;1","kwGcELoA",100,4,5,0,1,3
12,0.933332507004017,1,4,2,38,"2;1","kwGcELoA",100,4,5,0,1,3
13,0.862103409753708,1,12,2,50,"2;1","kwGcELoA",100,4,5,0,1,3
14,0.507681565999241,1,1,2,51,"2;1","kwGcELoA",100,4,5,0,1,3
15,0.765378438134145,2,6,2,57,"2;1","kwGcELoA",100,4,5,0,1,3
16,1.18370306964922,1,-15,2,42,"2;1","kwGcELoA",100,4,5,0,1,3
17,0.90403397167979,2,2,2,44,"2;1","kwGcELoA",100,4,5,0,1,3
