"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.567780303595728,2,0,1,0,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
2,0.598054765778428,2,2,1,2,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
3,0.642021346592254,2,-1,1,1,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
4,0.971799582348715,2,3,1,4,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
5,0.5,1,7,1,11,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
6,0.668482057875065,2,5,1,16,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
7,0.923374747017089,2,4,1,20,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
8,0.731963063610043,1,-1,1,19,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
9,0.660931915505591,2,3,1,22,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
10,0.5,1,2,1,24,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
11,0.715992418234756,2,3,1,27,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
12,1.03912451235904,1,3,1,30,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
13,0.853777450048092,2,4,1,34,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
14,0.833748121773503,2,2,1,36,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
15,0.5,1,8,1,44,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
16,0.774382435094005,1,0,1,44,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
17,1.15383131229519,2,2,1,46,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
18,0.963673345143232,1,2,1,48,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
19,1.21529347338849,2,0,1,48,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
20,1.06614146353133,1,3,1,51,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
1,0.597961653757303,2,0,2,0,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
2,0.5,2,-2,2,-2,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
3,0.829087642943436,1,9,2,7,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
4,0.736344516272601,2,8,2,15,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
5,0.844416442245316,2,5,2,20,"2;1","l6IuPcDr",0,1,NA,0,0.97,3
