"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.794851456083865,2,2,1,2,"2;1","lDKh6iST",100,6,4,0,0.8,1
2,1.1495688024972,2,4,1,6,"2;1","lDKh6iST",100,6,4,0,0.8,1
3,0.645339060785917,2,5,1,11,"2;1","lDKh6iST",100,6,4,0,0.8,1
4,0.983356640347009,1,4,1,15,"2;1","lDKh6iST",100,6,4,0,0.8,1
5,1.21241961471729,2,1,1,16,"2;1","lDKh6iST",100,6,4,0,0.8,1
6,1.02448710030959,1,5,1,21,"2;1","lDKh6iST",100,6,4,0,0.8,1
7,0.651410637008904,2,4,1,25,"2;1","lDKh6iST",100,6,4,0,0.8,1
8,1.07847629727351,1,4,1,29,"2;1","lDKh6iST",100,6,4,0,0.8,1
9,1.02019760215674,1,4,1,33,"2;1","lDKh6iST",100,6,4,0,0.8,1
10,0.75263315292626,2,5,1,38,"2;1","lDKh6iST",100,6,4,0,0.8,1
11,1.16470355795203,2,3,1,41,"2;1","lDKh6iST",100,6,4,0,0.8,1
12,0.584436564809716,2,2,1,43,"2;1","lDKh6iST",100,6,4,0,0.8,1
13,0.84614650986427,2,2,1,45,"2;1","lDKh6iST",100,6,4,0,0.8,1
14,1.01928685355087,2,2,1,47,"2;1","lDKh6iST",100,6,4,0,0.8,1
15,0.973136136462395,1,5,1,52,"2;1","lDKh6iST",100,6,4,0,0.8,1
16,0.590682689170615,1,3,1,55,"2;1","lDKh6iST",100,6,4,0,0.8,1
17,0.730297578865738,1,2,1,57,"2;1","lDKh6iST",100,6,4,0,0.8,1
18,0.79860062548878,2,2,1,59,"2;1","lDKh6iST",100,6,4,0,0.8,1
19,1.13805548626908,1,3,1,62,"2;1","lDKh6iST",100,6,4,0,0.8,1
20,0.755282217931478,2,2,1,64,"2;1","lDKh6iST",100,6,4,0,0.8,1
1,0.65759104379646,1,16,2,16,"2;1","lDKh6iST",100,6,4,0,0.8,1
2,0.953282547171523,1,10,2,26,"2;1","lDKh6iST",100,6,4,0,0.8,1
3,1.21406111315754,1,-2,2,24,"2;1","lDKh6iST",100,6,4,0,0.8,1
4,0.987777563839366,1,1,2,25,"2;1","lDKh6iST",100,6,4,0,0.8,1
5,1.00509149306939,1,20,2,45,"2;1","lDKh6iST",100,6,4,0,0.8,1
6,0.984861744591611,1,10,2,55,"2;1","lDKh6iST",100,6,4,0,0.8,1
7,1.06889799571136,1,-1,2,54,"2;1","lDKh6iST",100,6,4,0,0.8,1
8,0.822470067927961,1,-4,2,50,"2;1","lDKh6iST",100,6,4,0,0.8,1
9,1.01443244782995,1,17,2,67,"2;1","lDKh6iST",100,6,4,0,0.8,1
10,0.958470973277222,1,-2,2,65,"2;1","lDKh6iST",100,6,4,0,0.8,1
11,0.54271986332931,1,-21,2,44,"2;1","lDKh6iST",100,6,4,0,0.8,1
12,0.75980023916743,2,1,2,45,"2;1","lDKh6iST",100,6,4,0,0.8,1
13,1.140306101526,1,3,2,48,"2;1","lDKh6iST",100,6,4,0,0.8,1
14,0.563590667302702,1,-18,2,30,"2;1","lDKh6iST",100,6,4,0,0.8,1
15,1.08056147022291,1,-11,2,19,"2;1","lDKh6iST",100,6,4,0,0.8,1
16,0.5,1,16,2,35,"2;1","lDKh6iST",100,6,4,0,0.8,1
17,1.16476513737532,1,16,2,51,"2;1","lDKh6iST",100,6,4,0,0.8,1
18,0.558725785751685,1,7,2,58,"2;1","lDKh6iST",100,6,4,0,0.8,1
19,0.833189787065759,1,19,2,77,"2;1","lDKh6iST",100,6,4,0,0.8,1
20,0.656509186239115,1,14,2,91,"2;1","lDKh6iST",100,6,4,0,0.8,1
21,0.5,2,1,2,92,"2;1","lDKh6iST",100,6,4,0,0.8,1
22,1.09031267506116,1,-7,2,85,"2;1","lDKh6iST",100,6,4,0,0.8,1
23,1.00043684387751,1,0,2,85,"2;1","lDKh6iST",100,6,4,0,0.8,1
24,0.895441170537796,1,2,2,87,"2;1","lDKh6iST",100,6,4,0,0.8,1
25,0.729905687955151,2,-1,2,86,"2;1","lDKh6iST",100,6,4,0,0.8,1
1,1.08619198114724,1,-2,3,-2,"1;2","lDKh6iST",100,6,4,0,0.8,1
2,0.923551943358549,1,1,3,-1,"1;2","lDKh6iST",100,6,4,0,0.8,1
3,0.91840464290263,1,4,3,3,"1;2","lDKh6iST",100,6,4,0,0.8,1
4,0.502088604051633,1,2,3,5,"1;2","lDKh6iST",100,6,4,0,0.8,1
5,0.670128524471802,1,3,3,8,"1;2","lDKh6iST",100,6,4,0,0.8,1
6,0.889732253238027,1,3,3,11,"1;2","lDKh6iST",100,6,4,0,0.8,1
7,0.944049665069605,1,1,3,12,"1;2","lDKh6iST",100,6,4,0,0.8,1
8,0.678678308023155,1,6,3,18,"1;2","lDKh6iST",100,6,4,0,0.8,1
9,0.615743591697171,1,0,3,18,"1;2","lDKh6iST",100,6,4,0,0.8,1
10,0.731918053071983,1,3,3,21,"1;2","lDKh6iST",100,6,4,0,0.8,1
11,0.5,1,5,3,26,"1;2","lDKh6iST",100,6,4,0,0.8,1
12,0.550877602401318,1,5,3,31,"1;2","lDKh6iST",100,6,4,0,0.8,1
13,1.05729396884556,1,1,3,32,"1;2","lDKh6iST",100,6,4,0,0.8,1
14,0.946523816942307,1,4,3,36,"1;2","lDKh6iST",100,6,4,0,0.8,1
15,0.827477975683044,1,3,3,39,"1;2","lDKh6iST",100,6,4,0,0.8,1
16,0.612954920246613,1,-1,3,38,"1;2","lDKh6iST",100,6,4,0,0.8,1
17,0.528857215968528,2,-13,3,25,"1;2","lDKh6iST",100,6,4,0,0.8,1
18,0.782184054175274,1,-2,3,23,"1;2","lDKh6iST",100,6,4,0,0.8,1
19,0.704757382077832,1,-1,3,22,"1;2","lDKh6iST",100,6,4,0,0.8,1
20,0.646189949644487,1,-2,3,20,"1;2","lDKh6iST",100,6,4,0,0.8,1
21,1.00970399540003,2,-13,3,7,"1;2","lDKh6iST",100,6,4,0,0.8,1
22,0.992402177853484,2,1,3,8,"1;2","lDKh6iST",100,6,4,0,0.8,1
23,0.966306857638955,2,1,3,9,"1;2","lDKh6iST",100,6,4,0,0.8,1
24,0.544234513565508,2,-11,3,-2,"1;2","lDKh6iST",100,6,4,0,0.8,1
25,0.674344456843939,2,12,3,10,"1;2","lDKh6iST",100,6,4,0,0.8,1
1,0.785655617683504,2,6,4,6,"2;1","lDKh6iST",100,6,4,0,0.8,1
2,0.991157844990622,1,9,4,15,"2;1","lDKh6iST",100,6,4,0,0.8,1
3,0.955756159821217,1,3,4,18,"2;1","lDKh6iST",100,6,4,0,0.8,1
4,0.929162960415457,1,16,4,34,"2;1","lDKh6iST",100,6,4,0,0.8,1
5,1.01435081216546,1,2,4,36,"2;1","lDKh6iST",100,6,4,0,0.8,1
6,0.832222837518063,1,7,4,43,"2;1","lDKh6iST",100,6,4,0,0.8,1
7,0.811779166632601,1,-7,4,36,"2;1","lDKh6iST",100,6,4,0,0.8,1
8,0.668202883361773,1,26,4,62,"2;1","lDKh6iST",100,6,4,0,0.8,1
9,0.694219902743294,1,18,4,80,"2;1","lDKh6iST",100,6,4,0,0.8,1
10,0.5,1,15,4,95,"2;1","lDKh6iST",100,6,4,0,0.8,1
11,0.709247286186853,2,1,4,96,"2;1","lDKh6iST",100,6,4,0,0.8,1
12,0.5,1,-12,4,84,"2;1","lDKh6iST",100,6,4,0,0.8,1
13,0.583760054518893,1,4,4,88,"2;1","lDKh6iST",100,6,4,0,0.8,1
14,0.50006425701393,1,0,4,88,"2;1","lDKh6iST",100,6,4,0,0.8,1
15,0.5,1,19,4,107,"2;1","lDKh6iST",100,6,4,0,0.8,1
16,0.606449494541614,1,6,4,113,"2;1","lDKh6iST",100,6,4,0,0.8,1
17,0.851931054186379,2,1,4,114,"2;1","lDKh6iST",100,6,4,0,0.8,1
18,1.30096708311186,2,3,4,117,"2;1","lDKh6iST",100,6,4,0,0.8,1
19,0.642030736008286,2,6,4,123,"2;1","lDKh6iST",100,6,4,0,0.8,1
20,0.99017723759226,2,4,4,127,"2;1","lDKh6iST",100,6,4,0,0.8,1
21,0.727154241779242,2,2,4,129,"2;1","lDKh6iST",100,6,4,0,0.8,1
22,1.07963905542107,2,4,4,133,"2;1","lDKh6iST",100,6,4,0,0.8,1
23,0.673958837038434,2,-1,4,132,"2;1","lDKh6iST",100,6,4,0,0.8,1
24,1.01701204573155,2,2,4,134,"2;1","lDKh6iST",100,6,4,0,0.8,1
25,0.716821676209542,1,0,4,134,"2;1","lDKh6iST",100,6,4,0,0.8,1
1,1.19721262630541,2,2,5,2,"2;1","lDKh6iST",100,6,4,0,0.8,1
2,0.5,1,-8,5,-6,"2;1","lDKh6iST",100,6,4,0,0.8,1
3,0.816549655723488,2,9,5,3,"2;1","lDKh6iST",100,6,4,0,0.8,1
4,0.5,2,1,5,4,"2;1","lDKh6iST",100,6,4,0,0.8,1
5,0.851954827219903,2,4,5,8,"2;1","lDKh6iST",100,6,4,0,0.8,1
6,1.0845387650211,2,8,5,16,"2;1","lDKh6iST",100,6,4,0,0.8,1
7,0.549172476474431,2,-2,5,14,"2;1","lDKh6iST",100,6,4,0,0.8,1
8,1.06564750676385,2,1,5,15,"2;1","lDKh6iST",100,6,4,0,0.8,1
9,0.947332516123299,2,4,5,19,"2;1","lDKh6iST",100,6,4,0,0.8,1
10,0.868416740372123,2,1,5,20,"2;1","lDKh6iST",100,6,4,0,0.8,1
11,0.580798790804063,2,0,5,20,"2;1","lDKh6iST",100,6,4,0,0.8,1
12,0.602351912308979,1,12,5,32,"2;1","lDKh6iST",100,6,4,0,0.8,1
13,1.01661302828163,1,-1,5,31,"2;1","lDKh6iST",100,6,4,0,0.8,1
14,0.794392938964176,1,-5,5,26,"2;1","lDKh6iST",100,6,4,0,0.8,1
15,0.656197547416978,1,20,5,46,"2;1","lDKh6iST",100,6,4,0,0.8,1
16,0.714711121205095,1,22,5,68,"2;1","lDKh6iST",100,6,4,0,0.8,1
17,0.599228597170342,1,21,5,89,"2;1","lDKh6iST",100,6,4,0,0.8,1
18,0.609791376625648,1,5,5,94,"2;1","lDKh6iST",100,6,4,0,0.8,1
19,0.608097151820272,1,9,5,103,"2;1","lDKh6iST",100,6,4,0,0.8,1
