"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.782386415333309,2,4,1,4,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
2,1.35994220142947,2,1,1,5,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
3,0.796592293599239,2,5,1,10,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
4,0.818121439393909,2,3,1,13,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
5,0.514501435014157,2,1,1,14,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
6,0.540139678603858,1,3,1,17,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
7,0.974406544260062,2,-1,1,16,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
8,0.73873400018173,2,5,1,21,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
9,0.902053896173802,2,4,1,25,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
10,0.837392609866408,2,0,1,25,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
11,1.05942396463219,1,6,1,31,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
12,0.563850989386456,1,1,1,32,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
13,0.5,1,2,1,34,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
14,1.00643855017895,1,4,1,38,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
15,0.65233316766719,1,4,1,42,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
16,0.938394849174682,1,2,1,44,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
17,1.47022909528511,2,1,1,45,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
18,0.933142186208074,1,5,1,50,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
19,1.00062649125235,1,0,1,50,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
20,0.873578398417135,1,-1,1,49,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
1,1.24866318040479,2,5,2,5,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
2,0.54643449568957,2,10,2,15,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
3,0.755915932789405,1,12,2,27,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
4,0.906073421390654,1,14,2,41,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
5,0.897956787784412,2,4,2,45,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
6,0.571134892762497,1,-11,2,34,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
7,0.690441377797273,2,-2,2,32,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
8,0.763784447131548,2,7,2,39,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
9,0.549014616535408,2,6,2,45,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
10,0.87521192520346,2,3,2,48,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
11,1.34554803319278,2,6,2,54,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
12,0.5,2,7,2,61,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
13,0.949929544814194,2,2,2,63,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
14,1.17482534066743,2,3,2,66,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
15,0.843650404073443,2,3,2,69,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
16,1.29087852129905,1,21,2,90,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
17,0.5,2,6,2,96,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
18,0.5,1,-3,2,93,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
19,0.836776831306437,2,1,2,94,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
20,0.837066903504464,2,6,2,100,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
21,0.5,2,8,2,108,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
22,0.906855211970259,2,7,2,115,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
23,1.16673103851905,1,-2,2,113,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
24,1.14243111764275,2,8,2,121,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
25,1.05977514287778,2,1,2,122,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
1,0.832465532372435,2,2,3,2,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
2,0.908293672789975,1,11,3,13,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
3,1.21047681918976,1,6,3,19,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
4,0.95552129818928,1,15,3,34,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
5,0.694686549501615,1,-26,3,8,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
6,0.5,2,5,3,13,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
7,1.04562709325789,2,7,3,20,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
8,0.696948146507833,1,0,3,20,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
9,1.06566694261065,2,2,3,22,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
10,0.720035929901477,2,3,3,25,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
11,1.07067277010082,2,4,3,29,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
12,1.03022806872661,1,7,3,36,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
13,1.09107687629768,1,1,3,37,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
14,0.900358409806684,2,5,3,42,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
15,0.627889355448222,2,5,3,47,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
16,0.832151360221739,2,3,3,50,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
17,1.16932322477265,2,3,3,53,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
18,0.723761034045965,1,2,3,55,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
19,1.12235034501234,2,6,3,61,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
20,0.552959553012704,2,3,3,64,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
21,1.16510062147597,2,1,3,65,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
22,0.947820945899768,2,4,3,69,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
23,0.61946958864365,2,0,3,69,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
24,0.600942524909809,2,3,3,72,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
25,0.883467434172104,2,2,3,74,"2;1","lQQYZQaX",0,2,NA,0,0.94,2
1,0.917463784526392,1,7,4,7,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
2,1.17281896257398,1,1,4,8,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
3,0.562713151734843,1,2,4,10,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
4,0.663410238476017,1,6,4,16,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
5,0.759469882654896,2,-4,4,12,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
6,0.5,1,1,4,13,"1;2","lQQYZQaX",0,2,NA,0,0.94,2
