"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.831764605794246,2,4,1,4,"1;2","lTzufAxZ",100,4,2,0,0.4,1
2,0.778322802666908,2,2,1,6,"1;2","lTzufAxZ",100,4,2,0,0.4,1
3,1.088524188452,1,0,1,6,"1;2","lTzufAxZ",100,4,2,0,0.4,1
4,0.779083812762722,1,3,1,9,"1;2","lTzufAxZ",100,4,2,0,0.4,1
5,0.902982825646663,2,2,1,11,"1;2","lTzufAxZ",100,4,2,0,0.4,1
6,0.676604390365888,2,5,1,16,"1;2","lTzufAxZ",100,4,2,0,0.4,1
7,0.778865346134872,1,3,1,19,"1;2","lTzufAxZ",100,4,2,0,0.4,1
8,0.73601293861952,2,6,1,25,"1;2","lTzufAxZ",100,4,2,0,0.4,1
9,0.5,2,4,1,29,"1;2","lTzufAxZ",100,4,2,0,0.4,1
10,0.558951615642023,2,5,1,34,"1;2","lTzufAxZ",100,4,2,0,0.4,1
11,1.26056121956578,2,4,1,38,"1;2","lTzufAxZ",100,4,2,0,0.4,1
12,1.14228564002373,2,7,1,45,"1;2","lTzufAxZ",100,4,2,0,0.4,1
13,1.10226206470767,2,3,1,48,"1;2","lTzufAxZ",100,4,2,0,0.4,1
14,1.34748480836227,2,5,1,53,"1;2","lTzufAxZ",100,4,2,0,0.4,1
15,0.898540754025894,1,2,1,55,"1;2","lTzufAxZ",100,4,2,0,0.4,1
16,0.956241213545921,1,3,1,58,"1;2","lTzufAxZ",100,4,2,0,0.4,1
17,0.5,1,1,1,59,"1;2","lTzufAxZ",100,4,2,0,0.4,1
18,0.519818030782503,2,3,1,62,"1;2","lTzufAxZ",100,4,2,0,0.4,1
19,0.867533588249538,2,3,1,65,"1;2","lTzufAxZ",100,4,2,0,0.4,1
20,1.08965191188167,2,7,1,72,"1;2","lTzufAxZ",100,4,2,0,0.4,1
1,0.506996631819644,1,8,2,8,"1;2","lTzufAxZ",100,4,2,0,0.4,1
2,0.729907581006525,1,6,2,14,"1;2","lTzufAxZ",100,4,2,0,0.4,1
3,0.887737126344976,1,-2,2,12,"1;2","lTzufAxZ",100,4,2,0,0.4,1
4,0.969248982529934,2,-23,2,-11,"1;2","lTzufAxZ",100,4,2,0,0.4,1
5,0.5,1,2,2,-9,"1;2","lTzufAxZ",100,4,2,0,0.4,1
6,1.18853998533711,2,-13,2,-22,"1;2","lTzufAxZ",100,4,2,0,0.4,1
7,0.524582625218042,1,0,2,-22,"1;2","lTzufAxZ",100,4,2,0,0.4,1
8,1.06704048914823,1,9,2,-13,"1;2","lTzufAxZ",100,4,2,0,0.4,1
9,0.858951259341802,1,7,2,-6,"1;2","lTzufAxZ",100,4,2,0,0.4,1
10,1.02580280634949,1,4,2,-2,"1;2","lTzufAxZ",100,4,2,0,0.4,1
11,0.766085579889309,1,4,2,2,"1;2","lTzufAxZ",100,4,2,0,0.4,1
12,0.5,2,-18,2,-16,"1;2","lTzufAxZ",100,4,2,0,0.4,1
13,0.917914259421345,2,4,2,-12,"1;2","lTzufAxZ",100,4,2,0,0.4,1
14,1.06228021296496,1,3,2,-9,"1;2","lTzufAxZ",100,4,2,0,0.4,1
15,1.10925064564973,2,-3,2,-12,"1;2","lTzufAxZ",100,4,2,0,0.4,1
16,0.888890119356805,2,14,2,2,"1;2","lTzufAxZ",100,4,2,0,0.4,1
17,1.34652144608088,2,9,2,11,"1;2","lTzufAxZ",100,4,2,0,0.4,1
18,0.636307707232728,2,13,2,24,"1;2","lTzufAxZ",100,4,2,0,0.4,1
19,0.654886829522746,1,5,2,29,"1;2","lTzufAxZ",100,4,2,0,0.4,1
20,1.08146677087938,2,12,2,41,"1;2","lTzufAxZ",100,4,2,0,0.4,1
21,0.882476470832341,1,-1,2,40,"1;2","lTzufAxZ",100,4,2,0,0.4,1
22,0.5,1,6,2,46,"1;2","lTzufAxZ",100,4,2,0,0.4,1
23,0.538735944648418,2,10,2,56,"1;2","lTzufAxZ",100,4,2,0,0.4,1
24,1.1718060835428,1,3,2,59,"1;2","lTzufAxZ",100,4,2,0,0.4,1
25,0.638635715984284,1,3,2,62,"1;2","lTzufAxZ",100,4,2,0,0.4,1
1,0.775517214645015,1,2,3,2,"1;2","lTzufAxZ",100,4,2,0,0.4,1
2,0.609440526176363,2,12,3,14,"1;2","lTzufAxZ",100,4,2,0,0.4,1
3,0.855780008180928,2,0,3,14,"1;2","lTzufAxZ",100,4,2,0,0.4,1
4,0.756655293926133,2,4,3,18,"1;2","lTzufAxZ",100,4,2,0,0.4,1
5,0.95081563210454,2,0,3,18,"1;2","lTzufAxZ",100,4,2,0,0.4,1
6,0.753963572257171,2,-2,3,16,"1;2","lTzufAxZ",100,4,2,0,0.4,1
7,1.14063713941458,1,8,3,24,"1;2","lTzufAxZ",100,4,2,0,0.4,1
8,0.965612613317787,1,4,3,28,"1;2","lTzufAxZ",100,4,2,0,0.4,1
9,0.950004566136621,2,-1,3,27,"1;2","lTzufAxZ",100,4,2,0,0.4,1
10,0.94797288499955,2,28,3,55,"1;2","lTzufAxZ",100,4,2,0,0.4,1
11,1.19635660271698,1,6,3,61,"1;2","lTzufAxZ",100,4,2,0,0.4,1
12,0.5,2,3,3,64,"1;2","lTzufAxZ",100,4,2,0,0.4,1
13,0.784745235198166,1,2,3,66,"1;2","lTzufAxZ",100,4,2,0,0.4,1
14,1.43448329287198,2,-12,3,54,"1;2","lTzufAxZ",100,4,2,0,0.4,1
15,0.853669382082582,1,5,3,59,"1;2","lTzufAxZ",100,4,2,0,0.4,1
16,0.5,2,20,3,79,"1;2","lTzufAxZ",100,4,2,0,0.4,1
17,0.762670948478549,2,6,3,85,"1;2","lTzufAxZ",100,4,2,0,0.4,1
18,0.839955390191387,2,7,3,92,"1;2","lTzufAxZ",100,4,2,0,0.4,1
19,0.5,1,0,3,92,"1;2","lTzufAxZ",100,4,2,0,0.4,1
20,1.20103419882786,2,12,3,104,"1;2","lTzufAxZ",100,4,2,0,0.4,1
21,0.5,2,-3,3,101,"1;2","lTzufAxZ",100,4,2,0,0.4,1
22,0.859700270402454,2,8,3,109,"1;2","lTzufAxZ",100,4,2,0,0.4,1
23,0.815885398377396,1,3,3,112,"1;2","lTzufAxZ",100,4,2,0,0.4,1
24,0.855291314860092,2,19,3,131,"1;2","lTzufAxZ",100,4,2,0,0.4,1
25,0.618705092322963,1,9,3,140,"1;2","lTzufAxZ",100,4,2,0,0.4,1
1,0.86373401976372,2,4,4,4,"2;1","lTzufAxZ",100,4,2,0,0.4,1
2,0.809760356002463,1,14,4,18,"2;1","lTzufAxZ",100,4,2,0,0.4,1
3,0.838781277819344,2,6,4,24,"2;1","lTzufAxZ",100,4,2,0,0.4,1
4,1.16663410176321,1,-12,4,12,"2;1","lTzufAxZ",100,4,2,0,0.4,1
5,0.699197523238673,1,4,4,16,"2;1","lTzufAxZ",100,4,2,0,0.4,1
6,0.5,1,-5,4,11,"2;1","lTzufAxZ",100,4,2,0,0.4,1
7,0.952693335847415,2,3,4,14,"2;1","lTzufAxZ",100,4,2,0,0.4,1
8,0.5,1,-13,4,1,"2;1","lTzufAxZ",100,4,2,0,0.4,1
9,0.721644326504516,2,3,4,4,"2;1","lTzufAxZ",100,4,2,0,0.4,1
10,0.861091058504531,1,2,4,6,"2;1","lTzufAxZ",100,4,2,0,0.4,1
11,1.17668512436753,2,4,4,10,"2;1","lTzufAxZ",100,4,2,0,0.4,1
12,0.998840468704949,1,11,4,21,"2;1","lTzufAxZ",100,4,2,0,0.4,1
13,0.869254409721204,1,24,4,45,"2;1","lTzufAxZ",100,4,2,0,0.4,1
14,1.20778031216718,1,-13,4,32,"2;1","lTzufAxZ",100,4,2,0,0.4,1
15,0.675373670720475,1,1,4,33,"2;1","lTzufAxZ",100,4,2,0,0.4,1
16,1.05201093776388,1,-1,4,32,"2;1","lTzufAxZ",100,4,2,0,0.4,1
17,0.631419321620666,1,-14,4,18,"2;1","lTzufAxZ",100,4,2,0,0.4,1
18,0.611580389847152,1,17,4,35,"2;1","lTzufAxZ",100,4,2,0,0.4,1
19,0.504047333964488,2,5,4,40,"2;1","lTzufAxZ",100,4,2,0,0.4,1
20,0.525822549525674,1,-9,4,31,"2;1","lTzufAxZ",100,4,2,0,0.4,1
21,0.904992312856596,1,3,4,34,"2;1","lTzufAxZ",100,4,2,0,0.4,1
22,0.817366182236044,1,12,4,46,"2;1","lTzufAxZ",100,4,2,0,0.4,1
23,0.831441495335603,1,17,4,63,"2;1","lTzufAxZ",100,4,2,0,0.4,1
24,0.592692573756449,2,2,4,65,"2;1","lTzufAxZ",100,4,2,0,0.4,1
25,0.555195288680476,2,4,4,69,"2;1","lTzufAxZ",100,4,2,0,0.4,1
1,1.20101543850789,1,1,5,1,"1;2","lTzufAxZ",100,4,2,0,0.4,1
2,0.984180657468734,1,2,5,3,"1;2","lTzufAxZ",100,4,2,0,0.4,1
3,1.02247416966436,2,-15,5,-12,"1;2","lTzufAxZ",100,4,2,0,0.4,1
4,0.5,1,3,5,-9,"1;2","lTzufAxZ",100,4,2,0,0.4,1
5,0.811185925407643,1,8,5,-1,"1;2","lTzufAxZ",100,4,2,0,0.4,1
6,0.85397039691043,1,2,5,1,"1;2","lTzufAxZ",100,4,2,0,0.4,1
7,0.825730341927034,1,7,5,8,"1;2","lTzufAxZ",100,4,2,0,0.4,1
8,1.17480100225607,1,10,5,18,"1;2","lTzufAxZ",100,4,2,0,0.4,1
