"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.546467027934258,2,2,1,2,"2;1","ltJE4hht",100,6,4,0,0.8,1
2,0.978891802870417,1,1,1,3,"2;1","ltJE4hht",100,6,4,0,0.8,1
3,0.551304234181269,1,5,1,8,"2;1","ltJE4hht",100,6,4,0,0.8,1
4,0.755454239495645,1,0,1,8,"2;1","ltJE4hht",100,6,4,0,0.8,1
5,0.558794452293085,1,8,1,16,"2;1","ltJE4hht",100,6,4,0,0.8,1
6,1.08884318026862,1,4,1,20,"2;1","ltJE4hht",100,6,4,0,0.8,1
7,0.750012150007858,2,3,1,23,"2;1","ltJE4hht",100,6,4,0,0.8,1
8,0.763472610268984,1,2,1,25,"2;1","ltJE4hht",100,6,4,0,0.8,1
9,0.5,1,3,1,28,"2;1","ltJE4hht",100,6,4,0,0.8,1
10,1.1232563705387,1,6,1,34,"2;1","ltJE4hht",100,6,4,0,0.8,1
11,0.770502363314071,1,5,1,39,"2;1","ltJE4hht",100,6,4,0,0.8,1
12,0.588603501378217,1,2,1,41,"2;1","ltJE4hht",100,6,4,0,0.8,1
13,0.732569622979868,1,3,1,44,"2;1","ltJE4hht",100,6,4,0,0.8,1
14,0.77745036512363,1,4,1,48,"2;1","ltJE4hht",100,6,4,0,0.8,1
15,0.5,1,3,1,51,"2;1","ltJE4hht",100,6,4,0,0.8,1
16,0.905708906353883,1,2,1,53,"2;1","ltJE4hht",100,6,4,0,0.8,1
17,0.5,2,4,1,57,"2;1","ltJE4hht",100,6,4,0,0.8,1
18,0.5,1,2,1,59,"2;1","ltJE4hht",100,6,4,0,0.8,1
19,0.5,2,3,1,62,"2;1","ltJE4hht",100,6,4,0,0.8,1
20,0.833428699712012,1,2,1,64,"2;1","ltJE4hht",100,6,4,0,0.8,1
1,0.601047047325215,1,-11,2,-11,"2;1","ltJE4hht",100,6,4,0,0.8,1
2,0.5,1,-4,2,-15,"2;1","ltJE4hht",100,6,4,0,0.8,1
3,0.989622696330512,1,-10,2,-25,"2;1","ltJE4hht",100,6,4,0,0.8,1
4,1.0129743045371,2,6,2,-19,"2;1","ltJE4hht",100,6,4,0,0.8,1
5,0.728929003320811,2,2,2,-17,"2;1","ltJE4hht",100,6,4,0,0.8,1
6,0.809544735355796,2,3,2,-14,"2;1","ltJE4hht",100,6,4,0,0.8,1
7,0.892599837720216,1,17,2,3,"2;1","ltJE4hht",100,6,4,0,0.8,1
8,0.996760300115041,2,3,2,6,"2;1","ltJE4hht",100,6,4,0,0.8,1
9,0.5,1,-13,2,-7,"2;1","ltJE4hht",100,6,4,0,0.8,1
10,0.594068400010604,1,6,2,-1,"2;1","ltJE4hht",100,6,4,0,0.8,1
