"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.851384816404424,2,2,1,2,"2;1","lzmkF69U",0,3,NA,1,0.64,3
2,0.655193540311892,2,5,1,7,"2;1","lzmkF69U",0,3,NA,1,0.64,3
3,0.5,1,4,1,11,"2;1","lzmkF69U",0,3,NA,1,0.64,3
4,0.584183071912911,1,1,1,12,"2;1","lzmkF69U",0,3,NA,1,0.64,3
5,0.7822174422452,2,2,1,14,"2;1","lzmkF69U",0,3,NA,1,0.64,3
6,1.08574094867107,2,2,1,16,"2;1","lzmkF69U",0,3,NA,1,0.64,3
7,0.705009246453944,2,5,1,21,"2;1","lzmkF69U",0,3,NA,1,0.64,3
8,0.734455520477431,2,3,1,24,"2;1","lzmkF69U",0,3,NA,1,0.64,3
9,1.00997656534332,2,1,1,25,"2;1","lzmkF69U",0,3,NA,1,0.64,3
10,1.30513621109581,2,5,1,30,"2;1","lzmkF69U",0,3,NA,1,0.64,3
11,1.0764011058429,2,1,1,31,"2;1","lzmkF69U",0,3,NA,1,0.64,3
12,0.816422158160499,2,3,1,34,"2;1","lzmkF69U",0,3,NA,1,0.64,3
13,0.820989895606518,2,4,1,38,"2;1","lzmkF69U",0,3,NA,1,0.64,3
14,1.44464673589718,2,2,1,40,"2;1","lzmkF69U",0,3,NA,1,0.64,3
15,0.645423359709206,2,3,1,43,"2;1","lzmkF69U",0,3,NA,1,0.64,3
16,0.622182362425744,2,3,1,46,"2;1","lzmkF69U",0,3,NA,1,0.64,3
17,0.606524003299614,2,4,1,50,"2;1","lzmkF69U",0,3,NA,1,0.64,3
18,1.08672409282297,2,2,1,52,"2;1","lzmkF69U",0,3,NA,1,0.64,3
19,0.530166362255142,2,7,1,59,"2;1","lzmkF69U",0,3,NA,1,0.64,3
20,0.543964244924274,2,6,1,65,"2;1","lzmkF69U",0,3,NA,1,0.64,3
1,0.978348714841685,2,2,2,2,"2;1","lzmkF69U",0,3,NA,1,0.64,3
2,0.842852744660138,1,-4,2,-2,"2;1","lzmkF69U",0,3,NA,1,0.64,3
3,1.06521121955023,2,-3,2,-5,"2;1","lzmkF69U",0,3,NA,1,0.64,3
4,0.695731002154759,2,5,2,0,"2;1","lzmkF69U",0,3,NA,1,0.64,3
5,0.592335527819602,2,4,2,4,"2;1","lzmkF69U",0,3,NA,1,0.64,3
6,0.737537408383904,2,5,2,9,"2;1","lzmkF69U",0,3,NA,1,0.64,3
7,0.833057003244664,2,4,2,13,"2;1","lzmkF69U",0,3,NA,1,0.64,3
8,0.582450147356511,2,1,2,14,"2;1","lzmkF69U",0,3,NA,1,0.64,3
