"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,3,1,3,"1;2","mN3ImLif",0,3,NA,1,0.41,1
2,0.836465721759837,2,4,1,7,"1;2","mN3ImLif",0,3,NA,1,0.41,1
3,1.0911953121121,1,6,1,13,"1;2","mN3ImLif",0,3,NA,1,0.41,1
4,1.0170811060172,2,5,1,18,"1;2","mN3ImLif",0,3,NA,1,0.41,1
5,0.775765796153578,1,-1,1,17,"1;2","mN3ImLif",0,3,NA,1,0.41,1
6,0.5,2,3,1,20,"1;2","mN3ImLif",0,3,NA,1,0.41,1
7,1.10378747678527,1,4,1,24,"1;2","mN3ImLif",0,3,NA,1,0.41,1
8,0.778613418078729,2,4,1,28,"1;2","mN3ImLif",0,3,NA,1,0.41,1
9,0.977664406754912,2,1,1,29,"1;2","mN3ImLif",0,3,NA,1,0.41,1
10,0.5,2,4,1,33,"1;2","mN3ImLif",0,3,NA,1,0.41,1
11,1.3751561470596,2,1,1,34,"1;2","mN3ImLif",0,3,NA,1,0.41,1
12,1.02098844904619,2,5,1,39,"1;2","mN3ImLif",0,3,NA,1,0.41,1
13,0.896876012973578,1,4,1,43,"1;2","mN3ImLif",0,3,NA,1,0.41,1
14,0.5,2,4,1,47,"1;2","mN3ImLif",0,3,NA,1,0.41,1
15,0.764813456303055,2,7,1,54,"1;2","mN3ImLif",0,3,NA,1,0.41,1
16,0.930073477540467,2,2,1,56,"1;2","mN3ImLif",0,3,NA,1,0.41,1
17,0.5,2,4,1,60,"1;2","mN3ImLif",0,3,NA,1,0.41,1
18,0.911541848310835,2,4,1,64,"1;2","mN3ImLif",0,3,NA,1,0.41,1
19,0.708238033086602,1,5,1,69,"1;2","mN3ImLif",0,3,NA,1,0.41,1
20,0.557872200893197,2,4,1,73,"1;2","mN3ImLif",0,3,NA,1,0.41,1
1,0.801263159096684,1,-10,2,-10,"2;1","mN3ImLif",0,3,NA,1,0.41,1
2,0.604710297885019,2,1,2,-9,"2;1","mN3ImLif",0,3,NA,1,0.41,1
3,0.5,2,2,2,-7,"2;1","mN3ImLif",0,3,NA,1,0.41,1
4,0.723408447573487,2,5,2,-2,"2;1","mN3ImLif",0,3,NA,1,0.41,1
5,0.587463972085207,2,2,2,0,"2;1","mN3ImLif",0,3,NA,1,0.41,1
6,0.531575710557502,2,1,2,1,"2;1","mN3ImLif",0,3,NA,1,0.41,1
7,0.840313506315619,2,-2,2,-1,"2;1","mN3ImLif",0,3,NA,1,0.41,1
8,1.04545293579973,1,8,2,7,"2;1","mN3ImLif",0,3,NA,1,0.41,1
9,0.866851547687577,2,3,2,10,"2;1","mN3ImLif",0,3,NA,1,0.41,1
10,0.821635785024212,2,2,2,12,"2;1","mN3ImLif",0,3,NA,1,0.41,1
11,0.5,2,6,2,18,"2;1","mN3ImLif",0,3,NA,1,0.41,1
12,0.909847795788166,2,1,2,19,"2;1","mN3ImLif",0,3,NA,1,0.41,1
13,1.05858209707057,1,0,2,19,"2;1","mN3ImLif",0,3,NA,1,0.41,1
14,1.05601651368284,2,3,2,22,"2;1","mN3ImLif",0,3,NA,1,0.41,1
15,0.72173384317429,1,0,2,22,"2;1","mN3ImLif",0,3,NA,1,0.41,1
16,1.05328862414265,2,7,2,29,"2;1","mN3ImLif",0,3,NA,1,0.41,1
17,0.877343426596302,2,5,2,34,"2;1","mN3ImLif",0,3,NA,1,0.41,1
18,0.856038698890403,2,0,2,34,"2;1","mN3ImLif",0,3,NA,1,0.41,1
19,1.02660820727328,2,7,2,41,"2;1","mN3ImLif",0,3,NA,1,0.41,1
20,0.5,2,7,2,48,"2;1","mN3ImLif",0,3,NA,1,0.41,1
21,0.996419689746481,2,-1,2,47,"2;1","mN3ImLif",0,3,NA,1,0.41,1
22,0.5,2,2,2,49,"2;1","mN3ImLif",0,3,NA,1,0.41,1
