"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.647387633392907,1,1,1,1,"2;1","mNoHkL72",0,2,NA,0,0.97,3
2,0.548801694369558,1,1,1,2,"2;1","mNoHkL72",0,2,NA,0,0.97,3
3,0.922658577452865,2,2,1,4,"2;1","mNoHkL72",0,2,NA,0,0.97,3
4,0.923552379387625,2,4,1,8,"2;1","mNoHkL72",0,2,NA,0,0.97,3
5,0.754005978445669,2,4,1,12,"2;1","mNoHkL72",0,2,NA,0,0.97,3
6,0.78943210296842,2,1,1,13,"2;1","mNoHkL72",0,2,NA,0,0.97,3
7,0.540528981717629,2,4,1,17,"2;1","mNoHkL72",0,2,NA,0,0.97,3
8,0.866137709211945,2,2,1,19,"2;1","mNoHkL72",0,2,NA,0,0.97,3
9,1.25135298267133,2,4,1,23,"2;1","mNoHkL72",0,2,NA,0,0.97,3
10,0.948602502515279,2,-1,1,22,"2;1","mNoHkL72",0,2,NA,0,0.97,3
11,1.03225720035991,2,1,1,23,"2;1","mNoHkL72",0,2,NA,0,0.97,3
12,0.675300619502329,2,4,1,27,"2;1","mNoHkL72",0,2,NA,0,0.97,3
13,1.36161723785348,1,3,1,30,"2;1","mNoHkL72",0,2,NA,0,0.97,3
14,0.919232905798597,2,-1,1,29,"2;1","mNoHkL72",0,2,NA,0,0.97,3
15,1.02212256401744,1,6,1,35,"2;1","mNoHkL72",0,2,NA,0,0.97,3
16,0.557316896916246,1,3,1,38,"2;1","mNoHkL72",0,2,NA,0,0.97,3
17,0.819967425322617,1,-1,1,37,"2;1","mNoHkL72",0,2,NA,0,0.97,3
18,0.586323073478798,1,1,1,38,"2;1","mNoHkL72",0,2,NA,0,0.97,3
19,0.937815064638437,1,2,1,40,"2;1","mNoHkL72",0,2,NA,0,0.97,3
20,0.759362677272863,1,3,1,43,"2;1","mNoHkL72",0,2,NA,0,0.97,3
1,0.795234996331288,2,5,2,5,"2;1","mNoHkL72",0,2,NA,0,0.97,3
2,0.884514380731188,2,6,2,11,"2;1","mNoHkL72",0,2,NA,0,0.97,3
3,0.877431359536908,2,9,2,20,"2;1","mNoHkL72",0,2,NA,0,0.97,3
4,0.626278571280343,2,3,2,23,"2;1","mNoHkL72",0,2,NA,0,0.97,3
5,0.890581004494174,2,5,2,28,"2;1","mNoHkL72",0,2,NA,0,0.97,3
6,1.05994205375817,2,4,2,32,"2;1","mNoHkL72",0,2,NA,0,0.97,3
7,0.677096650342926,2,5,2,37,"2;1","mNoHkL72",0,2,NA,0,0.97,3
8,0.999131281277541,2,5,2,42,"2;1","mNoHkL72",0,2,NA,0,0.97,3
9,0.843584465527893,2,2,2,44,"2;1","mNoHkL72",0,2,NA,0,0.97,3
10,1.12284433589259,2,4,2,48,"2;1","mNoHkL72",0,2,NA,0,0.97,3
11,0.501973241256991,2,10,2,58,"2;1","mNoHkL72",0,2,NA,0,0.97,3
12,0.951844523305977,1,1,2,59,"2;1","mNoHkL72",0,2,NA,0,0.97,3
13,0.766057170628879,2,3,2,62,"2;1","mNoHkL72",0,2,NA,0,0.97,3
14,1.00107455935199,2,3,2,65,"2;1","mNoHkL72",0,2,NA,0,0.97,3
15,0.830075708774761,2,4,2,69,"2;1","mNoHkL72",0,2,NA,0,0.97,3
16,0.865731290314225,2,-1,2,68,"2;1","mNoHkL72",0,2,NA,0,0.97,3
17,0.962135447971529,2,6,2,74,"2;1","mNoHkL72",0,2,NA,0,0.97,3
18,1.26759520532769,2,6,2,80,"2;1","mNoHkL72",0,2,NA,0,0.97,3
19,1.04110953775478,2,5,2,85,"2;1","mNoHkL72",0,2,NA,0,0.97,3
20,0.635008874187809,2,6,2,91,"2;1","mNoHkL72",0,2,NA,0,0.97,3
21,0.757488052742004,2,6,2,97,"2;1","mNoHkL72",0,2,NA,0,0.97,3
