"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.1889042642349,1,3,1,3,"2;1","mV1ag9hX",100,4,6,0,1.2,1
2,0.592312787076659,1,2,1,5,"2;1","mV1ag9hX",100,4,6,0,1.2,1
3,0.903803989505805,2,5,1,10,"2;1","mV1ag9hX",100,4,6,0,1.2,1
4,0.923037781172374,1,3,1,13,"2;1","mV1ag9hX",100,4,6,0,1.2,1
5,1.20111666968724,2,1,1,14,"2;1","mV1ag9hX",100,4,6,0,1.2,1
6,0.880559176030886,1,4,1,18,"2;1","mV1ag9hX",100,4,6,0,1.2,1
7,0.733701406201672,2,-1,1,17,"2;1","mV1ag9hX",100,4,6,0,1.2,1
8,0.912738101555461,2,5,1,22,"2;1","mV1ag9hX",100,4,6,0,1.2,1
9,0.952594429092186,2,1,1,23,"2;1","mV1ag9hX",100,4,6,0,1.2,1
10,0.751119525625506,2,2,1,25,"2;1","mV1ag9hX",100,4,6,0,1.2,1
11,0.647209982182838,1,4,1,29,"2;1","mV1ag9hX",100,4,6,0,1.2,1
12,0.581506467360457,1,3,1,32,"2;1","mV1ag9hX",100,4,6,0,1.2,1
13,0.726586354262153,2,4,1,36,"2;1","mV1ag9hX",100,4,6,0,1.2,1
14,0.939792655870423,1,3,1,39,"2;1","mV1ag9hX",100,4,6,0,1.2,1
15,1.29332123809118,2,1,1,40,"2;1","mV1ag9hX",100,4,6,0,1.2,1
16,0.5,2,4,1,44,"2;1","mV1ag9hX",100,4,6,0,1.2,1
17,0.624724543691219,2,2,1,46,"2;1","mV1ag9hX",100,4,6,0,1.2,1
18,0.839247356517706,1,3,1,49,"2;1","mV1ag9hX",100,4,6,0,1.2,1
19,0.526001882686275,2,2,1,51,"2;1","mV1ag9hX",100,4,6,0,1.2,1
20,0.92097493036162,2,4,1,55,"2;1","mV1ag9hX",100,4,6,0,1.2,1
1,0.67715097076658,1,4,2,4,"1;2","mV1ag9hX",100,4,6,0,1.2,1
2,0.760869330878138,2,10,2,14,"1;2","mV1ag9hX",100,4,6,0,1.2,1
3,1.24416869470686,2,10,2,24,"1;2","mV1ag9hX",100,4,6,0,1.2,1
4,0.627675312487565,1,9,2,33,"1;2","mV1ag9hX",100,4,6,0,1.2,1
5,0.721651005976626,2,4,2,37,"1;2","mV1ag9hX",100,4,6,0,1.2,1
6,1.08189968612091,2,-5,2,32,"1;2","mV1ag9hX",100,4,6,0,1.2,1
7,1.00689794744404,2,14,2,46,"1;2","mV1ag9hX",100,4,6,0,1.2,1
8,0.950426713716763,2,14,2,60,"1;2","mV1ag9hX",100,4,6,0,1.2,1
9,0.7379636134473,2,12,2,72,"1;2","mV1ag9hX",100,4,6,0,1.2,1
10,1.07461190796984,1,5,2,77,"1;2","mV1ag9hX",100,4,6,0,1.2,1
11,0.983252182834466,2,5,2,82,"1;2","mV1ag9hX",100,4,6,0,1.2,1
12,0.785704350750077,2,7,2,89,"1;2","mV1ag9hX",100,4,6,0,1.2,1
13,0.89770287166692,2,-12,2,77,"1;2","mV1ag9hX",100,4,6,0,1.2,1
14,1.13565903628136,1,7,2,84,"1;2","mV1ag9hX",100,4,6,0,1.2,1
15,0.689628674395377,1,4,2,88,"1;2","mV1ag9hX",100,4,6,0,1.2,1
16,0.879588166219597,2,3,2,91,"1;2","mV1ag9hX",100,4,6,0,1.2,1
17,0.5,1,4,2,95,"1;2","mV1ag9hX",100,4,6,0,1.2,1
18,0.50297607454831,1,4,2,99,"1;2","mV1ag9hX",100,4,6,0,1.2,1
19,0.827800905951694,1,0,2,99,"1;2","mV1ag9hX",100,4,6,0,1.2,1
20,0.825703828552966,1,6,2,105,"1;2","mV1ag9hX",100,4,6,0,1.2,1
