"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.666583519661118,2,4,1,4,"2;1","meTZbdNS",0,2,NA,1,0.77,1
2,0.927328877021691,2,9,1,13,"2;1","meTZbdNS",0,2,NA,1,0.77,1
3,0.698025764516237,1,1,1,14,"2;1","meTZbdNS",0,2,NA,1,0.77,1
4,0.865066523381191,2,3,1,17,"2;1","meTZbdNS",0,2,NA,1,0.77,1
5,0.509248228499089,1,4,1,21,"2;1","meTZbdNS",0,2,NA,1,0.77,1
6,0.938326460310423,2,1,1,22,"2;1","meTZbdNS",0,2,NA,1,0.77,1
7,0.5,2,5,1,27,"2;1","meTZbdNS",0,2,NA,1,0.77,1
8,0.887229871172198,2,0,1,27,"2;1","meTZbdNS",0,2,NA,1,0.77,1
9,0.936505978056984,2,2,1,29,"2;1","meTZbdNS",0,2,NA,1,0.77,1
10,1.18458061135118,2,1,1,30,"2;1","meTZbdNS",0,2,NA,1,0.77,1
11,0.82156941503386,1,5,1,35,"2;1","meTZbdNS",0,2,NA,1,0.77,1
12,0.757073014341672,1,5,1,40,"2;1","meTZbdNS",0,2,NA,1,0.77,1
13,0.92683520388252,1,4,1,44,"2;1","meTZbdNS",0,2,NA,1,0.77,1
14,0.673024843236384,1,2,1,46,"2;1","meTZbdNS",0,2,NA,1,0.77,1
15,0.98075808299116,1,3,1,49,"2;1","meTZbdNS",0,2,NA,1,0.77,1
16,1.10809297149485,1,3,1,52,"2;1","meTZbdNS",0,2,NA,1,0.77,1
17,0.56803647037384,1,2,1,54,"2;1","meTZbdNS",0,2,NA,1,0.77,1
18,0.836691394176204,2,4,1,58,"2;1","meTZbdNS",0,2,NA,1,0.77,1
19,1.0009455712106,1,-1,1,57,"2;1","meTZbdNS",0,2,NA,1,0.77,1
20,0.585878848928325,1,4,1,61,"2;1","meTZbdNS",0,2,NA,1,0.77,1
1,0.810908502739414,1,-7,2,-7,"2;1","meTZbdNS",0,2,NA,1,0.77,1
2,0.5,2,2,2,-5,"2;1","meTZbdNS",0,2,NA,1,0.77,1
3,0.54015623574591,2,5,2,0,"2;1","meTZbdNS",0,2,NA,1,0.77,1
4,0.736172337303808,2,3,2,3,"2;1","meTZbdNS",0,2,NA,1,0.77,1
5,0.506539734699073,2,5,2,8,"2;1","meTZbdNS",0,2,NA,1,0.77,1
6,0.803105587253078,1,21,2,29,"2;1","meTZbdNS",0,2,NA,1,0.77,1
7,0.828566068333833,1,-22,2,7,"2;1","meTZbdNS",0,2,NA,1,0.77,1
8,0.747511546991156,2,1,2,8,"2;1","meTZbdNS",0,2,NA,1,0.77,1
9,0.601520221722208,2,1,2,9,"2;1","meTZbdNS",0,2,NA,1,0.77,1
10,0.657032785776096,2,7,2,16,"2;1","meTZbdNS",0,2,NA,1,0.77,1
11,0.941612799480981,2,3,2,19,"2;1","meTZbdNS",0,2,NA,1,0.77,1
12,0.582612695088922,2,2,2,21,"2;1","meTZbdNS",0,2,NA,1,0.77,1
13,0.628600046802577,2,5,2,26,"2;1","meTZbdNS",0,2,NA,1,0.77,1
14,0.790190745595531,2,7,2,33,"2;1","meTZbdNS",0,2,NA,1,0.77,1
15,1.06695145651168,2,8,2,41,"2;1","meTZbdNS",0,2,NA,1,0.77,1
16,1.44199579755764,2,1,2,42,"2;1","meTZbdNS",0,2,NA,1,0.77,1
17,0.884449895789799,2,1,2,43,"2;1","meTZbdNS",0,2,NA,1,0.77,1
18,0.750389825742235,2,2,2,45,"2;1","meTZbdNS",0,2,NA,1,0.77,1
19,0.816725989884444,2,2,2,47,"2;1","meTZbdNS",0,2,NA,1,0.77,1
20,0.721115741177126,2,-2,2,45,"2;1","meTZbdNS",0,2,NA,1,0.77,1
21,1.09026364462924,2,3,2,48,"2;1","meTZbdNS",0,2,NA,1,0.77,1
22,1.3204273976808,1,2,2,50,"2;1","meTZbdNS",0,2,NA,1,0.77,1
23,0.607172154877658,2,5,2,55,"2;1","meTZbdNS",0,2,NA,1,0.77,1
24,0.838779814957836,2,3,2,58,"2;1","meTZbdNS",0,2,NA,1,0.77,1
25,0.579550236370217,1,2,2,60,"2;1","meTZbdNS",0,2,NA,1,0.77,1
1,0.652273580505414,1,-2,3,-2,"2;1","meTZbdNS",0,2,NA,1,0.77,1
2,1.02738584503691,1,-2,3,-4,"2;1","meTZbdNS",0,2,NA,1,0.77,1
3,0.810149873091175,2,6,3,2,"2;1","meTZbdNS",0,2,NA,1,0.77,1
4,0.873368100982824,2,8,3,10,"2;1","meTZbdNS",0,2,NA,1,0.77,1
5,0.936423254743092,2,2,3,12,"2;1","meTZbdNS",0,2,NA,1,0.77,1
6,0.70699581349136,2,3,3,15,"2;1","meTZbdNS",0,2,NA,1,0.77,1
7,1.16995441323247,2,3,3,18,"2;1","meTZbdNS",0,2,NA,1,0.77,1
8,0.589772122482416,2,5,3,23,"2;1","meTZbdNS",0,2,NA,1,0.77,1
9,0.529772547591367,2,4,3,27,"2;1","meTZbdNS",0,2,NA,1,0.77,1
10,0.5,1,-10,3,17,"2;1","meTZbdNS",0,2,NA,1,0.77,1
11,1.04584366407554,2,4,3,21,"2;1","meTZbdNS",0,2,NA,1,0.77,1
12,0.5,1,14,3,35,"2;1","meTZbdNS",0,2,NA,1,0.77,1
13,0.700043468863804,2,6,3,41,"2;1","meTZbdNS",0,2,NA,1,0.77,1
14,1.05302153647867,2,5,3,46,"2;1","meTZbdNS",0,2,NA,1,0.77,1
15,0.901150188408958,1,-7,3,39,"2;1","meTZbdNS",0,2,NA,1,0.77,1
