"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.844068706657158,2,4,1,4,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
2,0.537182158967051,1,2,1,6,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
3,0.681394569198878,2,0,1,6,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
4,1.10381881422398,2,2,1,8,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
5,0.51960622319515,2,2,1,10,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
6,0.75477716311827,1,3,1,13,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
7,0.690312667687877,2,6,1,19,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
8,1.05144228206436,2,5,1,24,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
9,0.5,2,1,1,25,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
10,0.620214363527884,2,3,1,28,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
11,1.19726752162776,2,2,1,30,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
12,0.689017435082715,2,-1,1,29,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
13,1.20248708093771,2,7,1,36,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
14,0.686642352093827,2,6,1,42,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
15,0.825448875082448,1,2,1,44,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
16,0.978047778747228,1,3,1,47,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
17,1.15105774683525,2,5,1,52,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
18,0.909011824607448,2,1,1,53,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
19,0.997255407823566,2,-2,1,51,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
20,0.5,2,6,1,57,"1;2","mvRxq8aD",0,3,NA,0,0.62,1
1,1.12034799863472,2,3,2,3,"2;1","mvRxq8aD",0,3,NA,0,0.62,1
2,0.609822029087992,2,2,2,5,"2;1","mvRxq8aD",0,3,NA,0,0.62,1
3,0.755593294198294,2,-1,2,4,"2;1","mvRxq8aD",0,3,NA,0,0.62,1
4,0.5,2,3,2,7,"2;1","mvRxq8aD",0,3,NA,0,0.62,1
5,0.920754965042916,2,0,2,7,"2;1","mvRxq8aD",0,3,NA,0,0.62,1
6,1.01873236704352,2,3,2,10,"2;1","mvRxq8aD",0,3,NA,0,0.62,1
7,0.867315256016149,2,0,2,10,"2;1","mvRxq8aD",0,3,NA,0,0.62,1
