"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.638674855240361,2,0,1,0,"1;2","nXks8DHq",0,1,NA,0,1.03,1
2,1.00518590313864,2,5,1,5,"1;2","nXks8DHq",0,1,NA,0,1.03,1
3,0.5,2,6,1,11,"1;2","nXks8DHq",0,1,NA,0,1.03,1
4,0.864055027977107,2,4,1,15,"1;2","nXks8DHq",0,1,NA,0,1.03,1
5,0.5,2,2,1,17,"1;2","nXks8DHq",0,1,NA,0,1.03,1
6,0.757096063627227,1,4,1,21,"1;2","nXks8DHq",0,1,NA,0,1.03,1
7,0.903168186118921,2,3,1,24,"1;2","nXks8DHq",0,1,NA,0,1.03,1
8,0.890299481042295,2,4,1,28,"1;2","nXks8DHq",0,1,NA,0,1.03,1
9,0.908542826822227,1,3,1,31,"1;2","nXks8DHq",0,1,NA,0,1.03,1
10,0.532848099327963,2,5,1,36,"1;2","nXks8DHq",0,1,NA,0,1.03,1
11,1.34271278899949,2,4,1,40,"1;2","nXks8DHq",0,1,NA,0,1.03,1
12,0.5,2,3,1,43,"1;2","nXks8DHq",0,1,NA,0,1.03,1
13,0.888919107369787,1,4,1,47,"1;2","nXks8DHq",0,1,NA,0,1.03,1
14,0.537962897582643,2,4,1,51,"1;2","nXks8DHq",0,1,NA,0,1.03,1
15,1.02782726837017,2,4,1,55,"1;2","nXks8DHq",0,1,NA,0,1.03,1
16,0.961870193580972,2,1,1,56,"1;2","nXks8DHq",0,1,NA,0,1.03,1
17,1.11194791034367,1,4,1,60,"1;2","nXks8DHq",0,1,NA,0,1.03,1
18,0.879631197283059,1,4,1,64,"1;2","nXks8DHq",0,1,NA,0,1.03,1
19,0.802621592517308,1,4,1,68,"1;2","nXks8DHq",0,1,NA,0,1.03,1
20,0.585180602398327,2,2,1,70,"1;2","nXks8DHq",0,1,NA,0,1.03,1
1,0.671368470307873,1,-1,2,-1,"2;1","nXks8DHq",0,1,NA,0,1.03,1
2,0.687895956083854,2,4,2,3,"2;1","nXks8DHq",0,1,NA,0,1.03,1
3,0.722665475156818,2,5,2,8,"2;1","nXks8DHq",0,1,NA,0,1.03,1
4,0.768932961613825,2,4,2,12,"2;1","nXks8DHq",0,1,NA,0,1.03,1
5,0.84974699829289,2,8,2,20,"2;1","nXks8DHq",0,1,NA,0,1.03,1
6,0.613955530199819,2,7,2,27,"2;1","nXks8DHq",0,1,NA,0,1.03,1
7,0.767020099136863,2,1,2,28,"2;1","nXks8DHq",0,1,NA,0,1.03,1
8,0.847242008067302,2,0,2,28,"2;1","nXks8DHq",0,1,NA,0,1.03,1
9,0.979824982263434,2,1,2,29,"2;1","nXks8DHq",0,1,NA,0,1.03,1
10,1.14665882516216,2,6,2,35,"2;1","nXks8DHq",0,1,NA,0,1.03,1
11,0.826611196807868,2,6,2,41,"2;1","nXks8DHq",0,1,NA,0,1.03,1
12,0.5,2,2,2,43,"2;1","nXks8DHq",0,1,NA,0,1.03,1
13,1.11451672677886,1,-7,2,36,"2;1","nXks8DHq",0,1,NA,0,1.03,1
14,1.06792832358911,2,2,2,38,"2;1","nXks8DHq",0,1,NA,0,1.03,1
15,0.5,2,2,2,40,"2;1","nXks8DHq",0,1,NA,0,1.03,1
