"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,4,1,4,"2;1","nYFbuEGY",100,5,2,0,0.4,2
2,0.575673104232117,2,0,1,4,"2;1","nYFbuEGY",100,5,2,0,0.4,2
3,0.5,2,4,1,8,"2;1","nYFbuEGY",100,5,2,0,0.4,2
4,0.5,1,2,1,10,"2;1","nYFbuEGY",100,5,2,0,0.4,2
5,1.26225800662526,1,4,1,14,"2;1","nYFbuEGY",100,5,2,0,0.4,2
6,0.838632236934843,2,5,1,19,"2;1","nYFbuEGY",100,5,2,0,0.4,2
7,1.13059006379316,2,1,1,20,"2;1","nYFbuEGY",100,5,2,0,0.4,2
8,1.01917606717901,2,1,1,21,"2;1","nYFbuEGY",100,5,2,0,0.4,2
9,0.66623009883134,2,-1,1,20,"2;1","nYFbuEGY",100,5,2,0,0.4,2
10,0.5,1,4,1,24,"2;1","nYFbuEGY",100,5,2,0,0.4,2
11,0.5,2,1,1,25,"2;1","nYFbuEGY",100,5,2,0,0.4,2
12,0.887133023526972,1,4,1,29,"2;1","nYFbuEGY",100,5,2,0,0.4,2
13,0.566084879111801,2,5,1,34,"2;1","nYFbuEGY",100,5,2,0,0.4,2
14,0.5,1,5,1,39,"2;1","nYFbuEGY",100,5,2,0,0.4,2
15,0.507860040615067,1,6,1,45,"2;1","nYFbuEGY",100,5,2,0,0.4,2
16,0.731702283413049,1,5,1,50,"2;1","nYFbuEGY",100,5,2,0,0.4,2
17,0.5,1,5,1,55,"2;1","nYFbuEGY",100,5,2,0,0.4,2
18,0.74535678141891,1,-1,1,54,"2;1","nYFbuEGY",100,5,2,0,0.4,2
19,0.773919446373905,1,1,1,55,"2;1","nYFbuEGY",100,5,2,0,0.4,2
20,0.830129659403709,2,5,1,60,"2;1","nYFbuEGY",100,5,2,0,0.4,2
1,0.755417438516938,2,-8,2,-8,"1;2","nYFbuEGY",100,5,2,0,0.4,2
2,0.66146125982018,2,-17,2,-25,"1;2","nYFbuEGY",100,5,2,0,0.4,2
3,1.12068499343086,2,14,2,-11,"1;2","nYFbuEGY",100,5,2,0,0.4,2
4,0.682089044098376,2,2,2,-9,"1;2","nYFbuEGY",100,5,2,0,0.4,2
5,0.650396250038435,2,8,2,-1,"1;2","nYFbuEGY",100,5,2,0,0.4,2
6,0.89765078257386,2,-3,2,-4,"1;2","nYFbuEGY",100,5,2,0,0.4,2
7,0.520888626454239,2,28,2,24,"1;2","nYFbuEGY",100,5,2,0,0.4,2
8,1.22699904996806,1,6,2,30,"1;2","nYFbuEGY",100,5,2,0,0.4,2
9,0.67332344759297,2,11,2,41,"1;2","nYFbuEGY",100,5,2,0,0.4,2
10,1.12979025107148,2,8,2,49,"1;2","nYFbuEGY",100,5,2,0,0.4,2
11,0.5,2,7,2,56,"1;2","nYFbuEGY",100,5,2,0,0.4,2
12,0.746793820738956,1,6,2,62,"1;2","nYFbuEGY",100,5,2,0,0.4,2
13,0.5,1,3,2,65,"1;2","nYFbuEGY",100,5,2,0,0.4,2
14,0.907894922628251,1,6,2,71,"1;2","nYFbuEGY",100,5,2,0,0.4,2
15,0.905467091852064,1,2,2,73,"1;2","nYFbuEGY",100,5,2,0,0.4,2
16,0.787522578282608,1,9,2,82,"1;2","nYFbuEGY",100,5,2,0,0.4,2
17,0.5,1,4,2,86,"1;2","nYFbuEGY",100,5,2,0,0.4,2
18,1.10762337356997,2,-3,2,83,"1;2","nYFbuEGY",100,5,2,0,0.4,2
19,0.979758260633084,2,13,2,96,"1;2","nYFbuEGY",100,5,2,0,0.4,2
20,0.909412203317141,1,7,2,103,"1;2","nYFbuEGY",100,5,2,0,0.4,2
21,1.05265069476016,1,2,2,105,"1;2","nYFbuEGY",100,5,2,0,0.4,2
22,0.5,1,5,2,110,"1;2","nYFbuEGY",100,5,2,0,0.4,2
23,0.6243844499149,1,7,2,117,"1;2","nYFbuEGY",100,5,2,0,0.4,2
24,0.822357611761627,1,6,2,123,"1;2","nYFbuEGY",100,5,2,0,0.4,2
25,1.06880544299258,2,20,2,143,"1;2","nYFbuEGY",100,5,2,0,0.4,2
1,0.5,2,5,3,5,"2;1","nYFbuEGY",100,5,2,0,0.4,2
2,0.991849435125019,2,1,3,6,"2;1","nYFbuEGY",100,5,2,0,0.4,2
3,1.03633087360077,2,4,3,10,"2;1","nYFbuEGY",100,5,2,0,0.4,2
4,0.647637655640561,1,-10,3,0,"2;1","nYFbuEGY",100,5,2,0,0.4,2
5,1.30224389420427,2,3,3,3,"2;1","nYFbuEGY",100,5,2,0,0.4,2
6,0.583734875796126,2,4,3,7,"2;1","nYFbuEGY",100,5,2,0,0.4,2
7,1.11419361607823,1,11,3,18,"2;1","nYFbuEGY",100,5,2,0,0.4,2
8,0.911878360893378,1,-17,3,1,"2;1","nYFbuEGY",100,5,2,0,0.4,2
9,0.880868136235313,1,-3,3,-2,"2;1","nYFbuEGY",100,5,2,0,0.4,2
10,0.817047687709922,1,6,3,4,"2;1","nYFbuEGY",100,5,2,0,0.4,2
