"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.937821563466394,2,3,1,3,"1;2","npgPKrZs",100,5,4,2,0.8,2
2,0.81690758540926,2,1,1,4,"1;2","npgPKrZs",100,5,4,2,0.8,2
3,0.706816224685567,2,-1,1,3,"1;2","npgPKrZs",100,5,4,2,0.8,2
4,0.950329694716233,2,6,1,9,"1;2","npgPKrZs",100,5,4,2,0.8,2
5,0.991949171986243,1,5,1,14,"1;2","npgPKrZs",100,5,4,2,0.8,2
6,0.747144814989091,1,3,1,17,"1;2","npgPKrZs",100,5,4,2,0.8,2
7,1.0993817874045,2,0,1,17,"1;2","npgPKrZs",100,5,4,2,0.8,2
8,0.83063691748619,2,2,1,19,"1;2","npgPKrZs",100,5,4,2,0.8,2
9,0.932061889577192,2,2,1,21,"1;2","npgPKrZs",100,5,4,2,0.8,2
10,0.86116855859339,1,5,1,26,"1;2","npgPKrZs",100,5,4,2,0.8,2
11,1.32146949166861,2,4,1,30,"1;2","npgPKrZs",100,5,4,2,0.8,2
12,0.5,2,3,1,33,"1;2","npgPKrZs",100,5,4,2,0.8,2
13,0.801783553628137,2,2,1,35,"1;2","npgPKrZs",100,5,4,2,0.8,2
14,0.777983789652037,1,3,1,38,"1;2","npgPKrZs",100,5,4,2,0.8,2
15,0.597648570182731,1,4,1,42,"1;2","npgPKrZs",100,5,4,2,0.8,2
16,0.607356824040003,2,9,1,51,"1;2","npgPKrZs",100,5,4,2,0.8,2
17,0.582831494473057,2,0,1,51,"1;2","npgPKrZs",100,5,4,2,0.8,2
18,0.892043016508889,2,2,1,53,"1;2","npgPKrZs",100,5,4,2,0.8,2
19,1.11713310653959,1,1,1,54,"1;2","npgPKrZs",100,5,4,2,0.8,2
20,0.854573930734079,1,2,1,56,"1;2","npgPKrZs",100,5,4,2,0.8,2
1,0.821870689176776,2,5,2,5,"2;1","npgPKrZs",100,5,4,2,0.8,2
2,0.733862879169792,1,13,2,18,"2;1","npgPKrZs",100,5,4,2,0.8,2
3,0.908819602375934,2,3,2,21,"2;1","npgPKrZs",100,5,4,2,0.8,2
4,0.867832696083671,2,6,2,27,"2;1","npgPKrZs",100,5,4,2,0.8,2
5,0.790426463131216,1,3,2,30,"2;1","npgPKrZs",100,5,4,2,0.8,2
6,1.09548965322124,1,-5,2,25,"2;1","npgPKrZs",100,5,4,2,0.8,2
7,0.843520744594958,1,-13,2,12,"2;1","npgPKrZs",100,5,4,2,0.8,2
8,0.887847091447477,1,-2,2,10,"2;1","npgPKrZs",100,5,4,2,0.8,2
9,0.704495513599408,1,3,2,13,"2;1","npgPKrZs",100,5,4,2,0.8,2
10,0.767845489325295,1,-9,2,4,"2;1","npgPKrZs",100,5,4,2,0.8,2
11,0.862837817953796,1,2,2,6,"2;1","npgPKrZs",100,5,4,2,0.8,2
12,0.810364796684089,1,9,2,15,"2;1","npgPKrZs",100,5,4,2,0.8,2
13,0.634691706366838,1,15,2,30,"2;1","npgPKrZs",100,5,4,2,0.8,2
14,1.08356506342056,1,3,2,33,"2;1","npgPKrZs",100,5,4,2,0.8,2
15,0.770207157498474,2,8,2,41,"2;1","npgPKrZs",100,5,4,2,0.8,2
16,0.945250837326526,1,5,2,46,"2;1","npgPKrZs",100,5,4,2,0.8,2
17,0.96221150106565,1,2,2,48,"2;1","npgPKrZs",100,5,4,2,0.8,2
18,1.09126048621559,1,-5,2,43,"2;1","npgPKrZs",100,5,4,2,0.8,2
19,1.00765549924276,1,4,2,47,"2;1","npgPKrZs",100,5,4,2,0.8,2
20,0.622188352835011,1,10,2,57,"2;1","npgPKrZs",100,5,4,2,0.8,2
21,1.23743187413935,1,13,2,70,"2;1","npgPKrZs",100,5,4,2,0.8,2
22,0.543416629449803,1,10,2,80,"2;1","npgPKrZs",100,5,4,2,0.8,2
23,0.939783964827819,1,-6,2,74,"2;1","npgPKrZs",100,5,4,2,0.8,2
24,0.856339165226656,1,3,2,77,"2;1","npgPKrZs",100,5,4,2,0.8,2
25,0.623308212547045,2,3,2,80,"2;1","npgPKrZs",100,5,4,2,0.8,2
1,0.763457169284111,2,4,3,4,"2;1","npgPKrZs",100,5,4,2,0.8,2
2,0.991738234665174,2,5,3,9,"2;1","npgPKrZs",100,5,4,2,0.8,2
3,0.674346920194382,2,2,3,11,"2;1","npgPKrZs",100,5,4,2,0.8,2
4,1.39668185933876,2,-1,3,10,"2;1","npgPKrZs",100,5,4,2,0.8,2
5,0.736822733877921,2,0,3,10,"2;1","npgPKrZs",100,5,4,2,0.8,2
6,0.623948388713369,2,2,3,12,"2;1","npgPKrZs",100,5,4,2,0.8,2
7,0.908984337429755,1,3,3,15,"2;1","npgPKrZs",100,5,4,2,0.8,2
8,0.536741547006685,2,5,3,20,"2;1","npgPKrZs",100,5,4,2,0.8,2
9,1.30972958074641,2,6,3,26,"2;1","npgPKrZs",100,5,4,2,0.8,2
10,0.863744780265867,2,4,3,30,"2;1","npgPKrZs",100,5,4,2,0.8,2
11,0.523710261386572,2,3,3,33,"2;1","npgPKrZs",100,5,4,2,0.8,2
12,0.60648913874763,1,3,3,36,"2;1","npgPKrZs",100,5,4,2,0.8,2
13,0.912054834560063,2,3,3,39,"2;1","npgPKrZs",100,5,4,2,0.8,2
14,1.02554252444664,2,5,3,44,"2;1","npgPKrZs",100,5,4,2,0.8,2
15,0.921970584019864,2,3,3,47,"2;1","npgPKrZs",100,5,4,2,0.8,2
16,0.926814139963859,2,6,3,53,"2;1","npgPKrZs",100,5,4,2,0.8,2
17,0.775070606278259,2,5,3,58,"2;1","npgPKrZs",100,5,4,2,0.8,2
18,0.658571261489269,2,8,3,66,"2;1","npgPKrZs",100,5,4,2,0.8,2
19,0.896521684335847,2,6,3,72,"2;1","npgPKrZs",100,5,4,2,0.8,2
20,1.22403524857929,2,3,3,75,"2;1","npgPKrZs",100,5,4,2,0.8,2
21,0.863826131623989,2,7,3,82,"2;1","npgPKrZs",100,5,4,2,0.8,2
22,1.55186660515686,2,3,3,85,"2;1","npgPKrZs",100,5,4,2,0.8,2
23,0.653582286463779,2,3,3,88,"2;1","npgPKrZs",100,5,4,2,0.8,2
24,1.11179531771754,2,3,3,91,"2;1","npgPKrZs",100,5,4,2,0.8,2
25,0.5,1,-14,3,77,"2;1","npgPKrZs",100,5,4,2,0.8,2
1,0.9998671381928,2,12,4,12,"1;2","npgPKrZs",100,5,4,2,0.8,2
2,0.720479648858566,1,7,4,19,"1;2","npgPKrZs",100,5,4,2,0.8,2
3,0.512687099623701,2,-7,4,12,"1;2","npgPKrZs",100,5,4,2,0.8,2
4,0.878899034879921,2,7,4,19,"1;2","npgPKrZs",100,5,4,2,0.8,2
5,0.567216255098088,2,34,4,53,"1;2","npgPKrZs",100,5,4,2,0.8,2
6,0.53325294664591,2,1,4,54,"1;2","npgPKrZs",100,5,4,2,0.8,2
7,0.918513440180823,2,1,4,55,"1;2","npgPKrZs",100,5,4,2,0.8,2
8,1.2056348902937,2,8,4,63,"1;2","npgPKrZs",100,5,4,2,0.8,2
9,0.700695718621961,2,14,4,77,"1;2","npgPKrZs",100,5,4,2,0.8,2
10,1.28764269075088,2,22,4,99,"1;2","npgPKrZs",100,5,4,2,0.8,2
11,0.752824163847712,1,3,4,102,"1;2","npgPKrZs",100,5,4,2,0.8,2
12,0.5,2,-12,4,90,"1;2","npgPKrZs",100,5,4,2,0.8,2
13,0.958929076813855,2,14,4,104,"1;2","npgPKrZs",100,5,4,2,0.8,2
