"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,4,1,4,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
2,0.916686618534312,2,5,1,9,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
3,0.942450373225015,1,3,1,12,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
4,0.673862917427289,2,5,1,17,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
5,0.84446715842788,2,4,1,21,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
6,0.928115339018587,2,7,1,28,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
7,0.65023221220456,2,1,1,29,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
8,0.943475765820004,1,3,1,32,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
9,0.749747895860948,2,2,1,34,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
10,0.74713539319505,2,2,1,36,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
11,0.71622913069365,1,4,1,40,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
12,0.853709126760188,2,5,1,45,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
13,0.631976170302033,2,5,1,50,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
14,0.965147820049667,2,9,1,59,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
15,0.727486589176025,1,4,1,63,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
16,0.784392274316805,1,2,1,65,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
17,0.5,2,1,1,66,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
18,0.944402229478427,2,1,1,67,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
19,0.778049793204683,1,1,1,68,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
20,0.547813348180515,1,1,1,69,"2;1","o3Teq8DJ",100,4,2,0,0.4,1
1,0.720536171846026,2,2,2,2,"1;2","o3Teq8DJ",100,4,2,0,0.4,1
2,0.856298611807028,2,5,2,7,"1;2","o3Teq8DJ",100,4,2,0,0.4,1
3,1.14241329394105,2,-18,2,-11,"1;2","o3Teq8DJ",100,4,2,0,0.4,1
4,0.87555602731893,2,-14,2,-25,"1;2","o3Teq8DJ",100,4,2,0,0.4,1
5,0.50941337144146,2,15,2,-10,"1;2","o3Teq8DJ",100,4,2,0,0.4,1
6,0.645599085121979,2,6,2,-4,"1;2","o3Teq8DJ",100,4,2,0,0.4,1
7,0.830335739197416,2,14,2,10,"1;2","o3Teq8DJ",100,4,2,0,0.4,1
8,0.746710543917,2,22,2,32,"1;2","o3Teq8DJ",100,4,2,0,0.4,1
