"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.730722778319314,2,0,1,0,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
2,0.5,1,1,1,1,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
3,0.517307153457148,2,5,1,6,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
4,1.02869941286352,2,6,1,12,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
5,1.08103620048228,1,0,1,12,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
6,0.643008655909313,2,5,1,17,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
7,1.03716603297058,1,1,1,18,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
8,0.846100545114556,2,5,1,23,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
9,0.730602251686426,1,0,1,23,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
10,0.873081493868639,2,0,1,23,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
11,1.19949385247124,1,1,1,24,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
12,0.5,2,1,1,25,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
13,0.617552047179054,2,1,1,26,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
14,0.837221956093069,1,4,1,30,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
15,0.886402727062966,2,3,1,33,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
16,1.11600176305374,1,5,1,38,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
17,0.765828499647208,1,0,1,38,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
18,0.574895991890694,1,3,1,41,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
19,0.844208961355246,2,3,1,44,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
20,0.788337243643698,2,8,1,52,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
1,0.5,1,3,2,3,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
2,0.5,1,0,2,3,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
3,1.01519148074136,2,18,2,21,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
4,0.5,2,-4,2,17,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
5,0.728739246005973,2,12,2,29,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
6,0.5,2,21,2,50,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
7,1.15712883890108,1,0,2,50,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
8,0.911932702951999,1,-1,2,49,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
9,0.854828648515769,1,4,2,53,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
10,1.39176326628198,2,13,2,66,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
11,0.68667230411603,2,-4,2,62,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
12,0.722752302787971,2,16,2,78,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
13,0.813714698209848,1,4,2,82,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
14,0.543872693432258,1,3,2,85,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
15,1.05377565016793,2,-13,2,72,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
16,0.573493847385888,2,22,2,94,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
17,0.615014802791557,2,7,2,101,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
18,1.09835592852792,2,11,2,112,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
19,1.06198857419058,1,4,2,116,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
20,0.739255069821655,2,3,2,119,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
21,0.973255720581784,1,4,2,123,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
22,0.885871695621038,2,-28,2,95,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
23,1.08895992939599,2,8,2,103,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
24,0.568859768815096,2,7,2,110,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
25,0.676724328582876,2,12,2,122,"1;2","o7QEAzzy",0,3,NA,0,0.61,1
1,0.869473633616039,1,6,3,6,"2;1","o7QEAzzy",0,3,NA,0,0.61,1
2,0.735781730572979,1,1,3,7,"2;1","o7QEAzzy",0,3,NA,0,0.61,1
