"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.13371209551615,2,6,1,6,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
2,0.996710118228105,2,3,1,9,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
3,1.25277753871853,2,2,1,11,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
4,0.850173714463612,2,3,1,14,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
5,1.05939537949316,1,1,1,15,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
6,1.1546886655459,2,3,1,18,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
7,0.71939900274827,1,6,1,24,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
8,0.534774057624164,2,2,1,26,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
9,1.11033168171713,2,4,1,30,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
10,1.03247634541367,2,2,1,32,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
11,1.17264050358367,2,0,1,32,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
12,0.915307739363601,2,2,1,34,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
13,0.861818317180328,2,1,1,35,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
14,0.860575743767564,2,7,1,42,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
15,0.701423553893319,2,2,1,44,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
16,0.849679239406348,2,2,1,46,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
17,0.935569757267809,2,2,1,48,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
18,0.622479763736385,2,4,1,52,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
19,1.12674501006718,2,2,1,54,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
20,0.803709903409489,2,1,1,55,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
1,0.970329296303252,1,15,2,15,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
2,1.10722599264431,2,7,2,22,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
3,0.723032599086715,1,-3,2,19,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
4,0.9242097394097,1,14,2,33,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
5,0.629173071506814,1,4,2,37,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
6,0.621137978607411,1,-3,2,34,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
7,0.711770031699407,1,-4,2,30,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
8,0.746951309935278,2,3,2,33,"2;1","oQmlYvPZ",0,2,NA,3,0.8,1
