"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.04895900157884,2,3,1,3,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
2,1.08567525087512,2,1,1,4,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
3,0.721883357889939,2,4,1,8,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
4,0.79469532749358,1,2,1,10,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
5,0.80437764315526,1,4,1,14,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
6,0.5,2,3,1,17,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
7,0.5,2,7,1,24,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
8,0.703654088363477,2,9,1,33,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
9,1.10423645745708,2,4,1,37,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
10,0.94112885875201,1,5,1,42,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
11,1.19071756971131,2,3,1,45,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
12,0.80732566214777,2,0,1,45,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
13,1.04399893108309,2,2,1,47,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
14,0.653410876781968,2,7,1,54,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
15,0.519562654467218,2,1,1,55,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
16,0.87689968540129,1,2,1,57,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
17,0.5,1,3,1,60,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
18,0.648847379463886,1,4,1,64,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
19,0.978007583106562,1,2,1,66,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
20,0.750798965819408,2,5,1,71,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
1,0.571019886873875,1,2,2,2,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
2,1.22162858052079,1,9,2,11,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
3,0.79212540592497,2,9,2,20,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
4,0.771619949119017,1,12,2,32,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
5,0.714632043441826,1,19,2,51,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
6,0.830666493120166,2,4,2,55,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
7,0.905781905466271,2,3,2,58,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
8,1.02901510882596,2,2,2,60,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
9,0.820950451134886,1,1,2,61,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
10,0.5,1,7,2,68,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
11,0.874925994078825,1,18,2,86,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
12,0.875243502995422,2,6,2,92,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
13,0.790350325802502,1,9,2,101,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
14,0.5,1,-18,2,83,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
15,0.88585354481508,2,4,2,87,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
16,1.08200532316011,2,3,2,90,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
17,0.695926440933846,2,0,2,90,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
18,1.08531329680275,2,1,2,91,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
19,0.784052239405957,2,3,2,94,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
20,0.5,2,7,2,101,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
21,0.994123564543367,2,6,2,107,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
22,0.565869744811179,2,1,2,108,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
23,0.5,2,5,2,113,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
24,1.14282878781021,2,7,2,120,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
25,1.18555509668671,2,4,2,124,"2;1","oWJfAeHT",0,2,NA,1,1.04,1
1,0.856832384457066,1,4,3,4,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
2,0.54125060921995,2,-10,3,-6,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
3,0.889897227318438,2,8,3,2,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
4,0.707277249513189,1,2,3,4,"1;2","oWJfAeHT",0,2,NA,1,1.04,1
