"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.06150002464012,2,6,1,6,"2;1","ot6PEHT2",100,6,4,0,0.8,1
2,0.865875808018141,1,0,1,6,"2;1","ot6PEHT2",100,6,4,0,0.8,1
3,0.889208967934808,2,1,1,7,"2;1","ot6PEHT2",100,6,4,0,0.8,1
4,0.744488572685099,2,2,1,9,"2;1","ot6PEHT2",100,6,4,0,0.8,1
5,1.18010456133891,2,4,1,13,"2;1","ot6PEHT2",100,6,4,0,0.8,1
6,0.903012609226909,2,4,1,17,"2;1","ot6PEHT2",100,6,4,0,0.8,1
7,0.778853961188786,2,3,1,20,"2;1","ot6PEHT2",100,6,4,0,0.8,1
8,0.5,1,2,1,22,"2;1","ot6PEHT2",100,6,4,0,0.8,1
9,0.698722555224115,2,5,1,27,"2;1","ot6PEHT2",100,6,4,0,0.8,1
10,0.945040669075847,2,3,1,30,"2;1","ot6PEHT2",100,6,4,0,0.8,1
11,0.584372688480476,2,-2,1,28,"2;1","ot6PEHT2",100,6,4,0,0.8,1
12,0.591604399303164,2,4,1,32,"2;1","ot6PEHT2",100,6,4,0,0.8,1
13,0.832159355388823,1,2,1,34,"2;1","ot6PEHT2",100,6,4,0,0.8,1
14,0.598913163048639,2,2,1,36,"2;1","ot6PEHT2",100,6,4,0,0.8,1
15,0.775267243735052,2,1,1,37,"2;1","ot6PEHT2",100,6,4,0,0.8,1
16,0.981730534281461,1,3,1,40,"2;1","ot6PEHT2",100,6,4,0,0.8,1
17,0.910267538002169,2,2,1,42,"2;1","ot6PEHT2",100,6,4,0,0.8,1
18,0.648127444334707,1,3,1,45,"2;1","ot6PEHT2",100,6,4,0,0.8,1
19,0.770484891143369,2,4,1,49,"2;1","ot6PEHT2",100,6,4,0,0.8,1
20,1.13212916858503,1,3,1,52,"2;1","ot6PEHT2",100,6,4,0,0.8,1
1,0.5,2,-4,2,-4,"1;2","ot6PEHT2",100,6,4,0,0.8,1
2,0.857866222580085,2,13,2,9,"1;2","ot6PEHT2",100,6,4,0,0.8,1
3,1.02035444735721,2,10,2,19,"1;2","ot6PEHT2",100,6,4,0,0.8,1
4,0.659312977655997,1,7,2,26,"1;2","ot6PEHT2",100,6,4,0,0.8,1
5,1.05450985073121,1,-1,2,25,"1;2","ot6PEHT2",100,6,4,0,0.8,1
