"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,5,1,5,"1;2","pPZtsBwm",100,4,5,0,1,3
2,0.605495199207551,2,5,1,10,"1;2","pPZtsBwm",100,4,5,0,1,3
3,0.5,1,1,1,11,"1;2","pPZtsBwm",100,4,5,0,1,3
4,1.01997618790736,2,5,1,16,"1;2","pPZtsBwm",100,4,5,0,1,3
5,0.64119150560699,1,4,1,20,"1;2","pPZtsBwm",100,4,5,0,1,3
6,0.837505892528049,1,2,1,22,"1;2","pPZtsBwm",100,4,5,0,1,3
7,0.626568243405155,2,4,1,26,"1;2","pPZtsBwm",100,4,5,0,1,3
8,0.909787396398822,2,2,1,28,"1;2","pPZtsBwm",100,4,5,0,1,3
9,0.889468490627379,1,6,1,34,"1;2","pPZtsBwm",100,4,5,0,1,3
10,0.813490023734489,1,5,1,39,"1;2","pPZtsBwm",100,4,5,0,1,3
11,1.1106015802103,1,6,1,45,"1;2","pPZtsBwm",100,4,5,0,1,3
12,0.658214625728964,1,2,1,47,"1;2","pPZtsBwm",100,4,5,0,1,3
13,1.46960554334468,1,5,1,52,"1;2","pPZtsBwm",100,4,5,0,1,3
14,0.639748615288974,2,3,1,55,"1;2","pPZtsBwm",100,4,5,0,1,3
15,0.734674664217594,2,4,1,59,"1;2","pPZtsBwm",100,4,5,0,1,3
16,0.843927856677793,1,3,1,62,"1;2","pPZtsBwm",100,4,5,0,1,3
17,1.07086886604057,1,3,1,65,"1;2","pPZtsBwm",100,4,5,0,1,3
18,1.32231369532305,2,4,1,69,"1;2","pPZtsBwm",100,4,5,0,1,3
19,0.827851131048482,2,1,1,70,"1;2","pPZtsBwm",100,4,5,0,1,3
20,1.07860191878928,2,6,1,76,"1;2","pPZtsBwm",100,4,5,0,1,3
1,0.738477954697665,2,-1,2,-1,"2;1","pPZtsBwm",100,4,5,0,1,3
2,0.677129483399398,1,5,2,4,"2;1","pPZtsBwm",100,4,5,0,1,3
3,0.725058671789706,2,2,2,6,"2;1","pPZtsBwm",100,4,5,0,1,3
4,0.851122465740641,2,2,2,8,"2;1","pPZtsBwm",100,4,5,0,1,3
5,1.03708900047208,2,7,2,15,"2;1","pPZtsBwm",100,4,5,0,1,3
6,0.5,2,6,2,21,"2;1","pPZtsBwm",100,4,5,0,1,3
7,0.747233099131592,2,4,2,25,"2;1","pPZtsBwm",100,4,5,0,1,3
8,0.5,2,2,2,27,"2;1","pPZtsBwm",100,4,5,0,1,3
9,1.08546795642026,2,-3,2,24,"2;1","pPZtsBwm",100,4,5,0,1,3
10,1.27722384912037,1,1,2,25,"2;1","pPZtsBwm",100,4,5,0,1,3
11,0.830894719699689,1,-5,2,20,"2;1","pPZtsBwm",100,4,5,0,1,3
12,0.953062289131888,1,-5,2,15,"2;1","pPZtsBwm",100,4,5,0,1,3
13,0.5,2,3,2,18,"2;1","pPZtsBwm",100,4,5,0,1,3
14,0.993262105930348,2,1,2,19,"2;1","pPZtsBwm",100,4,5,0,1,3
15,0.679222460505444,1,18,2,37,"2;1","pPZtsBwm",100,4,5,0,1,3
