"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,4,1,4,"1;2","pUGuHmkp",100,4,8,0,1.6,2
2,0.5,2,1,1,5,"1;2","pUGuHmkp",100,4,8,0,1.6,2
3,0.5,2,5,1,10,"1;2","pUGuHmkp",100,4,8,0,1.6,2
4,0.799701321394572,2,0,1,10,"1;2","pUGuHmkp",100,4,8,0,1.6,2
5,0.986439097450516,2,7,1,17,"1;2","pUGuHmkp",100,4,8,0,1.6,2
6,0.502409387569712,2,4,1,21,"1;2","pUGuHmkp",100,4,8,0,1.6,2
7,1.05738527257855,1,4,1,25,"1;2","pUGuHmkp",100,4,8,0,1.6,2
8,0.709517599973063,2,5,1,30,"1;2","pUGuHmkp",100,4,8,0,1.6,2
9,0.515427849258421,2,3,1,33,"1;2","pUGuHmkp",100,4,8,0,1.6,2
10,0.948111070113366,1,3,1,36,"1;2","pUGuHmkp",100,4,8,0,1.6,2
11,0.5,2,4,1,40,"1;2","pUGuHmkp",100,4,8,0,1.6,2
12,1.0299509388689,2,0,1,40,"1;2","pUGuHmkp",100,4,8,0,1.6,2
13,0.897204945370112,2,2,1,42,"1;2","pUGuHmkp",100,4,8,0,1.6,2
14,0.766416558078827,2,3,1,45,"1;2","pUGuHmkp",100,4,8,0,1.6,2
15,0.945812388348424,1,6,1,51,"1;2","pUGuHmkp",100,4,8,0,1.6,2
16,0.59752872436524,2,3,1,54,"1;2","pUGuHmkp",100,4,8,0,1.6,2
17,0.538477100913457,1,2,1,56,"1;2","pUGuHmkp",100,4,8,0,1.6,2
18,0.882789750171967,1,3,1,59,"1;2","pUGuHmkp",100,4,8,0,1.6,2
19,0.810611016680943,2,4,1,63,"1;2","pUGuHmkp",100,4,8,0,1.6,2
20,0.899126143113408,1,4,1,67,"1;2","pUGuHmkp",100,4,8,0,1.6,2
1,0.5,1,11,2,11,"2;1","pUGuHmkp",100,4,8,0,1.6,2
2,0.748885909237944,1,17,2,28,"2;1","pUGuHmkp",100,4,8,0,1.6,2
3,0.586432622800553,1,-10,2,18,"2;1","pUGuHmkp",100,4,8,0,1.6,2
4,0.5,1,12,2,30,"2;1","pUGuHmkp",100,4,8,0,1.6,2
5,0.781743211201244,1,9,2,39,"2;1","pUGuHmkp",100,4,8,0,1.6,2
6,0.569959880650324,2,2,2,41,"2;1","pUGuHmkp",100,4,8,0,1.6,2
7,0.755966580586466,2,2,2,43,"2;1","pUGuHmkp",100,4,8,0,1.6,2
8,0.936426953371411,1,11,2,54,"2;1","pUGuHmkp",100,4,8,0,1.6,2
9,1.04933783667412,2,2,2,56,"2;1","pUGuHmkp",100,4,8,0,1.6,2
10,1.3065303381607,1,7,2,63,"2;1","pUGuHmkp",100,4,8,0,1.6,2
11,1.00383169303784,1,-8,2,55,"2;1","pUGuHmkp",100,4,8,0,1.6,2
12,1.00540187620427,2,2,2,57,"2;1","pUGuHmkp",100,4,8,0,1.6,2
13,1.24626640197972,1,-11,2,46,"2;1","pUGuHmkp",100,4,8,0,1.6,2
14,1.03123827502897,1,4,2,50,"2;1","pUGuHmkp",100,4,8,0,1.6,2
15,0.921590885518688,1,7,2,57,"2;1","pUGuHmkp",100,4,8,0,1.6,2
16,1.00691274626235,1,9,2,66,"2;1","pUGuHmkp",100,4,8,0,1.6,2
17,0.950073078142962,1,3,2,69,"2;1","pUGuHmkp",100,4,8,0,1.6,2
18,0.5,2,7,2,76,"2;1","pUGuHmkp",100,4,8,0,1.6,2
19,0.840154895565478,1,6,2,82,"2;1","pUGuHmkp",100,4,8,0,1.6,2
20,0.88947114882692,2,3,2,85,"2;1","pUGuHmkp",100,4,8,0,1.6,2
21,0.761951451172897,1,10,2,95,"2;1","pUGuHmkp",100,4,8,0,1.6,2
22,0.853675511260794,1,16,2,111,"2;1","pUGuHmkp",100,4,8,0,1.6,2
23,0.670183795846249,2,3,2,114,"2;1","pUGuHmkp",100,4,8,0,1.6,2
24,1.15775600335676,2,6,2,120,"2;1","pUGuHmkp",100,4,8,0,1.6,2
25,0.770575696183426,2,2,2,122,"2;1","pUGuHmkp",100,4,8,0,1.6,2
1,0.868435079173045,2,20,3,20,"1;2","pUGuHmkp",100,4,8,0,1.6,2
2,0.640891570264903,1,7,3,27,"1;2","pUGuHmkp",100,4,8,0,1.6,2
3,0.5,2,10,3,37,"1;2","pUGuHmkp",100,4,8,0,1.6,2
4,1.3606143545576,2,5,3,42,"1;2","pUGuHmkp",100,4,8,0,1.6,2
5,0.654893765199531,2,2,3,44,"1;2","pUGuHmkp",100,4,8,0,1.6,2
6,0.862890123787058,2,-5,3,39,"1;2","pUGuHmkp",100,4,8,0,1.6,2
7,0.5,1,9,3,48,"1;2","pUGuHmkp",100,4,8,0,1.6,2
8,0.5,1,2,3,50,"1;2","pUGuHmkp",100,4,8,0,1.6,2
9,1.04958926936863,2,11,3,61,"1;2","pUGuHmkp",100,4,8,0,1.6,2
10,0.807573573525668,2,-14,3,47,"1;2","pUGuHmkp",100,4,8,0,1.6,2
11,0.882882945586833,1,2,3,49,"1;2","pUGuHmkp",100,4,8,0,1.6,2
12,1.10299587941899,1,1,3,50,"1;2","pUGuHmkp",100,4,8,0,1.6,2
13,1.02446183453254,2,6,3,56,"1;2","pUGuHmkp",100,4,8,0,1.6,2
14,0.611484861127903,1,5,3,61,"1;2","pUGuHmkp",100,4,8,0,1.6,2
15,0.5,1,4,3,65,"1;2","pUGuHmkp",100,4,8,0,1.6,2
16,0.603442607476937,1,1,3,66,"1;2","pUGuHmkp",100,4,8,0,1.6,2
17,0.5,1,5,3,71,"1;2","pUGuHmkp",100,4,8,0,1.6,2
18,0.599205048138197,2,22,3,93,"1;2","pUGuHmkp",100,4,8,0,1.6,2
19,0.715845684924032,1,3,3,96,"1;2","pUGuHmkp",100,4,8,0,1.6,2
20,0.882859277209071,1,3,3,99,"1;2","pUGuHmkp",100,4,8,0,1.6,2
21,1.04035478916529,1,8,3,107,"1;2","pUGuHmkp",100,4,8,0,1.6,2
22,0.752968351307439,1,4,3,111,"1;2","pUGuHmkp",100,4,8,0,1.6,2
23,0.926578607430812,2,20,3,131,"1;2","pUGuHmkp",100,4,8,0,1.6,2
24,1.19569118205505,1,2,3,133,"1;2","pUGuHmkp",100,4,8,0,1.6,2
25,0.837838763561554,1,0,3,133,"1;2","pUGuHmkp",100,4,8,0,1.6,2
1,0.5,2,5,4,5,"2;1","pUGuHmkp",100,4,8,0,1.6,2
2,1.01163381607864,2,1,4,6,"2;1","pUGuHmkp",100,4,8,0,1.6,2
3,0.815274821584332,1,10,4,16,"2;1","pUGuHmkp",100,4,8,0,1.6,2
4,0.706608433959516,2,1,4,17,"2;1","pUGuHmkp",100,4,8,0,1.6,2
5,0.916114663336359,2,2,4,19,"2;1","pUGuHmkp",100,4,8,0,1.6,2
6,1.03051591433107,2,2,4,21,"2;1","pUGuHmkp",100,4,8,0,1.6,2
7,0.942581326239032,1,7,4,28,"2;1","pUGuHmkp",100,4,8,0,1.6,2
8,0.758497512448311,1,17,4,45,"2;1","pUGuHmkp",100,4,8,0,1.6,2
9,0.892258822620174,2,5,4,50,"2;1","pUGuHmkp",100,4,8,0,1.6,2
10,0.894749482724351,1,-2,4,48,"2;1","pUGuHmkp",100,4,8,0,1.6,2
11,0.827051916839973,1,5,4,53,"2;1","pUGuHmkp",100,4,8,0,1.6,2
12,0.808421467631168,2,3,4,56,"2;1","pUGuHmkp",100,4,8,0,1.6,2
13,0.5,1,-1,4,55,"2;1","pUGuHmkp",100,4,8,0,1.6,2
14,0.766076046201008,1,0,4,55,"2;1","pUGuHmkp",100,4,8,0,1.6,2
15,0.874620917647969,1,25,4,80,"2;1","pUGuHmkp",100,4,8,0,1.6,2
16,1.05784218677363,2,6,4,86,"2;1","pUGuHmkp",100,4,8,0,1.6,2
17,0.803989149585419,2,3,4,89,"2;1","pUGuHmkp",100,4,8,0,1.6,2
18,0.923885048383499,2,1,4,90,"2;1","pUGuHmkp",100,4,8,0,1.6,2
19,0.816178797965028,2,7,4,97,"2;1","pUGuHmkp",100,4,8,0,1.6,2
20,0.867297834328267,1,7,4,104,"2;1","pUGuHmkp",100,4,8,0,1.6,2
21,1.07605522481719,2,3,4,107,"2;1","pUGuHmkp",100,4,8,0,1.6,2
22,0.959001886453768,2,3,4,110,"2;1","pUGuHmkp",100,4,8,0,1.6,2
23,0.546287264692644,2,8,4,118,"2;1","pUGuHmkp",100,4,8,0,1.6,2
24,0.815341570839137,2,2,4,120,"2;1","pUGuHmkp",100,4,8,0,1.6,2
25,0.520968463700634,2,5,4,125,"2;1","pUGuHmkp",100,4,8,0,1.6,2
1,0.791921907735257,1,7,5,7,"1;2","pUGuHmkp",100,4,8,0,1.6,2
2,0.952465111650302,2,19,5,26,"1;2","pUGuHmkp",100,4,8,0,1.6,2
3,0.872345987044338,2,-4,5,22,"1;2","pUGuHmkp",100,4,8,0,1.6,2
4,1.09989089730156,2,7,5,29,"1;2","pUGuHmkp",100,4,8,0,1.6,2
5,0.70493460317029,2,-10,5,19,"1;2","pUGuHmkp",100,4,8,0,1.6,2
