"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.787381441834321,1,4,1,4,"2;1","qF2z8gd9",100,6,1,1,0.2,1
2,1.33108016477479,2,3,1,7,"2;1","qF2z8gd9",100,6,1,1,0.2,1
3,1.2007907253697,2,4,1,11,"2;1","qF2z8gd9",100,6,1,1,0.2,1
4,0.832042556536718,1,5,1,16,"2;1","qF2z8gd9",100,6,1,1,0.2,1
5,0.946840846196194,2,0,1,16,"2;1","qF2z8gd9",100,6,1,1,0.2,1
6,0.625301556355826,1,4,1,20,"2;1","qF2z8gd9",100,6,1,1,0.2,1
7,0.766652980486323,1,5,1,25,"2;1","qF2z8gd9",100,6,1,1,0.2,1
8,0.842150678804644,2,3,1,28,"2;1","qF2z8gd9",100,6,1,1,0.2,1
9,1.29605879970286,2,3,1,31,"2;1","qF2z8gd9",100,6,1,1,0.2,1
10,1.03297439035554,2,6,1,37,"2;1","qF2z8gd9",100,6,1,1,0.2,1
11,0.703053871420075,2,1,1,38,"2;1","qF2z8gd9",100,6,1,1,0.2,1
12,0.686752658792385,2,3,1,41,"2;1","qF2z8gd9",100,6,1,1,0.2,1
13,0.704363544453556,2,4,1,45,"2;1","qF2z8gd9",100,6,1,1,0.2,1
14,0.641263341247611,2,2,1,47,"2;1","qF2z8gd9",100,6,1,1,0.2,1
15,0.727761402493471,2,4,1,51,"2;1","qF2z8gd9",100,6,1,1,0.2,1
16,0.777901758318019,2,4,1,55,"2;1","qF2z8gd9",100,6,1,1,0.2,1
17,0.861091495797236,2,3,1,58,"2;1","qF2z8gd9",100,6,1,1,0.2,1
18,0.567283343893012,2,1,1,59,"2;1","qF2z8gd9",100,6,1,1,0.2,1
19,1.1020519142014,2,2,1,61,"2;1","qF2z8gd9",100,6,1,1,0.2,1
20,1.17466858562485,2,4,1,65,"2;1","qF2z8gd9",100,6,1,1,0.2,1
1,0.706998985889889,1,-10,2,-10,"2;1","qF2z8gd9",100,6,1,1,0.2,1
2,0.860345839516205,2,0,2,-10,"2;1","qF2z8gd9",100,6,1,1,0.2,1
3,0.746600507798131,1,23,2,13,"2;1","qF2z8gd9",100,6,1,1,0.2,1
4,0.802650154124154,1,12,2,25,"2;1","qF2z8gd9",100,6,1,1,0.2,1
5,0.877889716505028,1,7,2,32,"2;1","qF2z8gd9",100,6,1,1,0.2,1
6,1.10051123419528,1,1,2,33,"2;1","qF2z8gd9",100,6,1,1,0.2,1
