"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.28356753543961,1,6,1,6,"1;2","qF7gOJob",100,4,6,0,1.2,2
2,0.62403293447449,1,4,1,10,"1;2","qF7gOJob",100,4,6,0,1.2,2
3,0.763451221868072,2,3,1,13,"1;2","qF7gOJob",100,4,6,0,1.2,2
4,0.921368035327367,1,4,1,17,"1;2","qF7gOJob",100,4,6,0,1.2,2
5,0.690103744264777,2,2,1,19,"1;2","qF7gOJob",100,4,6,0,1.2,2
6,0.796592275243432,2,5,1,24,"1;2","qF7gOJob",100,4,6,0,1.2,2
7,0.5,2,6,1,30,"1;2","qF7gOJob",100,4,6,0,1.2,2
8,0.895267536437216,2,2,1,32,"1;2","qF7gOJob",100,4,6,0,1.2,2
9,0.983421639484167,2,2,1,34,"1;2","qF7gOJob",100,4,6,0,1.2,2
10,0.5,2,5,1,39,"1;2","qF7gOJob",100,4,6,0,1.2,2
11,1.22138694412162,2,1,1,40,"1;2","qF7gOJob",100,4,6,0,1.2,2
12,0.714644079365314,1,2,1,42,"1;2","qF7gOJob",100,4,6,0,1.2,2
13,0.717369394275998,2,1,1,43,"1;2","qF7gOJob",100,4,6,0,1.2,2
14,0.756830892291779,1,2,1,45,"1;2","qF7gOJob",100,4,6,0,1.2,2
15,0.984795464914779,1,3,1,48,"1;2","qF7gOJob",100,4,6,0,1.2,2
16,0.792254291986668,1,7,1,55,"1;2","qF7gOJob",100,4,6,0,1.2,2
17,0.5,2,2,1,57,"1;2","qF7gOJob",100,4,6,0,1.2,2
18,0.95976493528734,1,2,1,59,"1;2","qF7gOJob",100,4,6,0,1.2,2
19,0.634242845454357,2,1,1,60,"1;2","qF7gOJob",100,4,6,0,1.2,2
20,0.872606813380283,1,0,1,60,"1;2","qF7gOJob",100,4,6,0,1.2,2
1,0.703635070585905,1,6,2,6,"2;1","qF7gOJob",100,4,6,0,1.2,2
2,0.5,2,-2,2,4,"2;1","qF7gOJob",100,4,6,0,1.2,2
3,0.5,2,6,2,10,"2;1","qF7gOJob",100,4,6,0,1.2,2
4,0.989430920356268,2,1,2,11,"2;1","qF7gOJob",100,4,6,0,1.2,2
5,1.35915441703979,2,2,2,13,"2;1","qF7gOJob",100,4,6,0,1.2,2
6,0.756298785188096,2,8,2,21,"2;1","qF7gOJob",100,4,6,0,1.2,2
7,0.638300713522219,2,7,2,28,"2;1","qF7gOJob",100,4,6,0,1.2,2
8,0.5,1,2,2,30,"2;1","qF7gOJob",100,4,6,0,1.2,2
9,0.852210591169224,2,3,2,33,"2;1","qF7gOJob",100,4,6,0,1.2,2
10,0.666972476300506,2,2,2,35,"2;1","qF7gOJob",100,4,6,0,1.2,2
11,0.741530524376418,2,5,2,40,"2;1","qF7gOJob",100,4,6,0,1.2,2
12,0.566441316384094,1,25,2,65,"2;1","qF7gOJob",100,4,6,0,1.2,2
13,0.850951865399612,1,-1,2,64,"2;1","qF7gOJob",100,4,6,0,1.2,2
14,0.534169415047228,1,1,2,65,"2;1","qF7gOJob",100,4,6,0,1.2,2
15,0.694959114574607,1,-14,2,51,"2;1","qF7gOJob",100,4,6,0,1.2,2
16,1.04572796298785,1,18,2,69,"2;1","qF7gOJob",100,4,6,0,1.2,2
17,0.853108194255491,1,7,2,76,"2;1","qF7gOJob",100,4,6,0,1.2,2
18,0.98503761278552,1,14,2,90,"2;1","qF7gOJob",100,4,6,0,1.2,2
19,0.909095832834101,2,7,2,97,"2;1","qF7gOJob",100,4,6,0,1.2,2
20,0.977263606906087,2,7,2,104,"2;1","qF7gOJob",100,4,6,0,1.2,2
21,0.671521771370518,2,0,2,104,"2;1","qF7gOJob",100,4,6,0,1.2,2
22,0.725368678906093,1,-8,2,96,"2;1","qF7gOJob",100,4,6,0,1.2,2
23,1.18194254895991,2,4,2,100,"2;1","qF7gOJob",100,4,6,0,1.2,2
24,0.5,2,9,2,109,"2;1","qF7gOJob",100,4,6,0,1.2,2
25,0.817592716794148,1,-18,2,91,"2;1","qF7gOJob",100,4,6,0,1.2,2
1,0.779314109280969,2,0,3,0,"2;1","qF7gOJob",100,4,6,0,1.2,2
2,0.676185567003467,1,1,3,1,"2;1","qF7gOJob",100,4,6,0,1.2,2
3,0.911620071980916,2,4,3,5,"2;1","qF7gOJob",100,4,6,0,1.2,2
4,0.587319482390705,2,2,3,7,"2;1","qF7gOJob",100,4,6,0,1.2,2
5,1.08140251576276,2,2,3,9,"2;1","qF7gOJob",100,4,6,0,1.2,2
6,1.12491259289581,2,7,3,16,"2;1","qF7gOJob",100,4,6,0,1.2,2
7,0.881692502056992,2,0,3,16,"2;1","qF7gOJob",100,4,6,0,1.2,2
8,1.31347602051271,2,4,3,20,"2;1","qF7gOJob",100,4,6,0,1.2,2
9,0.843711719619102,2,5,3,25,"2;1","qF7gOJob",100,4,6,0,1.2,2
10,1.05395715729463,2,3,3,28,"2;1","qF7gOJob",100,4,6,0,1.2,2
11,0.592611099243148,2,5,3,33,"2;1","qF7gOJob",100,4,6,0,1.2,2
12,0.944038459307377,2,5,3,38,"2;1","qF7gOJob",100,4,6,0,1.2,2
13,0.918589223697843,2,7,3,45,"2;1","qF7gOJob",100,4,6,0,1.2,2
14,0.725664525509753,2,6,3,51,"2;1","qF7gOJob",100,4,6,0,1.2,2
15,0.686171029544618,2,-1,3,50,"2;1","qF7gOJob",100,4,6,0,1.2,2
16,0.785875367039592,2,4,3,54,"2;1","qF7gOJob",100,4,6,0,1.2,2
17,0.937559255570136,2,2,3,56,"2;1","qF7gOJob",100,4,6,0,1.2,2
18,0.620308231482165,1,-19,3,37,"2;1","qF7gOJob",100,4,6,0,1.2,2
19,0.700699034466199,1,15,3,52,"2;1","qF7gOJob",100,4,6,0,1.2,2
20,0.732163077847543,1,4,3,56,"2;1","qF7gOJob",100,4,6,0,1.2,2
21,0.962770232799971,1,4,3,60,"2;1","qF7gOJob",100,4,6,0,1.2,2
22,1.14319451918938,1,-22,3,38,"2;1","qF7gOJob",100,4,6,0,1.2,2
23,0.724391550211403,1,18,3,56,"2;1","qF7gOJob",100,4,6,0,1.2,2
24,0.596305290398261,1,-2,3,54,"2;1","qF7gOJob",100,4,6,0,1.2,2
25,0.5,2,4,3,58,"2;1","qF7gOJob",100,4,6,0,1.2,2
1,0.5,1,-3,4,-3,"2;1","qF7gOJob",100,4,6,0,1.2,2
2,0.568387192367755,1,-2,4,-5,"2;1","qF7gOJob",100,4,6,0,1.2,2
3,1.08794102398516,1,-6,4,-11,"2;1","qF7gOJob",100,4,6,0,1.2,2
4,0.886411274013596,2,2,4,-9,"2;1","qF7gOJob",100,4,6,0,1.2,2
5,0.761136510144764,1,-12,4,-21,"2;1","qF7gOJob",100,4,6,0,1.2,2
6,0.660728723978868,2,7,4,-14,"2;1","qF7gOJob",100,4,6,0,1.2,2
7,0.5,2,5,4,-9,"2;1","qF7gOJob",100,4,6,0,1.2,2
8,0.5,2,10,4,1,"2;1","qF7gOJob",100,4,6,0,1.2,2
9,1.05575621004076,2,4,4,5,"2;1","qF7gOJob",100,4,6,0,1.2,2
10,0.968317097105789,1,8,4,13,"2;1","qF7gOJob",100,4,6,0,1.2,2
11,0.995537680340776,2,4,4,17,"2;1","qF7gOJob",100,4,6,0,1.2,2
12,0.705333496831707,2,2,4,19,"2;1","qF7gOJob",100,4,6,0,1.2,2
