"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.747768533782063,2,4,1,4,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
2,0.583889861910334,1,3,1,7,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
3,0.914215100845494,1,1,1,8,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
4,0.852777070168782,2,5,1,13,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
5,0.991701718728415,1,5,1,18,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
6,0.533392727968793,2,6,1,24,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
7,0.622661510168645,2,4,1,28,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
8,0.742800489222118,2,5,1,33,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
9,0.557284731954568,1,1,1,34,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
10,0.601484440580142,1,4,1,38,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
11,0.826972981231901,2,4,1,42,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
12,0.700100421157349,2,3,1,45,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
13,0.99428589016504,2,-1,1,44,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
14,0.875792463608583,1,1,1,45,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
15,0.942451183869613,2,3,1,48,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
16,0.696395386271841,2,4,1,52,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
17,0.728645958044038,2,3,1,55,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
18,1.29087974032716,2,1,1,56,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
19,0.986036619117441,1,4,1,60,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
20,0.909463901410939,1,3,1,63,"1;2","qjHE7JaN",0,1,NA,0,0.9,2
1,0.5,2,8,2,8,"2;1","qjHE7JaN",0,1,NA,0,0.9,2
2,0.5,2,6,2,14,"2;1","qjHE7JaN",0,1,NA,0,0.9,2
3,0.586859256687336,2,-3,2,11,"2;1","qjHE7JaN",0,1,NA,0,0.9,2
4,0.769123227529796,2,4,2,15,"2;1","qjHE7JaN",0,1,NA,0,0.9,2
5,1.02294006602038,2,1,2,16,"2;1","qjHE7JaN",0,1,NA,0,0.9,2
