"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.03974425537452,2,6,1,6,"2;1","qnWU98B2",0,3,NA,0,0.51,3
2,0.5,2,1,1,7,"2;1","qnWU98B2",0,3,NA,0,0.51,3
3,1.24421049232058,2,-1,1,6,"2;1","qnWU98B2",0,3,NA,0,0.51,3
4,1.049771146039,2,1,1,7,"2;1","qnWU98B2",0,3,NA,0,0.51,3
5,0.801758648747362,2,-1,1,6,"2;1","qnWU98B2",0,3,NA,0,0.51,3
6,0.886922067218605,1,6,1,12,"2;1","qnWU98B2",0,3,NA,0,0.51,3
7,0.803758400046128,1,1,1,13,"2;1","qnWU98B2",0,3,NA,0,0.51,3
8,1.26860859218499,1,1,1,14,"2;1","qnWU98B2",0,3,NA,0,0.51,3
9,1.26751273061474,1,6,1,20,"2;1","qnWU98B2",0,3,NA,0,0.51,3
10,0.890335734114405,2,3,1,23,"2;1","qnWU98B2",0,3,NA,0,0.51,3
11,0.743254753149758,1,2,1,25,"2;1","qnWU98B2",0,3,NA,0,0.51,3
12,0.528642163959142,2,3,1,28,"2;1","qnWU98B2",0,3,NA,0,0.51,3
13,0.5,1,6,1,34,"2;1","qnWU98B2",0,3,NA,0,0.51,3
14,0.647472612520923,1,0,1,34,"2;1","qnWU98B2",0,3,NA,0,0.51,3
15,0.5,2,2,1,36,"2;1","qnWU98B2",0,3,NA,0,0.51,3
16,0.939811515788283,2,2,1,38,"2;1","qnWU98B2",0,3,NA,0,0.51,3
17,1.05962330272213,1,4,1,42,"2;1","qnWU98B2",0,3,NA,0,0.51,3
18,0.924450619551118,1,0,1,42,"2;1","qnWU98B2",0,3,NA,0,0.51,3
19,0.5,2,1,1,43,"2;1","qnWU98B2",0,3,NA,0,0.51,3
20,1.0515042434285,1,5,1,48,"2;1","qnWU98B2",0,3,NA,0,0.51,3
1,0.527105758027214,1,11,2,11,"2;1","qnWU98B2",0,3,NA,0,0.51,3
2,0.756734146753741,1,11,2,22,"2;1","qnWU98B2",0,3,NA,0,0.51,3
3,0.5,1,19,2,41,"2;1","qnWU98B2",0,3,NA,0,0.51,3
4,1.12426042380341,1,12,2,53,"2;1","qnWU98B2",0,3,NA,0,0.51,3
5,0.5,1,22,2,75,"2;1","qnWU98B2",0,3,NA,0,0.51,3
6,0.742908251503481,2,1,2,76,"2;1","qnWU98B2",0,3,NA,0,0.51,3
7,0.5,2,2,2,78,"2;1","qnWU98B2",0,3,NA,0,0.51,3
8,1.01129975651967,1,16,2,94,"2;1","qnWU98B2",0,3,NA,0,0.51,3
9,1.0277591652044,2,4,2,98,"2;1","qnWU98B2",0,3,NA,0,0.51,3
10,0.676588402877085,1,9,2,107,"2;1","qnWU98B2",0,3,NA,0,0.51,3
11,0.906945694600644,2,2,2,109,"2;1","qnWU98B2",0,3,NA,0,0.51,3
12,0.655190922377059,1,-10,2,99,"2;1","qnWU98B2",0,3,NA,0,0.51,3
13,0.654794522539915,2,4,2,103,"2;1","qnWU98B2",0,3,NA,0,0.51,3
14,0.757836903425028,2,-1,2,102,"2;1","qnWU98B2",0,3,NA,0,0.51,3
15,0.5,1,5,2,107,"2;1","qnWU98B2",0,3,NA,0,0.51,3
