"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.756472397724325,1,5,1,5,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
2,0.522262486883854,2,5,1,10,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
3,0.58099209323789,2,3,1,13,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
4,0.596518780484756,2,-1,1,12,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
5,0.764590120529758,1,0,1,12,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
6,0.900700967671079,2,2,1,14,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
7,0.675477426859496,2,2,1,16,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
8,0.819132174114885,2,1,1,17,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
9,0.5,2,5,1,22,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
10,0.5,2,1,1,23,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
11,0.5,2,6,1,29,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
12,0.971122112792541,1,3,1,32,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
13,0.717455614532137,2,2,1,34,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
14,0.898585267646391,2,2,1,36,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
15,0.603783815018087,2,0,1,36,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
16,0.982759188579232,2,4,1,40,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
17,0.620252119115275,2,3,1,43,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
18,1.33608031976096,2,0,1,43,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
19,0.921318710520398,1,5,1,48,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
20,0.535299189203765,1,2,1,50,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
1,0.5,1,10,2,10,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
2,0.859316719328932,1,5,2,15,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
3,0.506481668042036,2,-8,2,7,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
4,0.819842607258247,1,2,2,9,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
5,0.860038570873932,2,2,2,11,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
6,0.648011947175673,2,5,2,16,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
7,0.556848979753874,2,5,2,21,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
8,1.2301976420919,1,3,2,24,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
9,0.949058917533083,1,0,2,24,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
10,0.577143601009079,1,5,2,29,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
11,0.781598085696069,2,4,2,33,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
12,0.603639656812477,1,5,2,38,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
13,0.900114142112652,2,8,2,46,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
14,0.704356590202213,2,11,2,57,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
15,1.03777591274085,2,10,2,67,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
16,0.787876306487514,1,8,2,75,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
17,0.749942622626361,1,2,2,77,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
18,1.06203387715252,2,2,2,79,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
19,0.932403513065693,2,-1,2,78,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
20,1.28323925752618,1,11,2,89,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
21,0.710829766206103,1,4,2,93,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
22,0.631185119516388,1,5,2,98,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
23,0.5,1,2,2,100,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
24,0.5,1,5,2,105,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
25,0.844692382606796,1,-2,2,103,"1;2","rVSeBHn4",0,2,NA,0,0.66,2
1,0.526557849273965,1,12,3,12,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
2,0.5,1,-9,3,3,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
3,0.5,2,1,3,4,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
4,0.644203456346747,2,4,3,8,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
5,0.68893138475802,2,1,3,9,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
6,0.614363281051873,1,-2,3,7,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
7,0.5,2,0,3,7,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
8,0.722012689782996,1,7,3,14,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
9,1.10961248442758,1,-16,3,-2,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
10,1.37499409825798,2,11,3,9,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
11,1.16818957818033,1,7,3,16,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
12,0.853101775623871,2,4,3,20,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
13,0.894957733646642,2,1,3,21,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
14,0.5,1,11,3,32,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
15,0.583029656499548,2,3,3,35,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
16,0.635399223509714,1,15,3,50,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
17,0.90168082066416,1,25,3,75,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
18,0.521140498722649,1,-12,3,63,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
19,0.768010931493155,1,18,3,81,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
20,0.827411328438449,1,9,3,90,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
21,0.532207768132115,1,0,3,90,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
22,0.942564369022382,1,-5,3,85,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
23,1.03826936624358,2,7,3,92,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
24,1.03738594685679,2,4,3,96,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
25,0.638943655517854,2,-1,3,95,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
1,0.517653714232163,1,4,4,4,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
2,0.850010452647144,1,-9,4,-5,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
3,0.800822540448503,2,5,4,0,"2;1","rVSeBHn4",0,2,NA,0,0.66,2
