"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.523790740892077,2,4,1,4,"2;1","sDy4bcqL",100,6,9,0,1.8,1
2,1.20703269248021,1,7,1,11,"2;1","sDy4bcqL",100,6,9,0,1.8,1
3,0.750410889292746,2,1,1,12,"2;1","sDy4bcqL",100,6,9,0,1.8,1
4,0.73745180387432,1,3,1,15,"2;1","sDy4bcqL",100,6,9,0,1.8,1
5,0.745737770000097,1,4,1,19,"2;1","sDy4bcqL",100,6,9,0,1.8,1
6,0.594093211343773,2,-1,1,18,"2;1","sDy4bcqL",100,6,9,0,1.8,1
7,0.844608164353854,1,5,1,23,"2;1","sDy4bcqL",100,6,9,0,1.8,1
8,1.04636498291811,1,3,1,26,"2;1","sDy4bcqL",100,6,9,0,1.8,1
9,0.5,1,0,1,26,"2;1","sDy4bcqL",100,6,9,0,1.8,1
10,1.19444527945481,1,8,1,34,"2;1","sDy4bcqL",100,6,9,0,1.8,1
11,0.5,1,0,1,34,"2;1","sDy4bcqL",100,6,9,0,1.8,1
12,0.802744392357034,1,1,1,35,"2;1","sDy4bcqL",100,6,9,0,1.8,1
13,0.772048122052767,1,3,1,38,"2;1","sDy4bcqL",100,6,9,0,1.8,1
14,0.69878764542207,1,3,1,41,"2;1","sDy4bcqL",100,6,9,0,1.8,1
15,0.712943004419588,2,5,1,46,"2;1","sDy4bcqL",100,6,9,0,1.8,1
16,0.563668334677415,1,3,1,49,"2;1","sDy4bcqL",100,6,9,0,1.8,1
17,1.20464703343091,2,2,1,51,"2;1","sDy4bcqL",100,6,9,0,1.8,1
18,0.5,1,2,1,53,"2;1","sDy4bcqL",100,6,9,0,1.8,1
19,0.992938101433294,1,3,1,56,"2;1","sDy4bcqL",100,6,9,0,1.8,1
20,1.25492346662761,2,2,1,58,"2;1","sDy4bcqL",100,6,9,0,1.8,1
1,0.716506392774697,1,12,2,12,"2;1","sDy4bcqL",100,6,9,0,1.8,1
2,0.79106012877526,2,4,2,16,"2;1","sDy4bcqL",100,6,9,0,1.8,1
3,0.869428443082258,1,23,2,39,"2;1","sDy4bcqL",100,6,9,0,1.8,1
4,0.863919021020567,1,5,2,44,"2;1","sDy4bcqL",100,6,9,0,1.8,1
5,0.667484371917832,1,-3,2,41,"2;1","sDy4bcqL",100,6,9,0,1.8,1
6,1.05168870412999,2,1,2,42,"2;1","sDy4bcqL",100,6,9,0,1.8,1
7,0.748553401585667,1,7,2,49,"2;1","sDy4bcqL",100,6,9,0,1.8,1
8,0.656757877954266,1,23,2,72,"2;1","sDy4bcqL",100,6,9,0,1.8,1
9,1.14748586691134,1,6,2,78,"2;1","sDy4bcqL",100,6,9,0,1.8,1
10,0.5,1,6,2,84,"2;1","sDy4bcqL",100,6,9,0,1.8,1
11,1.15488719729162,1,-5,2,79,"2;1","sDy4bcqL",100,6,9,0,1.8,1
12,0.5,1,3,2,82,"2;1","sDy4bcqL",100,6,9,0,1.8,1
13,0.75914131962843,1,-1,2,81,"2;1","sDy4bcqL",100,6,9,0,1.8,1
14,1.21721294821292,1,2,2,83,"2;1","sDy4bcqL",100,6,9,0,1.8,1
15,0.873209604105761,1,-1,2,82,"2;1","sDy4bcqL",100,6,9,0,1.8,1
16,0.883004198240432,1,-5,2,77,"2;1","sDy4bcqL",100,6,9,0,1.8,1
17,1.18048930258882,1,-12,2,65,"2;1","sDy4bcqL",100,6,9,0,1.8,1
18,0.57614120169288,1,10,2,75,"2;1","sDy4bcqL",100,6,9,0,1.8,1
19,0.5,1,15,2,90,"2;1","sDy4bcqL",100,6,9,0,1.8,1
20,1.14962517004399,1,5,2,95,"2;1","sDy4bcqL",100,6,9,0,1.8,1
21,0.574059876805632,1,33,2,128,"2;1","sDy4bcqL",100,6,9,0,1.8,1
22,0.596481359832301,2,6,2,134,"2;1","sDy4bcqL",100,6,9,0,1.8,1
23,0.572734910161664,2,4,2,138,"2;1","sDy4bcqL",100,6,9,0,1.8,1
24,1.00734919376361,1,0,2,138,"2;1","sDy4bcqL",100,6,9,0,1.8,1
25,1.00131579689362,1,19,2,157,"2;1","sDy4bcqL",100,6,9,0,1.8,1
1,0.78211616837316,2,5,3,5,"1;2","sDy4bcqL",100,6,9,0,1.8,1
2,0.501182233114349,2,17,3,22,"1;2","sDy4bcqL",100,6,9,0,1.8,1
3,0.544239231748358,2,-7,3,15,"1;2","sDy4bcqL",100,6,9,0,1.8,1
4,0.564779969789824,2,11,3,26,"1;2","sDy4bcqL",100,6,9,0,1.8,1
5,0.776384378858876,1,2,3,28,"1;2","sDy4bcqL",100,6,9,0,1.8,1
6,1.11415006027785,2,-18,3,10,"1;2","sDy4bcqL",100,6,9,0,1.8,1
7,0.5,2,7,3,17,"1;2","sDy4bcqL",100,6,9,0,1.8,1
8,1.17680694792247,2,2,3,19,"1;2","sDy4bcqL",100,6,9,0,1.8,1
9,1.09542813213869,2,13,3,32,"1;2","sDy4bcqL",100,6,9,0,1.8,1
10,1.34233034137761,2,10,3,42,"1;2","sDy4bcqL",100,6,9,0,1.8,1
11,0.890851071410722,2,-4,3,38,"1;2","sDy4bcqL",100,6,9,0,1.8,1
12,0.694454299951596,2,24,3,62,"1;2","sDy4bcqL",100,6,9,0,1.8,1
13,0.867016822454199,2,4,3,66,"1;2","sDy4bcqL",100,6,9,0,1.8,1
14,0.945232191869454,2,0,3,66,"1;2","sDy4bcqL",100,6,9,0,1.8,1
15,0.783796270447874,2,18,3,84,"1;2","sDy4bcqL",100,6,9,0,1.8,1
16,0.949183837976564,2,-15,3,69,"1;2","sDy4bcqL",100,6,9,0,1.8,1
17,0.692012658776987,2,-11,3,58,"1;2","sDy4bcqL",100,6,9,0,1.8,1
18,0.86037200939995,2,11,3,69,"1;2","sDy4bcqL",100,6,9,0,1.8,1
19,0.546526506421366,2,7,3,76,"1;2","sDy4bcqL",100,6,9,0,1.8,1
20,0.5,2,11,3,87,"1;2","sDy4bcqL",100,6,9,0,1.8,1
21,0.593185556145984,2,-4,3,83,"1;2","sDy4bcqL",100,6,9,0,1.8,1
22,1.13314659005727,2,-1,3,82,"1;2","sDy4bcqL",100,6,9,0,1.8,1
23,0.622145765243551,2,11,3,93,"1;2","sDy4bcqL",100,6,9,0,1.8,1
24,0.5,2,7,3,100,"1;2","sDy4bcqL",100,6,9,0,1.8,1
25,0.936071353115685,1,2,3,102,"1;2","sDy4bcqL",100,6,9,0,1.8,1
1,1.4550379748738,2,11,4,11,"1;2","sDy4bcqL",100,6,9,0,1.8,1
2,0.5,2,15,4,26,"1;2","sDy4bcqL",100,6,9,0,1.8,1
3,0.813266255976397,2,-2,4,24,"1;2","sDy4bcqL",100,6,9,0,1.8,1
4,1.13202472495242,1,4,4,28,"1;2","sDy4bcqL",100,6,9,0,1.8,1
5,1.08060013040706,2,5,4,33,"1;2","sDy4bcqL",100,6,9,0,1.8,1
6,1.01869475624283,2,6,4,39,"1;2","sDy4bcqL",100,6,9,0,1.8,1
7,0.752242793216119,2,9,4,48,"1;2","sDy4bcqL",100,6,9,0,1.8,1
8,0.5,2,4,4,52,"1;2","sDy4bcqL",100,6,9,0,1.8,1
9,1.11721589635899,2,6,4,58,"1;2","sDy4bcqL",100,6,9,0,1.8,1
10,0.956107935294092,1,1,4,59,"1;2","sDy4bcqL",100,6,9,0,1.8,1
11,1.42309080408098,2,19,4,78,"1;2","sDy4bcqL",100,6,9,0,1.8,1
12,0.5,2,15,4,93,"1;2","sDy4bcqL",100,6,9,0,1.8,1
13,0.923734118142278,2,22,4,115,"1;2","sDy4bcqL",100,6,9,0,1.8,1
14,0.5,2,2,4,117,"1;2","sDy4bcqL",100,6,9,0,1.8,1
15,1.12250674205752,2,-4,4,113,"1;2","sDy4bcqL",100,6,9,0,1.8,1
16,0.5,1,8,4,121,"1;2","sDy4bcqL",100,6,9,0,1.8,1
17,0.976791537305876,1,3,4,124,"1;2","sDy4bcqL",100,6,9,0,1.8,1
18,0.769849732708014,1,4,4,128,"1;2","sDy4bcqL",100,6,9,0,1.8,1
19,1.10846831303569,1,2,4,130,"1;2","sDy4bcqL",100,6,9,0,1.8,1
20,0.583150873924788,1,3,4,133,"1;2","sDy4bcqL",100,6,9,0,1.8,1
21,1.2455099812258,1,-2,4,131,"1;2","sDy4bcqL",100,6,9,0,1.8,1
22,0.581580335070361,1,2,4,133,"1;2","sDy4bcqL",100,6,9,0,1.8,1
23,0.935106619638466,1,7,4,140,"1;2","sDy4bcqL",100,6,9,0,1.8,1
24,1.38596488639787,1,0,4,140,"1;2","sDy4bcqL",100,6,9,0,1.8,1
25,0.728775272516157,2,22,4,162,"1;2","sDy4bcqL",100,6,9,0,1.8,1
1,0.83563561768738,2,4,5,4,"2;1","sDy4bcqL",100,6,9,0,1.8,1
2,1.07379779945804,2,6,5,10,"2;1","sDy4bcqL",100,6,9,0,1.8,1
3,0.581914356964934,1,5,5,15,"2;1","sDy4bcqL",100,6,9,0,1.8,1
4,0.500773103748923,2,5,5,20,"2;1","sDy4bcqL",100,6,9,0,1.8,1
5,0.879131736575958,2,-2,5,18,"2;1","sDy4bcqL",100,6,9,0,1.8,1
6,0.5,1,-5,5,13,"2;1","sDy4bcqL",100,6,9,0,1.8,1
7,0.74194551725945,1,9,5,22,"2;1","sDy4bcqL",100,6,9,0,1.8,1
8,0.620421839983265,1,15,5,37,"2;1","sDy4bcqL",100,6,9,0,1.8,1
9,0.583048066999755,1,0,5,37,"2;1","sDy4bcqL",100,6,9,0,1.8,1
10,0.98385632605235,1,6,5,43,"2;1","sDy4bcqL",100,6,9,0,1.8,1
11,0.972171581773061,2,-1,5,42,"2;1","sDy4bcqL",100,6,9,0,1.8,1
12,0.740877960939827,2,5,5,47,"2;1","sDy4bcqL",100,6,9,0,1.8,1
13,1.09566300735292,1,15,5,62,"2;1","sDy4bcqL",100,6,9,0,1.8,1
14,0.802153765954933,1,16,5,78,"2;1","sDy4bcqL",100,6,9,0,1.8,1
15,0.981910862766895,1,6,5,84,"2;1","sDy4bcqL",100,6,9,0,1.8,1
16,0.843489205902864,2,3,5,87,"2;1","sDy4bcqL",100,6,9,0,1.8,1
17,0.615978743106802,2,6,5,93,"2;1","sDy4bcqL",100,6,9,0,1.8,1
18,0.936545548204042,1,4,5,97,"2;1","sDy4bcqL",100,6,9,0,1.8,1
19,0.625394605852826,1,26,5,123,"2;1","sDy4bcqL",100,6,9,0,1.8,1
20,0.979209131465932,2,-1,5,122,"2;1","sDy4bcqL",100,6,9,0,1.8,1
21,0.743010280168658,2,2,5,124,"2;1","sDy4bcqL",100,6,9,0,1.8,1
