"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,4,1,4,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
2,0.609754431494398,1,4,1,8,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
3,0.674573995011019,1,3,1,11,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
4,0.568473550093052,1,3,1,14,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
5,0.604420629624143,1,2,1,16,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
6,0.5,1,3,1,19,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
7,0.895276602255877,1,0,1,19,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
8,0.985275801868294,1,3,1,22,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
9,0.682853491036349,1,1,1,23,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
10,0.860419287782833,1,5,1,28,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
11,0.636007411717576,1,5,1,33,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
12,0.850743044432084,2,4,1,37,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
13,1.26890898961599,1,5,1,42,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
14,1.08100346261105,2,3,1,45,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
15,0.854769376941742,1,3,1,48,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
16,1.02494026769215,1,2,1,50,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
17,0.733581903047972,1,3,1,53,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
18,0.72173550574856,1,-2,1,51,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
19,1.27236632558246,2,0,1,51,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
20,0.872555944481936,2,2,1,53,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
1,1.070792278951,1,3,2,3,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
2,0.972368019874087,1,-7,2,-4,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
3,0.627327826658354,2,4,2,0,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
4,0.5,1,2,2,2,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
5,0.603005144317538,2,10,2,12,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
6,0.927952670650459,2,5,2,17,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
7,0.5,2,3,2,20,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
8,0.850021564023746,2,3,2,23,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
9,0.798577939556586,2,7,2,30,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
10,0.638855631628623,2,4,2,34,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
11,0.575589467597955,2,6,2,40,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
12,0.936322154058476,1,0,2,40,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
13,0.892020337914601,2,1,2,41,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
14,1.10268684121628,2,1,2,42,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
15,1.13941581627479,2,6,2,48,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
16,0.629263614917006,1,12,2,60,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
17,0.5,1,6,2,66,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
18,0.861051066697094,1,-14,2,52,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
19,0.727281966802004,1,7,2,59,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
20,0.812730590008672,2,8,2,67,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
21,0.72267818710476,2,3,2,70,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
22,0.954434310731727,2,6,2,76,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
23,0.5,2,8,2,84,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
24,0.748281764500614,2,5,2,89,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
25,0.617184870478385,1,-5,2,84,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
1,0.968112440981528,2,3,3,3,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
2,0.952468127954279,1,-11,3,-8,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
3,0.716635472646702,2,1,3,-7,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
4,0.710209954040008,2,3,3,-4,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
5,0.5,2,3,3,-1,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
6,0.5,2,2,3,1,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
7,0.834854776118592,1,-8,3,-7,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
8,0.524022012242679,1,-9,3,-16,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
9,0.68370215198071,2,6,3,-10,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
10,1.22689765752591,2,3,3,-7,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
11,0.78810917803929,2,4,3,-3,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
12,0.814907490589313,1,11,3,8,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
13,0.61238773528917,2,-3,3,5,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
14,0.795441890361397,2,3,3,8,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
15,0.5,1,-3,3,5,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
16,1.14369901226087,2,8,3,13,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
17,0.5567426568472,2,7,3,20,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
18,0.782178118323824,2,0,3,20,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
19,1.01034090808994,2,4,3,24,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
20,0.592960325482072,2,5,3,29,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
21,0.58080425984666,1,0,3,29,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
22,1.07853657660441,2,4,3,33,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
23,0.675689969358096,2,5,3,38,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
24,1.11739974472139,2,2,3,40,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
25,0.604235020043025,2,7,3,47,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
1,0.859776514727872,2,0,4,0,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
2,0.553170158136395,2,10,4,10,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
3,0.797070789470857,1,7,4,17,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
4,0.631796247114855,1,3,4,20,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
5,0.566851464809676,2,9,4,29,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
6,0.532203946677134,2,18,4,47,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
7,0.765049868706175,2,-5,4,42,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
8,0.770949372553764,1,4,4,46,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
9,0.833586951565867,1,2,4,48,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
10,0.802364447445365,2,-17,4,31,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
11,1.06995799667057,1,3,4,34,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
12,0.895011603319263,1,6,4,40,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
13,0.5,1,6,4,46,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
14,0.501942618695012,1,1,4,47,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
15,1.01293699038016,2,-1,4,46,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
16,0.725025962077563,1,6,4,52,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
17,0.958409800558935,1,4,4,56,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
18,0.5,1,-1,4,55,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
19,0.5,2,-18,4,37,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
20,0.615817171400018,1,7,4,44,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
21,1.03179017386736,1,8,4,52,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
22,0.819907009254936,1,6,4,58,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
23,0.524127815142309,1,5,4,63,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
24,0.619372241995389,1,3,4,66,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
25,0.5,2,10,4,76,"1;2","sQlKKLH4",0,1,NA,0,0.69,3
1,0.753712152152834,2,4,5,4,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
2,1.15152161933129,2,9,5,13,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
3,0.5,2,4,5,17,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
4,0.851853859516336,2,4,5,21,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
5,0.778576928222789,2,-3,5,18,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
6,0.803281838639496,2,6,5,24,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
7,0.773458165510924,2,3,5,27,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
8,1.24338772552461,1,-10,5,17,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
9,1.04537856856411,2,6,5,23,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
10,0.758023291748366,2,7,5,30,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
11,1.31552165947564,2,4,5,34,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
12,0.564760256801136,2,7,5,41,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
13,0.870476373884794,2,8,5,49,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
14,0.933181369028718,1,-14,5,35,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
15,0.925232247313307,2,4,5,39,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
16,1.0924390889239,2,6,5,45,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
17,0.5,1,-1,5,44,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
18,0.77448588512926,2,6,5,50,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
19,0.861477809742959,2,5,5,55,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
20,0.731528188602942,2,2,5,57,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
21,0.984647628906864,2,-1,5,56,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
22,0.933585873075455,2,4,5,60,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
23,0.839921428659855,1,26,5,86,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
24,0.947264377674577,1,-2,5,84,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
25,0.709826591258028,1,11,5,95,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
1,0.84627768616429,1,18,6,18,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
2,1.16330341981492,1,-4,6,14,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
3,0.5,2,1,6,15,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
4,0.899606301235978,1,-1,6,14,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
5,1.05241385583139,2,8,6,22,"2;1","sQlKKLH4",0,1,NA,0,0.69,3
